,addrcode,Week,Year,DF_1,DF_0,DF_wm1,DF_wm2,DF_wm3,DF_wm4,DF_wm5,DF_wm6,DFma_1,DFma_0,DFma_wm1,DFma_wm2,DFma_wm3,DFma_wm4,DFma_wm5,DFma_wm6,RF_wm6,LST_wm4,bin_pop9s,bowl_pop9s,bucket_pop9s,misc_short_pop9s,jar_pop9s,pottedplant_pop9s,tire_pop9s,misc_tall_pop9s,total_pop9s,bin,bowl,bucket,misc_short,jar,pottedplant,tire,misc_tall,total
0,810103,15,2014,0.0,0.589448865,0.0,0.0,0.589448865,0.0,0.0,0.0,0.294724433,0.294724433,0.0,0.294724433,0.294724433,0.0,0.0,0.0,0.0,4.809643891,0.1891588343086836,0.047289708577170894,3.298457173257669,0.04137849500502453,0.13004669858721996,2.015723828101909,0.4078737364780989,0.011822427144292724,6.141750901460068,0.221,0.055,3.8539999999999996,0.048,0.152,2.355,0.47700000000000004,0.013999999999999999,7.1770000000000005
1,810103,16,2014,0.0,0.0,0.589448865,0.0,0.0,0.589448865,0.0,0.0,0.0,0.294724433,0.294724433,0.0,0.294724433,0.294724433,0.0,0.0,0.0,4.744657344,0.1891588343086836,0.047289708577170894,3.298457173257669,0.04137849500502453,0.13004669858721996,2.015723828101909,0.4078737364780989,0.011822427144292724,6.141750901460068,0.221,0.055,3.8539999999999996,0.048,0.152,2.355,0.47700000000000004,0.013999999999999999,7.1770000000000005
2,810103,17,2014,1.178897731,0.0,0.0,0.589448865,0.0,0.0,0.589448865,0.0,0.589448865,0.0,0.294724433,0.294724433,0.0,0.294724433,0.294724433,0.0,0.0,4.566781926,0.1891588343086836,0.047289708577170894,3.298457173257669,0.04137849500502453,0.13004669858721996,2.015723828101909,0.4078737364780989,0.011822427144292724,6.141750901460068,0.221,0.055,3.8539999999999996,0.048,0.152,2.355,0.47700000000000004,0.013999999999999999,7.1770000000000005
3,810103,18,2014,0.0,1.178897731,0.0,0.0,0.589448865,0.0,0.0,0.589448865,0.589448865,0.589448865,0.0,0.294724433,0.294724433,0.0,0.294724433,0.294724433,0.0,4.408343649,0.1891588343086836,0.047289708577170894,3.298457173257669,0.04137849500502453,0.13004669858721996,2.015723828101909,0.4078737364780989,0.011822427144292724,6.141750901460068,0.221,0.055,3.8539999999999996,0.048,0.152,2.355,0.47700000000000004,0.013999999999999999,7.1770000000000005
4,810103,19,2014,0.589448865,0.0,1.178897731,0.0,0.0,0.589448865,0.0,0.0,0.294724433,0.589448865,0.589448865,0.0,0.294724433,0.294724433,0.0,0.294724433,0.002942648,4.199957034,0.1891588343086836,0.047289708577170894,3.298457173257669,0.04137849500502453,0.13004669858721996,2.015723828101909,0.4078737364780989,0.011822427144292724,6.141750901460068,0.221,0.055,3.8539999999999996,0.048,0.152,2.355,0.47700000000000004,0.013999999999999999,7.1770000000000005
5,810103,20,2014,2.357795461,0.589448865,0.0,1.178897731,0.0,0.0,0.589448865,0.0,1.4736221630000002,0.294724433,0.589448865,0.589448865,0.0,0.294724433,0.294724433,0.0,0.087690904,3.9580925,0.1891588343086836,0.047289708577170894,3.298457173257669,0.04137849500502453,0.13004669858721996,2.015723828101909,0.4078737364780989,0.011822427144292724,6.141750901460068,0.221,0.055,3.8539999999999996,0.048,0.152,2.355,0.47700000000000004,0.013999999999999999,7.1770000000000005
6,810103,21,2014,2.357795461,2.357795461,0.589448865,0.0,1.178897731,0.0,0.0,0.589448865,2.357795461,1.4736221630000002,0.294724433,0.589448865,0.589448865,0.0,0.294724433,0.294724433,0.22408263,3.991800595,0.1891588343086836,0.047289708577170894,3.298457173257669,0.04137849500502453,0.13004669858721996,2.015723828101909,0.4078737364780989,0.011822427144292724,6.141750901460068,0.221,0.055,3.8539999999999996,0.048,0.152,2.355,0.47700000000000004,0.013999999999999999,7.1770000000000005
7,810103,22,2014,0.589448865,2.357795461,2.357795461,0.589448865,0.0,1.178897731,0.0,0.0,1.4736221630000002,2.357795461,1.4736221630000002,0.294724433,0.589448865,0.589448865,0.0,0.294724433,0.8286496190000001,4.229266197,0.1891588343086836,0.047289708577170894,3.298457173257669,0.04137849500502453,0.13004669858721996,2.015723828101909,0.4078737364780989,0.011822427144292724,6.141750901460068,0.221,0.055,3.8539999999999996,0.048,0.152,2.355,0.47700000000000004,0.013999999999999999,7.1770000000000005
8,810103,23,2014,0.589448865,0.589448865,2.357795461,2.357795461,0.589448865,0.0,1.178897731,0.0,0.589448865,1.4736221630000002,2.357795461,1.4736221630000002,0.294724433,0.589448865,0.589448865,0.0,0.431686431,4.183384313,0.1891588343086836,0.047289708577170894,3.298457173257669,0.04137849500502453,0.13004669858721996,2.015723828101909,0.4078737364780989,0.011822427144292724,6.141750901460068,0.221,0.055,3.8539999999999996,0.048,0.152,2.355,0.47700000000000004,0.013999999999999999,7.1770000000000005
9,810103,24,2014,1.768346596,0.589448865,0.589448865,2.357795461,2.357795461,0.589448865,0.0,1.178897731,1.178897731,0.589448865,1.4736221630000002,2.357795461,1.4736221630000002,0.294724433,0.589448865,0.589448865,0.27955154,4.1543564769999985,0.1891588343086836,0.047289708577170894,3.298457173257669,0.04137849500502453,0.13004669858721996,2.015723828101909,0.4078737364780989,0.011822427144292724,6.141750901460068,0.221,0.055,3.8539999999999996,0.048,0.152,2.355,0.47700000000000004,0.013999999999999999,7.1770000000000005
