addrcode
801904
800905
801701
800611
801204
801101
801302
800305
801105
801212
800302
801205
800911
801107
802302
800912
801218
802304
800407
802203
800118
800112
800106
801801
801106
802202
802004
802201
800301
810601
800120
810603
800205
800410
800406
800505
800504
800202
802101
800803
800503
800801
802104
801408
802102
801407
801405
800804
800409
800704
801702
801703
801603
800910
801905
800908
801501
801502
801406
801402
800705
801609
800708
800711
810405
810803
810403
810305
810303
810404
810115
810406
810702
810703
810117
810704
810402
810401
810118
810807
810204
810201
810111
810506
810501
810202
810502
810505
810504
810105
810407
810103
810206
810808
810503
810205
802303
801608
800606
800903
801305
800706
801201
810102
