addrcode
100508
100112
104601
104101
100302
100502
100306
104603
100301
100305
101002
100303
104802
101104
102601
100307
103201
103605
100304
104201
101105
101106
101101
104002
102705
103801
103005
100601
102303
104501
104401
102105
101103
101901
104801
102107
101803
103903
102201
102302
105001
102401
104701
102803
104902
104602

