,addrcode,bin,bowl,bucket,misc_short,jar,pottedplant,tire,misc_tall,total,Age < 7,Age 7 - 9,Age 10 - 14,Age 15 - 24,Age 25 - 34,Age 35 - 44,Age 45 - 60,Age > 60,Total,Age < 7_bin,Age < 7_bowl,Age < 7_bucket,Age < 7_misc_short,Age < 7_jar,Age < 7_pottedplant,Age < 7_tire,Age < 7_misc_tall,Age < 7_total,Age 7 - 9_bin,Age 7 - 9_bowl,Age 7 - 9_bucket,Age 7 - 9_misc_short,Age 7 - 9_jar,Age 7 - 9_pottedplant,Age 7 - 9_tire,Age 7 - 9_misc_tall,Age 7 - 9_total,Age 10 - 14_bin,Age 10 - 14_bowl,Age 10 - 14_bucket,Age 10 - 14_misc_short,Age 10 - 14_jar,Age 10 - 14_pottedplant,Age 10 - 14_tire,Age 10 - 14_misc_tall,Age 10 - 14_total,Age 15 - 24_bin,Age 15 - 24_bowl,Age 15 - 24_bucket,Age 15 - 24_misc_short,Age 15 - 24_jar,Age 15 - 24_pottedplant,Age 15 - 24_tire,Age 15 - 24_misc_tall,Age 15 - 24_total,Age 25 - 34_bin,Age 25 - 34_bowl,Age 25 - 34_bucket,Age 25 - 34_misc_short,Age 25 - 34_jar,Age 25 - 34_pottedplant,Age 25 - 34_tire,Age 25 - 34_misc_tall,Age 25 - 34_total,Age 35 - 44_bin,Age 35 - 44_bowl,Age 35 - 44_bucket,Age 35 - 44_misc_short,Age 35 - 44_jar,Age 35 - 44_pottedplant,Age 35 - 44_tire,Age 35 - 44_misc_tall,Age 35 - 44_total,Age 45 - 60_bin,Age 45 - 60_bowl,Age 45 - 60_bucket,Age 45 - 60_misc_short,Age 45 - 60_jar,Age 45 - 60_pottedplant,Age 45 - 60_tire,Age 45 - 60_misc_tall,Age 45 - 60_total,Age > 60_bin,Age > 60_bowl,Age > 60_bucket,Age > 60_misc_short,Age > 60_jar,Age > 60_pottedplant,Age > 60_tire,Age > 60_misc_tall,Age > 60_total,Total_bin,Total_bowl,Total_bucket,Total_misc_short,Total_jar,Total_pottedplant,Total_tire,Total_misc_tall,Total_total
10,810505,64,3,366,5,26,148,35,1,648,769,352,544,1070,1053,981,1112,577,6458,0.832,0.039,4.759,0.065,0.338,1.925,0.455,0.013,8.427,1.818,0.085,10.398,0.142,0.739,4.205,0.994,0.028,18.409,1.176,0.055,6.728,0.092,0.478,2.721,0.643,0.018,11.912,0.598,0.028,3.421,0.047,0.243,1.383,0.327,0.009,6.056,0.608,0.028,3.476,0.047,0.247,1.406,0.332,0.009,6.154,0.652,0.031,3.731,0.051,0.265,1.509,0.357,0.01,6.606,0.576,0.027,3.291,0.045,0.234,1.331,0.315,0.009,5.827,1.109,0.052,6.343,0.087,0.451,2.565,0.607,0.017,11.231,0.099,0.005,0.567,0.008,0.04,0.229,0.054,0.002,1.003
11,810203,48,0,254,5,32,260,60,1,660,1015,466,675,1475,1614,1545,1644,824,9258,0.473,0.0,2.502,0.049,0.315,2.562,0.591,0.01,6.502,1.03,0.0,5.451,0.107,0.687,5.579,1.288,0.021,14.163,0.711,0.0,3.763,0.074,0.474,3.852,0.889,0.015,9.778,0.325,0.0,1.722,0.034,0.217,1.763,0.407,0.007,4.475,0.297,0.0,1.574,0.031,0.198,1.611,0.372,0.006,4.089,0.311,0.0,1.644,0.032,0.207,1.683,0.388,0.006,4.272,0.292,0.0,1.545,0.03,0.195,1.582,0.365,0.006,4.015,0.583,0.0,3.083,0.061,0.388,3.155,0.728,0.012,8.01,0.052,0.0,0.274,0.005,0.035,0.281,0.065,0.001,0.713
12,810204,24,1,251,3,14,165,68,0,526,907,430,671,1358,1580,1506,1686,829,8967,0.265,0.011,2.767,0.033,0.154,1.819,0.75,0.0,5.799,0.558,0.023,5.837,0.07,0.326,3.837,1.581,0.0,12.233,0.358,0.015,3.741,0.045,0.209,2.459,1.013,0.0,7.839,0.177,0.007,1.848,0.022,0.103,1.215,0.501,0.0,3.873,0.152,0.006,1.589,0.019,0.089,1.044,0.43,0.0,3.329,0.159,0.007,1.667,0.02,0.093,1.096,0.452,0.0,3.493,0.142,0.006,1.489,0.018,0.083,0.979,0.403,0.0,3.12,0.29,0.012,3.028,0.036,0.169,1.99,0.82,0.0,6.345,0.027,0.001,0.28,0.003,0.016,0.184,0.076,0.0,0.587
13,810111,12,1,68,2,4,31,27,1,146,954,373,690,1455,1584,1759,2017,954,9786,0.126,0.01,0.713,0.021,0.042,0.325,0.283,0.01,1.53,0.322,0.027,1.823,0.054,0.107,0.831,0.724,0.027,3.914,0.174,0.014,0.986,0.029,0.058,0.449,0.391,0.014,2.116,0.082,0.007,0.467,0.014,0.027,0.213,0.186,0.007,1.003,0.076,0.006,0.429,0.013,0.025,0.196,0.17,0.006,0.922,0.068,0.006,0.387,0.011,0.023,0.176,0.153,0.006,0.83,0.059,0.005,0.337,0.01,0.02,0.154,0.134,0.005,0.724,0.126,0.01,0.713,0.021,0.042,0.325,0.283,0.01,1.53,0.012,0.001,0.069,0.002,0.004,0.032,0.028,0.001,0.149
14,810201,49,0,186,5,13,86,30,1,370,1418,601,853,1769,2038,2078,2429,1203,12389,0.346,0.0,1.312,0.035,0.092,0.606,0.212,0.007,2.609,0.815,0.0,3.095,0.083,0.216,1.431,0.499,0.017,6.156,0.574,0.0,2.181,0.059,0.152,1.008,0.352,0.012,4.338,0.277,0.0,1.051,0.028,0.073,0.486,0.17,0.006,2.092,0.24,0.0,0.913,0.025,0.064,0.422,0.147,0.005,1.816,0.236,0.0,0.895,0.024,0.063,0.414,0.144,0.005,1.781,0.202,0.0,0.766,0.021,0.054,0.354,0.124,0.004,1.523,0.407,0.0,1.546,0.042,0.108,0.715,0.249,0.008,3.076,0.04,0.0,0.15,0.004,0.01,0.069,0.024,0.001,0.299
15,810105,2,0,38,1,3,16,16,0,76,1141,540,805,1558,1842,1598,1986,992,10462,0.018,0.0,0.333,0.009,0.026,0.14,0.14,0.0,0.666,0.037,0.0,0.704,0.019,0.056,0.296,0.296,0.0,1.407,0.025,0.0,0.472,0.012,0.037,0.199,0.199,0.0,0.944,0.013,0.0,0.244,0.006,0.019,0.103,0.103,0.0,0.488,0.011,0.0,0.206,0.005,0.016,0.087,0.087,0.0,0.413,0.013,0.0,0.238,0.006,0.019,0.1,0.1,0.0,0.476,0.01,0.0,0.191,0.005,0.015,0.081,0.081,0.0,0.383,0.02,0.0,0.383,0.01,0.03,0.161,0.161,0.0,0.766,0.002,0.0,0.036,0.001,0.003,0.015,0.015,0.0,0.073
16,810103,32,8,558,7,22,341,69,2,1039,1912,773,1175,2509,2783,2714,3364,1687,16917,0.167,0.042,2.918,0.037,0.115,1.783,0.361,0.01,5.434,0.414,0.103,7.219,0.091,0.285,4.411,0.893,0.026,13.441,0.272,0.068,4.749,0.06,0.187,2.902,0.587,0.017,8.843,0.128,0.032,2.224,0.028,0.088,1.359,0.275,0.008,4.141,0.115,0.029,2.005,0.025,0.079,1.225,0.248,0.007,3.733,0.118,0.029,2.056,0.026,0.081,1.256,0.254,0.007,3.828,0.095,0.024,1.659,0.021,0.065,1.014,0.205,0.006,3.089,0.19,0.047,3.308,0.041,0.13,2.021,0.409,0.012,6.159,0.019,0.005,0.33,0.004,0.013,0.202,0.041,0.001,0.614
17,810206,28,0,78,1,20,96,25,0,248,607,265,411,973,986,1004,1104,516,5866,0.461,0.0,1.285,0.016,0.329,1.582,0.412,0.0,4.086,1.057,0.0,2.943,0.038,0.755,3.623,0.943,0.0,9.358,0.681,0.0,1.898,0.024,0.487,2.336,0.608,0.0,6.034,0.288,0.0,0.802,0.01,0.206,0.987,0.257,0.0,2.549,0.284,0.0,0.791,0.01,0.203,0.974,0.254,0.0,2.515,0.279,0.0,0.777,0.01,0.199,0.956,0.249,0.0,2.47,0.254,0.0,0.707,0.009,0.181,0.87,0.226,0.0,2.246,0.543,0.0,1.512,0.019,0.388,1.86,0.484,0.0,4.806,0.048,0.0,0.133,0.002,0.034,0.164,0.043,0.0,0.423
18,810808,40,3,269,11,12,217,80,2,634,747,323,548,1078,1177,1240,1423,859,7395,0.535,0.04,3.601,0.147,0.161,2.905,1.071,0.027,8.487,1.238,0.093,8.328,0.341,0.372,6.718,2.477,0.062,19.628,0.73,0.055,4.909,0.201,0.219,3.96,1.46,0.036,11.569,0.371,0.028,2.495,0.102,0.111,2.013,0.742,0.019,5.881,0.34,0.025,2.285,0.093,0.102,1.844,0.68,0.017,5.387,0.323,0.024,2.169,0.089,0.097,1.75,0.645,0.016,5.113,0.281,0.021,1.89,0.077,0.084,1.525,0.562,0.014,4.455,0.466,0.035,3.132,0.128,0.14,2.526,0.931,0.023,7.381,0.054,0.004,0.364,0.015,0.016,0.293,0.108,0.003,0.857
19,810106,21,4,153,2,19,138,58,1,396,734,332,581,1073,1111,1040,1197,607,6675,0.286,0.054,2.084,0.027,0.259,1.88,0.79,0.014,5.395,0.633,0.12,4.608,0.06,0.572,4.157,1.747,0.03,11.928,0.361,0.069,2.633,0.034,0.327,2.375,0.998,0.017,6.816,0.196,0.037,1.426,0.019,0.177,1.286,0.541,0.009,3.691,0.189,0.036,1.377,0.018,0.171,1.242,0.522,0.009,3.564,0.202,0.038,1.471,0.019,0.183,1.327,0.558,0.01,3.808,0.175,0.033,1.278,0.017,0.159,1.153,0.485,0.008,3.308,0.346,0.066,2.521,0.033,0.313,2.273,0.956,0.016,6.524,0.031,0.006,0.229,0.003,0.028,0.207,0.087,0.001,0.593
