,addrcode,bin,bowl,bucket,misc_short,jar,pottedplant,tire,misc_tall,total,Age < 7,Age 7 - 9,Age 10 - 14,Age 15 - 24,Age 25 - 34,Age 35 - 44,Age 45 - 60,Age > 60,Total,Age < 7_bin,Age < 7_bowl,Age < 7_bucket,Age < 7_misc_short,Age < 7_jar,Age < 7_pottedplant,Age < 7_tire,Age < 7_misc_tall,Age < 7_total,Age 7 - 9_bin,Age 7 - 9_bowl,Age 7 - 9_bucket,Age 7 - 9_misc_short,Age 7 - 9_jar,Age 7 - 9_pottedplant,Age 7 - 9_tire,Age 7 - 9_misc_tall,Age 7 - 9_total,Age 10 - 14_bin,Age 10 - 14_bowl,Age 10 - 14_bucket,Age 10 - 14_misc_short,Age 10 - 14_jar,Age 10 - 14_pottedplant,Age 10 - 14_tire,Age 10 - 14_misc_tall,Age 10 - 14_total,Age 15 - 24_bin,Age 15 - 24_bowl,Age 15 - 24_bucket,Age 15 - 24_misc_short,Age 15 - 24_jar,Age 15 - 24_pottedplant,Age 15 - 24_tire,Age 15 - 24_misc_tall,Age 15 - 24_total,Age 25 - 34_bin,Age 25 - 34_bowl,Age 25 - 34_bucket,Age 25 - 34_misc_short,Age 25 - 34_jar,Age 25 - 34_pottedplant,Age 25 - 34_tire,Age 25 - 34_misc_tall,Age 25 - 34_total,Age 35 - 44_bin,Age 35 - 44_bowl,Age 35 - 44_bucket,Age 35 - 44_misc_short,Age 35 - 44_jar,Age 35 - 44_pottedplant,Age 35 - 44_tire,Age 35 - 44_misc_tall,Age 35 - 44_total,Age 45 - 60_bin,Age 45 - 60_bowl,Age 45 - 60_bucket,Age 45 - 60_misc_short,Age 45 - 60_jar,Age 45 - 60_pottedplant,Age 45 - 60_tire,Age 45 - 60_misc_tall,Age 45 - 60_total,Age > 60_bin,Age > 60_bowl,Age > 60_bucket,Age > 60_misc_short,Age > 60_jar,Age > 60_pottedplant,Age > 60_tire,Age > 60_misc_tall,Age > 60_total,Total_bin,Total_bowl,Total_bucket,Total_misc_short,Total_jar,Total_pottedplant,Total_tire,Total_misc_tall,Total_total
10,103702,47,23,142,19,5,368,59,8,671,413,213,349,1051,1275,1267,2225,2029,8822,1.138,0.557,3.438,0.46,0.121,8.91,1.429,0.194,16.247,2.207,1.08,6.667,0.892,0.235,17.277,2.77,0.376,31.502,1.347,0.659,4.069,0.544,0.143,10.544,1.691,0.229,19.226,0.447,0.219,1.351,0.181,0.048,3.501,0.561,0.076,6.384,0.369,0.18,1.114,0.149,0.039,2.886,0.463,0.063,5.263,0.371,0.182,1.121,0.15,0.039,2.904,0.466,0.063,5.296,0.211,0.103,0.638,0.085,0.022,1.654,0.265,0.036,3.016,0.232,0.113,0.7,0.094,0.025,1.814,0.291,0.039,3.307,0.053,0.026,0.161,0.022,0.006,0.417,0.067,0.009,0.761
11,100109,4,2,25,1,2,60,7,0,101,74,31,77,226,245,254,494,558,1959,0.541,0.27,3.378,0.135,0.27,8.108,0.946,0.0,13.649,1.29,0.645,8.065,0.323,0.645,19.355,2.258,0.0,32.581,0.519,0.26,3.247,0.13,0.26,7.792,0.909,0.0,13.117,0.177,0.088,1.106,0.044,0.088,2.655,0.31,0.0,4.469,0.163,0.082,1.02,0.041,0.082,2.449,0.286,0.0,4.122,0.157,0.079,0.984,0.039,0.079,2.362,0.276,0.0,3.976,0.081,0.04,0.506,0.02,0.04,1.215,0.142,0.0,2.045,0.072,0.036,0.448,0.018,0.036,1.075,0.125,0.0,1.81,0.02,0.01,0.128,0.005,0.01,0.306,0.036,0.0,0.516
12,102004,28,3,53,6,5,213,19,0,327,644,303,515,2059,1722,1628,3076,2799,12746,0.435,0.047,0.823,0.093,0.078,3.307,0.295,0.0,5.078,0.924,0.099,1.749,0.198,0.165,7.03,0.627,0.0,10.792,0.544,0.058,1.029,0.117,0.097,4.136,0.369,0.0,6.35,0.136,0.015,0.257,0.029,0.024,1.034,0.092,0.0,1.588,0.163,0.017,0.308,0.035,0.029,1.237,0.11,0.0,1.899,0.172,0.018,0.326,0.037,0.031,1.308,0.117,0.0,2.009,0.091,0.01,0.172,0.02,0.016,0.692,0.062,0.0,1.063,0.1,0.011,0.189,0.021,0.018,0.761,0.068,0.0,1.168,0.022,0.002,0.042,0.005,0.004,0.167,0.015,0.0,0.257
13,101702,153,23,364,23,25,959,204,3,1754,1186,525,884,1905,2636,3115,3832,2663,16746,1.29,0.194,3.069,0.194,0.211,8.086,1.72,0.025,14.789,2.914,0.438,6.933,0.438,0.476,18.267,3.886,0.057,33.41,1.731,0.26,4.118,0.26,0.283,10.848,2.308,0.034,19.842,0.803,0.121,1.911,0.121,0.131,5.034,1.071,0.016,9.207,0.58,0.087,1.381,0.087,0.095,3.638,0.774,0.011,6.654,0.491,0.074,1.169,0.074,0.08,3.079,0.655,0.01,5.631,0.399,0.06,0.95,0.06,0.065,2.503,0.532,0.008,4.577,0.575,0.086,1.367,0.086,0.094,3.601,0.766,0.011,6.587,0.091,0.014,0.217,0.014,0.015,0.573,0.122,0.002,1.047
14,100805,14,9,51,9,2,160,14,0,259,351,141,301,893,914,946,1718,1735,6999,0.399,0.256,1.453,0.256,0.057,4.558,0.399,0.0,7.379,0.993,0.638,3.617,0.638,0.142,11.348,0.993,0.0,18.369,0.465,0.299,1.694,0.299,0.066,5.316,0.465,0.0,8.605,0.157,0.101,0.571,0.101,0.022,1.792,0.157,0.0,2.9,0.153,0.098,0.558,0.098,0.022,1.751,0.153,0.0,2.834,0.148,0.095,0.539,0.095,0.021,1.691,0.148,0.0,2.738,0.081,0.052,0.297,0.052,0.012,0.931,0.081,0.0,1.508,0.081,0.052,0.294,0.052,0.012,0.922,0.081,0.0,1.493,0.02,0.013,0.073,0.013,0.003,0.229,0.02,0.0,0.37
15,104601,151,7,754,3,26,719,141,0,1801,4423,2263,3779,7466,6405,11162,14652,4350,54500,0.341,0.016,1.705,0.007,0.059,1.626,0.319,0.0,4.072,0.667,0.031,3.332,0.013,0.115,3.177,0.623,0.0,7.958,0.4,0.019,1.995,0.008,0.069,1.903,0.373,0.0,4.766,0.202,0.009,1.01,0.004,0.035,0.963,0.189,0.0,2.412,0.236,0.011,1.177,0.005,0.041,1.123,0.22,0.0,2.812,0.135,0.006,0.676,0.003,0.023,0.644,0.126,0.0,1.614,0.103,0.005,0.515,0.002,0.018,0.491,0.096,0.0,1.229,0.347,0.016,1.733,0.007,0.06,1.653,0.324,0.0,4.14,0.028,0.001,0.138,0.001,0.005,0.132,0.026,0.0,0.33
16,104203,465,39,1381,22,162,2194,227,7,4497,5974,2980,5016,12221,11602,14214,22436,10903,85346,0.778,0.065,2.312,0.037,0.271,3.673,0.38,0.012,7.528,1.56,0.131,4.634,0.074,0.544,7.362,0.762,0.023,15.091,0.927,0.078,2.753,0.044,0.323,4.374,0.453,0.014,8.965,0.38,0.032,1.13,0.018,0.133,1.795,0.186,0.006,3.68,0.401,0.034,1.19,0.019,0.14,1.891,0.196,0.006,3.876,0.327,0.027,0.972,0.015,0.114,1.544,0.16,0.005,3.164,0.207,0.017,0.616,0.01,0.072,0.978,0.101,0.003,2.004,0.426,0.036,1.267,0.02,0.149,2.012,0.208,0.006,4.125,0.054,0.005,0.162,0.003,0.019,0.257,0.027,0.001,0.527
17,104202,66,5,138,1,10,154,56,1,431,3137,1379,2247,4875,4931,6872,9019,3508,35968,0.21,0.016,0.44,0.003,0.032,0.491,0.179,0.003,1.374,0.479,0.036,1.001,0.007,0.073,1.117,0.406,0.007,3.125,0.294,0.022,0.614,0.004,0.045,0.685,0.249,0.004,1.918,0.135,0.01,0.283,0.002,0.021,0.316,0.115,0.002,0.884,0.134,0.01,0.28,0.002,0.02,0.312,0.114,0.002,0.874,0.096,0.007,0.201,0.001,0.015,0.224,0.081,0.001,0.627,0.073,0.006,0.153,0.001,0.011,0.171,0.062,0.001,0.478,0.188,0.014,0.393,0.003,0.029,0.439,0.16,0.003,1.229,0.018,0.001,0.038,0.0,0.003,0.043,0.016,0.0,0.12
18,104101,604,74,1992,46,145,4426,371,10,7668,4094,2007,3684,10542,10197,12060,19134,14065,75783,1.475,0.181,4.866,0.112,0.354,10.811,0.906,0.024,18.73,3.009,0.369,9.925,0.229,0.722,22.053,1.849,0.05,38.206,1.64,0.201,5.407,0.125,0.394,12.014,1.007,0.027,20.814,0.573,0.07,1.89,0.044,0.138,4.198,0.352,0.009,7.274,0.592,0.073,1.954,0.045,0.142,4.34,0.364,0.01,7.52,0.501,0.061,1.652,0.038,0.12,3.67,0.308,0.008,6.358,0.316,0.039,1.041,0.024,0.076,2.313,0.194,0.005,4.008,0.429,0.053,1.416,0.033,0.103,3.147,0.264,0.007,5.452,0.08,0.01,0.263,0.006,0.019,0.584,0.049,0.001,1.012
19,100302,115,2,215,0,14,170,64,0,580,1990,918,1541,3142,3027,3486,4339,2022,20465,0.578,0.01,1.08,0.0,0.07,0.854,0.322,0.0,2.915,1.253,0.022,2.342,0.0,0.153,1.852,0.697,0.0,6.318,0.746,0.013,1.395,0.0,0.091,1.103,0.415,0.0,3.764,0.366,0.006,0.684,0.0,0.045,0.541,0.204,0.0,1.846,0.38,0.007,0.71,0.0,0.046,0.562,0.211,0.0,1.916,0.33,0.006,0.617,0.0,0.04,0.488,0.184,0.0,1.664,0.265,0.005,0.496,0.0,0.032,0.392,0.147,0.0,1.337,0.569,0.01,1.063,0.0,0.069,0.841,0.317,0.0,2.868,0.056,0.001,0.105,0.0,0.007,0.083,0.031,0.0,0.283
