,addrcode,bin,bowl,bucket,misc_short,jar,pottedplant,tire,misc_tall,total,Age < 7,Age 7 - 9,Age 10 - 14,Age 15 - 24,Age 25 - 34,Age 35 - 44,Age 45 - 60,Age > 60,Total,Age < 7_bin,Age < 7_bowl,Age < 7_bucket,Age < 7_misc_short,Age < 7_jar,Age < 7_pottedplant,Age < 7_tire,Age < 7_misc_tall,Age < 7_total,Age 7 - 9_bin,Age 7 - 9_bowl,Age 7 - 9_bucket,Age 7 - 9_misc_short,Age 7 - 9_jar,Age 7 - 9_pottedplant,Age 7 - 9_tire,Age 7 - 9_misc_tall,Age 7 - 9_total,Age 10 - 14_bin,Age 10 - 14_bowl,Age 10 - 14_bucket,Age 10 - 14_misc_short,Age 10 - 14_jar,Age 10 - 14_pottedplant,Age 10 - 14_tire,Age 10 - 14_misc_tall,Age 10 - 14_total,Age 15 - 24_bin,Age 15 - 24_bowl,Age 15 - 24_bucket,Age 15 - 24_misc_short,Age 15 - 24_jar,Age 15 - 24_pottedplant,Age 15 - 24_tire,Age 15 - 24_misc_tall,Age 15 - 24_total,Age 25 - 34_bin,Age 25 - 34_bowl,Age 25 - 34_bucket,Age 25 - 34_misc_short,Age 25 - 34_jar,Age 25 - 34_pottedplant,Age 25 - 34_tire,Age 25 - 34_misc_tall,Age 25 - 34_total,Age 35 - 44_bin,Age 35 - 44_bowl,Age 35 - 44_bucket,Age 35 - 44_misc_short,Age 35 - 44_jar,Age 35 - 44_pottedplant,Age 35 - 44_tire,Age 35 - 44_misc_tall,Age 35 - 44_total,Age 45 - 60_bin,Age 45 - 60_bowl,Age 45 - 60_bucket,Age 45 - 60_misc_short,Age 45 - 60_jar,Age 45 - 60_pottedplant,Age 45 - 60_tire,Age 45 - 60_misc_tall,Age 45 - 60_total,Age > 60_bin,Age > 60_bowl,Age > 60_bucket,Age > 60_misc_short,Age > 60_jar,Age > 60_pottedplant,Age > 60_tire,Age > 60_misc_tall,Age > 60_total,Total_bin,Total_bowl,Total_bucket,Total_misc_short,Total_jar,Total_pottedplant,Total_tire,Total_misc_tall,Total_total
10,800203,10,4,46,0,2,167,22,1,252,457,230,372,773,869,969,1224,885,5779,0.219,0.088,1.007,0.0,0.044,3.654,0.481,0.022,5.514,0.435,0.174,2.0,0.0,0.087,7.261,0.957,0.043,10.957,0.269,0.108,1.237,0.0,0.054,4.489,0.591,0.027,6.774,0.129,0.052,0.595,0.0,0.026,2.16,0.285,0.013,3.26,0.115,0.046,0.529,0.0,0.023,1.922,0.253,0.012,2.9,0.103,0.041,0.475,0.0,0.021,1.723,0.227,0.01,2.601,0.082,0.033,0.376,0.0,0.016,1.364,0.18,0.008,2.059,0.113,0.045,0.52,0.0,0.023,1.887,0.249,0.011,2.847,0.017,0.007,0.08,0.0,0.003,0.289,0.038,0.002,0.436
11,801802,3,1,18,0,4,26,9,0,61,391,178,264,537,752,639,1008,559,4328,0.077,0.026,0.46,0.0,0.102,0.665,0.23,0.0,1.56,0.169,0.056,1.011,0.0,0.225,1.461,0.506,0.0,3.427,0.114,0.038,0.682,0.0,0.152,0.985,0.341,0.0,2.311,0.056,0.019,0.335,0.0,0.074,0.484,0.168,0.0,1.136,0.04,0.013,0.239,0.0,0.053,0.346,0.12,0.0,0.811,0.047,0.016,0.282,0.0,0.063,0.407,0.141,0.0,0.955,0.03,0.01,0.179,0.0,0.04,0.258,0.089,0.0,0.605,0.054,0.018,0.322,0.0,0.072,0.465,0.161,0.0,1.091,0.007,0.002,0.042,0.0,0.009,0.06,0.021,0.0,0.141
12,800202,65,1,156,2,1,152,7,0,384,376,174,255,654,718,851,1180,945,5153,1.729,0.027,4.149,0.053,0.027,4.043,0.186,0.0,10.213,3.736,0.057,8.966,0.115,0.057,8.736,0.402,0.0,22.069,2.549,0.039,6.118,0.078,0.039,5.961,0.275,0.0,15.059,0.994,0.015,2.385,0.031,0.015,2.324,0.107,0.0,5.872,0.905,0.014,2.173,0.028,0.014,2.117,0.097,0.0,5.348,0.764,0.012,1.833,0.024,0.012,1.786,0.082,0.0,4.512,0.551,0.008,1.322,0.017,0.008,1.288,0.059,0.0,3.254,0.688,0.011,1.651,0.021,0.011,1.608,0.074,0.0,4.063,0.126,0.002,0.303,0.004,0.002,0.295,0.014,0.0,0.745
13,800404,29,2,243,8,8,146,36,0,472,602,302,450,971,982,1186,1658,1213,7364,0.482,0.033,4.037,0.133,0.133,2.425,0.598,0.0,7.841,0.96,0.066,8.046,0.265,0.265,4.834,1.192,0.0,15.629,0.644,0.044,5.4,0.178,0.178,3.244,0.8,0.0,10.489,0.299,0.021,2.503,0.082,0.082,1.504,0.371,0.0,4.861,0.295,0.02,2.475,0.081,0.081,1.487,0.367,0.0,4.807,0.245,0.017,2.049,0.067,0.067,1.231,0.304,0.0,3.98,0.175,0.012,1.466,0.048,0.048,0.881,0.217,0.0,2.847,0.239,0.016,2.003,0.066,0.066,1.204,0.297,0.0,3.891,0.039,0.003,0.33,0.011,0.011,0.198,0.049,0.0,0.641
14,800205,12,4,89,0,2,190,22,1,320,471,188,350,754,870,912,1207,912,5664,0.255,0.085,1.89,0.0,0.042,4.034,0.467,0.021,6.794,0.638,0.213,4.734,0.0,0.106,10.106,1.17,0.053,17.021,0.343,0.114,2.543,0.0,0.057,5.429,0.629,0.029,9.143,0.159,0.053,1.18,0.0,0.027,2.52,0.292,0.013,4.244,0.138,0.046,1.023,0.0,0.023,2.184,0.253,0.011,3.678,0.132,0.044,0.976,0.0,0.022,2.083,0.241,0.011,3.509,0.099,0.033,0.737,0.0,0.017,1.574,0.182,0.008,2.651,0.132,0.044,0.976,0.0,0.022,2.083,0.241,0.011,3.509,0.021,0.007,0.157,0.0,0.004,0.335,0.039,0.002,0.565
15,800201,58,2,222,3,6,142,32,0,465,699,293,499,1208,1340,1438,2187,1398,9062,0.83,0.029,3.176,0.043,0.086,2.031,0.458,0.0,6.652,1.98,0.068,7.577,0.102,0.205,4.846,1.092,0.0,15.87,1.162,0.04,4.449,0.06,0.12,2.846,0.641,0.0,9.319,0.48,0.017,1.838,0.025,0.05,1.175,0.265,0.0,3.849,0.433,0.015,1.657,0.022,0.045,1.06,0.239,0.0,3.47,0.403,0.014,1.544,0.021,0.042,0.987,0.223,0.0,3.234,0.265,0.009,1.015,0.014,0.027,0.649,0.146,0.0,2.126,0.415,0.014,1.588,0.021,0.043,1.016,0.229,0.0,3.326,0.064,0.002,0.245,0.003,0.007,0.157,0.035,0.0,0.513
16,801209,51,5,179,7,27,64,22,3,358,122,68,119,282,306,297,490,306,1990,4.18,0.41,14.672,0.574,2.213,5.246,1.803,0.246,29.344,7.5,0.735,26.324,1.029,3.971,9.412,3.235,0.441,52.647,4.286,0.42,15.042,0.588,2.269,5.378,1.849,0.252,30.084,1.809,0.177,6.348,0.248,0.957,2.27,0.78,0.106,12.695,1.667,0.163,5.85,0.229,0.882,2.092,0.719,0.098,11.699,1.717,0.168,6.027,0.236,0.909,2.155,0.741,0.101,12.054,1.041,0.102,3.653,0.143,0.551,1.306,0.449,0.061,7.306,1.667,0.163,5.85,0.229,0.882,2.092,0.719,0.098,11.699,0.256,0.025,0.899,0.035,0.136,0.322,0.111,0.015,1.799
17,800403,8,1,131,2,8,139,17,0,306,974,430,689,1366,1771,1846,2625,1789,11490,0.082,0.01,1.345,0.021,0.082,1.427,0.175,0.0,3.142,0.186,0.023,3.047,0.047,0.186,3.233,0.395,0.0,7.116,0.116,0.015,1.901,0.029,0.116,2.017,0.247,0.0,4.441,0.059,0.007,0.959,0.015,0.059,1.018,0.124,0.0,2.24,0.045,0.006,0.74,0.011,0.045,0.785,0.096,0.0,1.728,0.043,0.005,0.71,0.011,0.043,0.753,0.092,0.0,1.658,0.03,0.004,0.499,0.008,0.03,0.53,0.065,0.0,1.166,0.045,0.006,0.732,0.011,0.045,0.777,0.095,0.0,1.71,0.007,0.001,0.114,0.002,0.007,0.121,0.015,0.0,0.266
18,801803,26,2,161,1,6,101,92,0,389,711,328,492,989,1168,1128,1399,831,7046,0.366,0.028,2.264,0.014,0.084,1.421,1.294,0.0,5.471,0.793,0.061,4.909,0.03,0.183,3.079,2.805,0.0,11.86,0.528,0.041,3.272,0.02,0.122,2.053,1.87,0.0,7.907,0.263,0.02,1.628,0.01,0.061,1.021,0.93,0.0,3.933,0.223,0.017,1.378,0.009,0.051,0.865,0.788,0.0,3.33,0.23,0.018,1.427,0.009,0.053,0.895,0.816,0.0,3.449,0.186,0.014,1.151,0.007,0.043,0.722,0.658,0.0,2.781,0.313,0.024,1.937,0.012,0.072,1.215,1.107,0.0,4.681,0.037,0.003,0.228,0.001,0.009,0.143,0.131,0.0,0.552
19,800116,45,1,511,5,10,278,55,1,906,860,360,628,1458,1594,1688,2362,1681,10631,0.523,0.012,5.942,0.058,0.116,3.233,0.64,0.012,10.535,1.25,0.028,14.194,0.139,0.278,7.722,1.528,0.028,25.167,0.717,0.016,8.137,0.08,0.159,4.427,0.876,0.016,14.427,0.309,0.007,3.505,0.034,0.069,1.907,0.377,0.007,6.214,0.282,0.006,3.206,0.031,0.063,1.744,0.345,0.006,5.684,0.267,0.006,3.027,0.03,0.059,1.647,0.326,0.006,5.367,0.191,0.004,2.163,0.021,0.042,1.177,0.233,0.004,3.836,0.268,0.006,3.04,0.03,0.059,1.654,0.327,0.006,5.39,0.042,0.001,0.481,0.005,0.009,0.261,0.052,0.001,0.852
