,addrcode,bin,bowl,bucket,misc_short,jar,pottedplant,tire,misc_tall,total,Age < 7,Age 7 - 9,Age 10 - 14,Age 15 - 24,Age 25 - 34,Age 35 - 44,Age 45 - 60,Age > 60,Total,Age < 7_bin,Age < 7_bowl,Age < 7_bucket,Age < 7_misc_short,Age < 7_jar,Age < 7_pottedplant,Age < 7_tire,Age < 7_misc_tall,Age < 7_total,Age 7 - 9_bin,Age 7 - 9_bowl,Age 7 - 9_bucket,Age 7 - 9_misc_short,Age 7 - 9_jar,Age 7 - 9_pottedplant,Age 7 - 9_tire,Age 7 - 9_misc_tall,Age 7 - 9_total,Age 10 - 14_bin,Age 10 - 14_bowl,Age 10 - 14_bucket,Age 10 - 14_misc_short,Age 10 - 14_jar,Age 10 - 14_pottedplant,Age 10 - 14_tire,Age 10 - 14_misc_tall,Age 10 - 14_total,Age 15 - 24_bin,Age 15 - 24_bowl,Age 15 - 24_bucket,Age 15 - 24_misc_short,Age 15 - 24_jar,Age 15 - 24_pottedplant,Age 15 - 24_tire,Age 15 - 24_misc_tall,Age 15 - 24_total,Age 25 - 34_bin,Age 25 - 34_bowl,Age 25 - 34_bucket,Age 25 - 34_misc_short,Age 25 - 34_jar,Age 25 - 34_pottedplant,Age 25 - 34_tire,Age 25 - 34_misc_tall,Age 25 - 34_total,Age 35 - 44_bin,Age 35 - 44_bowl,Age 35 - 44_bucket,Age 35 - 44_misc_short,Age 35 - 44_jar,Age 35 - 44_pottedplant,Age 35 - 44_tire,Age 35 - 44_misc_tall,Age 35 - 44_total,Age 45 - 60_bin,Age 45 - 60_bowl,Age 45 - 60_bucket,Age 45 - 60_misc_short,Age 45 - 60_jar,Age 45 - 60_pottedplant,Age 45 - 60_tire,Age 45 - 60_misc_tall,Age 45 - 60_total,Age > 60_bin,Age > 60_bowl,Age > 60_bucket,Age > 60_misc_short,Age > 60_jar,Age > 60_pottedplant,Age > 60_tire,Age > 60_misc_tall,Age > 60_total,Total_bin,Total_bowl,Total_bucket,Total_misc_short,Total_jar,Total_pottedplant,Total_tire,Total_misc_tall,Total_total
10,8011,397,24,3810,50,78,1127,294,1,5781,7241,3224,4929,10526,12297,11927,14943,9203,74290,0.548,0.033,5.262,0.069,0.108,1.556,0.406,0.001,7.984,1.231,0.074,11.818,0.155,0.242,3.496,0.912,0.003,17.931,0.805,0.049,7.73,0.101,0.158,2.286,0.596,0.002,11.729,0.377,0.023,3.62,0.048,0.074,1.071,0.279,0.001,5.492,0.323,0.02,3.098,0.041,0.063,0.916,0.239,0.001,4.701,0.333,0.02,3.194,0.042,0.065,0.945,0.246,0.001,4.847,0.266,0.016,2.55,0.033,0.052,0.754,0.197,0.001,3.869,0.431,0.026,4.14,0.054,0.085,1.225,0.319,0.001,6.282,0.053,0.003,0.513,0.007,0.01,0.152,0.04,0.0,0.778
11,8012,454,49,3003,41,412,2015,564,8,6546,6257,2803,4956,12138,13827,14022,18435,15705,88143,0.726,0.078,4.799,0.066,0.658,3.22,0.901,0.013,10.462,1.62,0.175,10.714,0.146,1.47,7.189,2.012,0.029,23.354,0.916,0.099,6.059,0.083,0.831,4.066,1.138,0.016,13.208,0.374,0.04,2.474,0.034,0.339,1.66,0.465,0.007,5.393,0.328,0.035,2.172,0.03,0.298,1.457,0.408,0.006,4.734,0.324,0.035,2.142,0.029,0.294,1.437,0.402,0.006,4.668,0.246,0.027,1.629,0.022,0.223,1.093,0.306,0.004,3.551,0.289,0.031,1.912,0.026,0.262,1.283,0.359,0.005,4.168,0.052,0.006,0.341,0.005,0.047,0.229,0.064,0.001,0.743
12,8013,154,11,418,5,54,658,199,2,1501,5222,2377,4042,8351,9418,10029,13364,9898,62701,0.295,0.021,0.8,0.01,0.103,1.26,0.381,0.004,2.874,0.648,0.046,1.759,0.021,0.227,2.768,0.837,0.008,6.315,0.381,0.027,1.034,0.012,0.134,1.628,0.492,0.005,3.714,0.184,0.013,0.501,0.006,0.065,0.788,0.238,0.002,1.797,0.164,0.012,0.444,0.005,0.057,0.699,0.211,0.002,1.594,0.154,0.011,0.417,0.005,0.054,0.656,0.198,0.002,1.497,0.115,0.008,0.313,0.004,0.04,0.492,0.149,0.001,1.123,0.156,0.011,0.422,0.005,0.055,0.665,0.201,0.002,1.516,0.025,0.002,0.067,0.001,0.009,0.105,0.032,0.0,0.239
13,8014,703,13,861,14,89,1035,334,3,3052,7168,3143,5356,12289,12757,13975,19322,13736,87746,0.981,0.018,1.201,0.02,0.124,1.444,0.466,0.004,4.258,2.237,0.041,2.739,0.045,0.283,3.293,1.063,0.01,9.71,1.313,0.024,1.608,0.026,0.166,1.932,0.624,0.006,5.698,0.572,0.011,0.701,0.011,0.072,0.842,0.272,0.002,2.484,0.551,0.01,0.675,0.011,0.07,0.811,0.262,0.002,2.392,0.503,0.009,0.616,0.01,0.064,0.741,0.239,0.002,2.184,0.364,0.007,0.446,0.007,0.046,0.536,0.173,0.002,1.58,0.512,0.009,0.627,0.01,0.065,0.753,0.243,0.002,2.222,0.08,0.001,0.098,0.002,0.01,0.118,0.038,0.0,0.348
14,8015,172,9,1313,8,55,636,170,1,2364,1861,842,1426,3063,3278,3923,5955,4079,24427,0.924,0.048,7.055,0.043,0.296,3.418,0.913,0.005,12.703,2.043,0.107,15.594,0.095,0.653,7.553,2.019,0.012,28.076,1.206,0.063,9.208,0.056,0.386,4.46,1.192,0.007,16.578,0.562,0.029,4.287,0.026,0.18,2.076,0.555,0.003,7.718,0.525,0.027,4.005,0.024,0.168,1.94,0.519,0.003,7.212,0.438,0.023,3.347,0.02,0.14,1.621,0.433,0.003,6.026,0.289,0.015,2.205,0.013,0.092,1.068,0.285,0.002,3.97,0.422,0.022,3.219,0.02,0.135,1.559,0.417,0.002,5.796,0.07,0.004,0.538,0.003,0.023,0.26,0.07,0.0,0.968
15,8016,124,18,1387,23,126,947,254,2,2881,4812,2280,3968,8951,9271,9859,13068,11837,64046,0.258,0.037,2.882,0.048,0.262,1.968,0.528,0.004,5.987,0.544,0.079,6.083,0.101,0.553,4.154,1.114,0.009,12.636,0.312,0.045,3.495,0.058,0.318,2.387,0.64,0.005,7.261,0.139,0.02,1.55,0.026,0.141,1.058,0.284,0.002,3.219,0.134,0.019,1.496,0.025,0.136,1.021,0.274,0.002,3.108,0.126,0.018,1.407,0.023,0.128,0.961,0.258,0.002,2.922,0.095,0.014,1.061,0.018,0.096,0.725,0.194,0.002,2.205,0.105,0.015,1.172,0.019,0.106,0.8,0.215,0.002,2.434,0.019,0.003,0.217,0.004,0.02,0.148,0.04,0.0,0.45
16,8017,63,3,730,11,136,684,243,5,1875,5019,2294,3624,7461,7893,7328,8885,4326,46830,0.126,0.006,1.454,0.022,0.271,1.363,0.484,0.01,3.736,0.275,0.013,3.182,0.048,0.593,2.982,1.059,0.022,8.173,0.174,0.008,2.014,0.03,0.375,1.887,0.671,0.014,5.174,0.084,0.004,0.978,0.015,0.182,0.917,0.326,0.007,2.513,0.08,0.004,0.925,0.014,0.172,0.867,0.308,0.006,2.376,0.086,0.004,0.996,0.015,0.186,0.933,0.332,0.007,2.559,0.071,0.003,0.822,0.012,0.153,0.77,0.273,0.006,2.11,0.146,0.007,1.687,0.025,0.314,1.581,0.562,0.012,4.334,0.013,0.001,0.156,0.002,0.029,0.146,0.052,0.001,0.4
17,8018,72,6,366,2,18,234,191,0,889,1847,849,1295,2521,3144,3074,4031,2425,19186,0.39,0.032,1.982,0.011,0.097,1.267,1.034,0.0,4.813,0.848,0.071,4.311,0.024,0.212,2.756,2.25,0.0,10.471,0.556,0.046,2.826,0.015,0.139,1.807,1.475,0.0,6.865,0.286,0.024,1.452,0.008,0.071,0.928,0.758,0.0,3.526,0.229,0.019,1.164,0.006,0.057,0.744,0.608,0.0,2.828,0.234,0.02,1.191,0.007,0.059,0.761,0.621,0.0,2.892,0.179,0.015,0.908,0.005,0.045,0.581,0.474,0.0,2.205,0.297,0.025,1.509,0.008,0.074,0.965,0.788,0.0,3.666,0.038,0.003,0.191,0.001,0.009,0.122,0.1,0.0,0.463
18,8019,268,12,834,17,24,659,417,0,2231,2644,1302,1896,4296,5154,5095,6494,4550,31431,1.014,0.045,3.154,0.064,0.091,2.492,1.577,0.0,8.438,2.058,0.092,6.406,0.131,0.184,5.061,3.203,0.0,17.135,1.414,0.063,4.399,0.09,0.127,3.476,2.199,0.0,11.767,0.624,0.028,1.941,0.04,0.056,1.534,0.971,0.0,5.193,0.52,0.023,1.618,0.033,0.047,1.279,0.809,0.0,4.329,0.526,0.024,1.637,0.033,0.047,1.293,0.818,0.0,4.379,0.413,0.018,1.284,0.026,0.037,1.015,0.642,0.0,3.435,0.589,0.026,1.833,0.037,0.053,1.448,0.916,0.0,4.903,0.085,0.004,0.265,0.005,0.008,0.21,0.133,0.0,0.71
19,8020,209,10,1388,17,85,870,298,3,2880,3524,1508,2573,6099,6687,7209,9516,6468,43584,0.593,0.028,3.939,0.048,0.241,2.469,0.846,0.009,8.173,1.386,0.066,9.204,0.113,0.564,5.769,1.976,0.02,19.098,0.812,0.039,5.394,0.066,0.33,3.381,1.158,0.012,11.193,0.343,0.016,2.276,0.028,0.139,1.426,0.489,0.005,4.722,0.313,0.015,2.076,0.025,0.127,1.301,0.446,0.004,4.307,0.29,0.014,1.925,0.024,0.118,1.207,0.413,0.004,3.995,0.22,0.011,1.459,0.018,0.089,0.914,0.313,0.003,3.026,0.323,0.015,2.146,0.026,0.131,1.345,0.461,0.005,4.453,0.048,0.002,0.318,0.004,0.02,0.2,0.068,0.001,0.661
20,8021,245,18,427,7,28,445,122,1,1293,2991,1408,2167,4578,5552,5327,7411,4027,33461,0.819,0.06,1.428,0.023,0.094,1.488,0.408,0.003,4.323,1.74,0.128,3.033,0.05,0.199,3.161,0.866,0.007,9.183,1.131,0.083,1.97,0.032,0.129,2.054,0.563,0.005,5.967,0.535,0.039,0.933,0.015,0.061,0.972,0.266,0.002,2.824,0.441,0.032,0.769,0.013,0.05,0.802,0.22,0.002,2.329,0.46,0.034,0.802,0.013,0.053,0.835,0.229,0.002,2.427,0.331,0.024,0.576,0.009,0.038,0.6,0.165,0.001,1.745,0.608,0.045,1.06,0.017,0.07,1.105,0.303,0.002,3.211,0.073,0.005,0.128,0.002,0.008,0.133,0.036,0.0,0.386
21,8022,38,5,520,8,13,211,44,0,839,2229,1103,1792,3611,4318,4737,6263,4482,28535,0.17,0.022,2.333,0.036,0.058,0.947,0.197,0.0,3.764,0.345,0.045,4.714,0.073,0.118,1.913,0.399,0.0,7.607,0.212,0.028,2.902,0.045,0.073,1.177,0.246,0.0,4.682,0.105,0.014,1.44,0.022,0.036,0.584,0.122,0.0,2.323,0.088,0.012,1.204,0.019,0.03,0.489,0.102,0.0,1.943,0.08,0.011,1.098,0.017,0.027,0.445,0.093,0.0,1.771,0.061,0.008,0.83,0.013,0.021,0.337,0.07,0.0,1.34,0.085,0.011,1.16,0.018,0.029,0.471,0.098,0.0,1.872,0.013,0.002,0.182,0.003,0.005,0.074,0.015,0.0,0.294
22,8023,50,11,480,8,94,532,263,2,1440,2383,1115,1843,4434,4565,5035,6563,5192,31130,0.21,0.046,2.014,0.034,0.394,2.232,1.104,0.008,6.043,0.448,0.099,4.305,0.072,0.843,4.771,2.359,0.018,12.915,0.271,0.06,2.604,0.043,0.51,2.887,1.427,0.011,7.813,0.113,0.025,1.083,0.018,0.212,1.2,0.593,0.005,3.248,0.11,0.024,1.051,0.018,0.206,1.165,0.576,0.004,3.154,0.099,0.022,0.953,0.016,0.187,1.057,0.522,0.004,2.86,0.076,0.017,0.731,0.012,0.143,0.811,0.401,0.003,2.194,0.096,0.021,0.924,0.015,0.181,1.025,0.507,0.004,2.773,0.016,0.004,0.154,0.003,0.03,0.171,0.084,0.001,0.463
