,addrcode,DF_0,Total,Age < 7_bin,Age < 7_bowl,Age < 7_bucket,Age < 7_misc_short,Age < 7_jar,Age < 7_pottedplant,Age < 7_tire,Age < 7_misc_tall,Age < 7_total,Age 7 - 9_bin,Age 7 - 9_bowl,Age 7 - 9_bucket,Age 7 - 9_misc_short,Age 7 - 9_jar,Age 7 - 9_pottedplant,Age 7 - 9_tire,Age 7 - 9_misc_tall,Age 7 - 9_total,Age 10 - 14_bin,Age 10 - 14_bowl,Age 10 - 14_bucket,Age 10 - 14_misc_short,Age 10 - 14_jar,Age 10 - 14_pottedplant,Age 10 - 14_tire,Age 10 - 14_misc_tall,Age 10 - 14_total,Age 15 - 24_bin,Age 15 - 24_bowl,Age 15 - 24_bucket,Age 15 - 24_misc_short,Age 15 - 24_jar,Age 15 - 24_pottedplant,Age 15 - 24_tire,Age 15 - 24_misc_tall,Age 15 - 24_total,Age 25 - 34_bin,Age 25 - 34_bowl,Age 25 - 34_bucket,Age 25 - 34_misc_short,Age 25 - 34_jar,Age 25 - 34_pottedplant,Age 25 - 34_tire,Age 25 - 34_misc_tall,Age 25 - 34_total,Age 35 - 44_bin,Age 35 - 44_bowl,Age 35 - 44_bucket,Age 35 - 44_misc_short,Age 35 - 44_jar,Age 35 - 44_pottedplant,Age 35 - 44_tire,Age 35 - 44_misc_tall,Age 35 - 44_total,Age 45 - 60_bin,Age 45 - 60_bowl,Age 45 - 60_bucket,Age 45 - 60_misc_short,Age 45 - 60_jar,Age 45 - 60_pottedplant,Age 45 - 60_tire,Age 45 - 60_misc_tall,Age 45 - 60_total,Age > 60_bin,Age > 60_bowl,Age > 60_bucket,Age > 60_misc_short,Age > 60_jar,Age > 60_pottedplant,Age > 60_tire,Age > 60_misc_tall,Age > 60_total,Total_bin,Total_bowl,Total_bucket,Total_misc_short,Total_jar,Total_pottedplant,Total_tire,Total_misc_tall,Total_total
10,800116,109.11485278901327,10631,0.523,0.012,5.942,0.057999999999999996,0.11599999999999999,3.233,0.64,0.012,10.535,1.25,0.027999999999999997,14.194,0.139,0.278,7.722,1.528,0.027999999999999997,25.166999999999998,0.7170000000000001,0.016,8.137,0.08,0.159,4.427,0.8759999999999999,0.016,14.427,0.309,0.006999999999999999,3.505,0.034,0.069,1.9069999999999998,0.377,0.006999999999999999,6.2139999999999995,0.282,0.006,3.2060000000000004,0.031,0.063,1.744,0.345,0.006,5.684,0.267,0.006,3.0269999999999997,0.03,0.059000000000000004,1.6469999999999998,0.326,0.006,5.367000000000001,0.191,0.004,2.1630000000000003,0.021,0.042,1.177,0.233,0.004,3.8360000000000003,0.268,0.006,3.04,0.03,0.059000000000000004,1.6540000000000001,0.327,0.006,5.39,0.042,0.001,0.48100000000000004,0.005,0.009000000000000001,0.261,0.052000000000000005,0.001,0.852
11,800118,87.4938638791834,34631,0.594,0.017,3.614,0.055999999999999994,0.04,2.376,0.475,0.006999999999999999,7.178,1.307,0.036000000000000004,7.952000000000001,0.12300000000000001,0.087,5.229,1.046,0.015,15.795,0.782,0.022000000000000002,4.757,0.07400000000000001,0.052000000000000005,3.128,0.626,0.009000000000000001,9.448,0.35600000000000004,0.01,2.165,0.034,0.024,1.423,0.285,0.004,4.3,0.373,0.01,2.269,0.035,0.025,1.492,0.298,0.004,4.507,0.336,0.009000000000000001,2.041,0.032,0.022000000000000002,1.3419999999999999,0.268,0.004,4.055,0.23800000000000002,0.006999999999999999,1.45,0.023,0.016,0.9540000000000001,0.191,0.003,2.88,0.35100000000000003,0.01,2.137,0.033,0.023,1.405,0.281,0.004,4.246,0.052000000000000005,0.001,0.316,0.005,0.003,0.20800000000000002,0.042,0.001,0.628
12,800119,21.37149228767887,10762,0.597,0.073,2.01,0.024,0.46299999999999997,2.363,0.512,0.012,6.053999999999999,1.4669999999999999,0.18,4.94,0.06,1.138,5.808,1.2570000000000001,0.03,14.88,0.9059999999999999,0.111,3.05,0.037000000000000005,0.7020000000000001,3.5860000000000003,0.7759999999999999,0.018000000000000002,9.187000000000001,0.326,0.04,1.0979999999999999,0.013000000000000001,0.253,1.291,0.27899999999999997,0.006999999999999999,3.307,0.304,0.037000000000000005,1.025,0.012,0.23600000000000002,1.205,0.261,0.006,3.0869999999999997,0.29600000000000004,0.036000000000000004,0.998,0.012,0.23,1.1740000000000002,0.254,0.006,3.0069999999999997,0.205,0.025,0.691,0.008,0.159,0.813,0.17600000000000002,0.004,2.082,0.256,0.031,0.863,0.01,0.19899999999999998,1.014,0.22,0.005,2.5980000000000003,0.046,0.006,0.153,0.002,0.035,0.18,0.039,0.001,0.462
13,800120,82.63791048011272,36908,0.44799999999999995,0.055999999999999994,2.752,0.07,0.16399999999999998,3.1710000000000003,0.524,0.006999999999999999,7.192,1.088,0.136,6.692,0.17,0.4,7.712999999999999,1.276,0.017,17.491,0.631,0.079,3.883,0.099,0.23199999999999998,4.475,0.74,0.01,10.148,0.203,0.025,1.248,0.032,0.075,1.439,0.23800000000000002,0.003,3.263,0.21100000000000002,0.026000000000000002,1.2990000000000002,0.033,0.078,1.4969999999999999,0.248,0.003,3.3960000000000004,0.242,0.03,1.485,0.038,0.08900000000000001,1.7109999999999999,0.28300000000000003,0.004,3.8810000000000002,0.16,0.02,0.987,0.025,0.059000000000000004,1.137,0.188,0.003,2.5789999999999997,0.24600000000000002,0.031,1.5119999999999998,0.038,0.09,1.742,0.28800000000000003,0.004,3.951,0.035,0.004,0.213,0.005,0.013000000000000001,0.24600000000000002,0.040999999999999995,0.001,0.557
14,800121,77.76599505125486,11316,1.689,0.066,3.819,0.055,0.552,5.188,1.104,0.011000000000000001,12.482999999999999,3.6430000000000002,0.14300000000000002,8.238,0.11900000000000001,1.19,11.19,2.381,0.024,26.929000000000002,2.155,0.085,4.873,0.07,0.7040000000000001,6.62,1.4080000000000001,0.013999999999999999,15.93,0.9209999999999999,0.036000000000000004,2.083,0.03,0.301,2.83,0.602,0.006,6.809,0.843,0.033,1.9069999999999998,0.027999999999999997,0.276,2.591,0.551,0.006,6.235,0.863,0.034,1.953,0.027999999999999997,0.282,2.6519999999999997,0.564,0.006,6.382999999999999,0.591,0.023,1.335,0.019,0.193,1.814,0.386,0.004,4.365,1.061,0.042,2.399,0.035,0.34700000000000003,3.259,0.693,0.006999999999999999,7.843,0.135,0.005,0.306,0.004,0.044000000000000004,0.415,0.08800000000000001,0.001,0.9990000000000001
15,800122,84.10237759694503,21997,0.9740000000000001,0.033,4.136,0.107,0.22699999999999998,2.575,0.6,0.006999999999999999,8.658999999999999,2.169,0.07400000000000001,9.212,0.23800000000000002,0.505,5.736000000000001,1.337,0.015,19.287,1.252,0.043,5.317,0.13699999999999998,0.292,3.31,0.772,0.009000000000000001,11.132,0.496,0.017,2.1069999999999998,0.054000000000000006,0.11599999999999999,1.3119999999999998,0.306,0.003,4.412,0.45799999999999996,0.016,1.945,0.05,0.107,1.2109999999999999,0.282,0.003,4.073,0.42700000000000005,0.015,1.811,0.047,0.099,1.128,0.263,0.003,3.792,0.278,0.01,1.18,0.03,0.065,0.735,0.171,0.002,2.47,0.379,0.013000000000000001,1.609,0.042,0.08800000000000001,1.002,0.23399999999999999,0.003,3.3689999999999998,0.066,0.002,0.282,0.006999999999999999,0.015,0.175,0.040999999999999995,0.0,0.59
16,800201,154.4912822776429,9062,0.83,0.028999999999999998,3.176,0.043,0.086,2.031,0.45799999999999996,0.0,6.652,1.98,0.068,7.577000000000001,0.102,0.205,4.846,1.092,0.0,15.87,1.162,0.04,4.449,0.06,0.12,2.846,0.6409999999999999,0.0,9.318999999999999,0.48,0.017,1.838,0.025,0.05,1.175,0.265,0.0,3.8489999999999998,0.433,0.015,1.6569999999999998,0.022000000000000002,0.045,1.06,0.239,0.0,3.47,0.40299999999999997,0.013999999999999999,1.544,0.021,0.042,0.987,0.223,0.0,3.234,0.265,0.009000000000000001,1.015,0.013999999999999999,0.027000000000000003,0.649,0.146,0.0,2.126,0.415,0.013999999999999999,1.588,0.021,0.043,1.016,0.22899999999999998,0.0,3.326,0.064,0.002,0.245,0.003,0.006999999999999999,0.157,0.035,0.0,0.513
17,800202,149.42751795070834,5153,1.729,0.027000000000000003,4.149,0.053,0.027000000000000003,4.043,0.18600000000000003,0.0,10.213,3.736,0.057,8.966000000000001,0.115,0.057,8.736,0.402,0.0,22.069000000000003,2.549,0.039,6.117999999999999,0.078,0.039,5.961,0.275,0.0,15.059000000000001,0.9940000000000001,0.015,2.385,0.031,0.015,2.324,0.107,0.0,5.872000000000001,0.905,0.013999999999999999,2.173,0.027999999999999997,0.013999999999999999,2.117,0.09699999999999999,0.0,5.348,0.764,0.012,1.8330000000000002,0.024,0.012,1.786,0.08199999999999999,0.0,4.512,0.551,0.008,1.3219999999999998,0.017,0.008,1.288,0.059000000000000004,0.0,3.2539999999999996,0.688,0.011000000000000001,1.651,0.021,0.011000000000000001,1.608,0.07400000000000001,0.0,4.063,0.126,0.002,0.303,0.004,0.002,0.295,0.013999999999999999,0.0,0.745
18,800203,128.04983561169755,5779,0.21899999999999997,0.08800000000000001,1.0070000000000001,0.0,0.044000000000000004,3.654,0.48100000000000004,0.022000000000000002,5.513999999999999,0.435,0.174,2.0,0.0,0.087,7.261,0.9570000000000001,0.043,10.957,0.26899999999999996,0.10800000000000001,1.237,0.0,0.054000000000000006,4.489,0.591,0.027000000000000003,6.774,0.129,0.052000000000000005,0.595,0.0,0.026000000000000002,2.16,0.285,0.013000000000000001,3.26,0.115,0.046,0.529,0.0,0.023,1.922,0.253,0.012,2.9,0.10300000000000001,0.040999999999999995,0.475,0.0,0.021,1.723,0.22699999999999998,0.01,2.6010000000000004,0.08199999999999999,0.033,0.376,0.0,0.016,1.364,0.18,0.008,2.059,0.113,0.045,0.52,0.0,0.023,1.8869999999999998,0.249,0.011000000000000001,2.847,0.017,0.006999999999999999,0.08,0.0,0.003,0.289,0.038,0.002,0.436
19,800204,129.50498423788022,11737,1.416,0.01,3.025,0.019,0.0,1.705,0.35600000000000004,0.0,6.532,2.964,0.02,6.331,0.04,0.0,3.569,0.746,0.0,13.669,2.068,0.013999999999999999,4.416,0.027999999999999997,0.0,2.489,0.52,0.0,9.536,0.963,0.006999999999999999,2.0580000000000003,0.013000000000000001,0.0,1.16,0.242,0.0,4.4430000000000005,0.855,0.006,1.827,0.012,0.0,1.03,0.215,0.0,3.944,0.7979999999999999,0.005,1.704,0.011000000000000001,0.0,0.96,0.201,0.0,3.679,0.545,0.004,1.165,0.006999999999999999,0.0,0.657,0.13699999999999998,0.0,2.515,0.861,0.006,1.838,0.012,0.0,1.036,0.217,0.0,3.97,0.125,0.001,0.268,0.002,0.0,0.151,0.032,0.0,0.578
