,addrcode,land_area,image_area,image/area,Age < 7,Age 7 - 9,Age 10 - 14,Age 15 - 24,Age 25 - 34,Age 35 - 44,Age 45 - 60,Age > 60,Age < 7_s,Age 7 - 9_s,Age 10 - 14_s,Age 15 - 24_s,Age 25 - 34_s,Age 35 - 44_s,Age 45 - 60_s,Age > 60_s
31,1033,122.94,103.81,0.84,6194,2932,5042,12463,14256,15626,23073,15460,5202.96,2462.88,4235.28,10468.92,11975.04,13125.84,19381.32,12986.4
32,1034,223.91,252.01,1.13,8343,3894,7083,15490,18028,21347,26869,17963,9427.59,4400.22,8003.79,17503.7,20371.64,24122.11,30361.97,20298.19
33,1035,215.12,146.37,0.68,9115,4452,7912,20484,21628,22516,37060,25497,6198.2,3027.36,5380.16,13929.12,14707.04,15310.88,25200.8,17337.96
34,1036,341.0,302.33,0.89,10547,5349,9035,26774,24571,27193,41628,21286,9386.83,4760.61,8041.15,23828.86,21868.19,24201.77,37048.92,18944.54
35,1037,66.58,107.98,1.62,3213,1658,3009,9905,8570,8732,14925,11330,5205.06,2685.96,4874.58,16046.1,13883.4,14145.84,24178.5,18354.6
36,1038,197.55,272.12,1.38,7188,3638,6840,14463,16208,21143,28788,21033,9919.44,5020.44,9439.2,19958.94,22367.04,29177.34,39727.44,29025.54
37,1039,120.69,147.07,1.22,3990,1998,3508,7963,9038,10615,15727,15082,4867.8,2437.56,4279.76,9714.86,11026.36,12950.3,19186.94,18400.04
38,1040,323.97,159.70999999999998,0.49,8472,4216,7439,18693,18289,21364,33673,19106,4151.28,2065.84,3645.11,9159.57,8961.61,10468.36,16499.77,9361.94
39,1041,210.64,274.95000000000005,1.31,5877,2824,5151,14035,14004,16829,26135,18723,7698.87,3699.44,6747.81,18385.85,18345.24,22045.99,34236.85,24527.13
40,1042,405.27,227.73000000000002,0.56,14370,6935,11798,27137,26853,33985,51043,24555,8047.2,3883.6,6606.88,15196.72,15037.68,19031.6,28584.08,13750.8
41,1043,235.75,236.76999999999998,1.0,5933,2974,5206,11880,11746,14492,21967,12467,5933.0,2974.0,5206.0,11880.0,11746.0,14492.0,21967.0,12467.0
42,1044,260.65,205.72,0.79,6579,3114,6095,12965,13061,15576,23155,13339,5197.41,2460.06,4815.05,10242.35,10318.19,12305.04,18292.45,10537.81
43,1045,158.59,215.45999999999998,1.36,6747,3573,7157,14877,15018,19047,27153,17240,9175.92,4859.28,9733.52,20232.72,20424.48,25903.92,36928.08,23446.4
44,1046,1116.49,340.72999999999996,0.31,15927,7429,12637,26650,25604,34922,47825,16998,4937.37,2302.99,3917.47,8261.5,7937.24,10825.82,14825.75,5269.38
45,1047,175.9,51.73,0.29,5160,2755,4928,11819,12806,14532,22960,14548,1496.4,798.95,1429.12,3427.51,3713.74,4214.28,6658.4,4218.92
46,1048,480.56000000000006,227.95,0.47,4699,2416,4235,10552,10376,11667,20627,12503,2208.53,1135.52,1990.45,4959.44,4876.72,5483.49,9694.69,5876.41
47,1049,305.87,119.55,0.39,8614,4171,7482,16857,16376,20360,29607,15964,3359.46,1626.69,2917.98,6574.23,6386.64,7940.4,11546.73,6225.96
48,1050,332.92,214.54,0.64,7594,4065,7526,16568,13844,16162,25880,12503,4860.16,2601.6,4816.64,10603.52,8860.16,10343.68,16563.2,8001.92
