,addrcode,Bin,Bowl,Bucket,Misc Short,Jar,Pottedplant,Tire,Misc Tall,Total
0,100101,0.12382234185733512,0.018842530282637954,0.11843876177658143,0.029609690444145357,0.005383580080753701,0.39030955585464333,0.03768506056527591,0.03230148048452221,0.756393001345895
1,100102,0.010689470871191877,0.007126313914127917,0.05522893283449136,0.0017815784785319793,0.002672367717797969,0.1451986460003563,0.009798681631925887,0.0035631569570639585,0.23605914840548725
2,100103,0.036057692307692304,0.018028846153846152,0.08413461538461539,0.009014423076923076,0.006009615384615385,0.27944711538461536,0.015024038461538462,0.0,0.44771634615384615
3,100104,0.03626473254759746,0.012088244182532487,0.08763977032336054,0.009066183136899365,0.0030220610456331218,0.2357207615593835,0.015110305228165609,0.0,0.3989120580235721
4,100105,0.03422526446795271,0.03422526446795271,0.1897946484131923,0.03422526446795271,0.006222775357809583,0.48537647790914745,0.043559427504667084,0.006222775357809583,0.8338518979464842
5,100106,0.021920210434020166,0.0131521262604121,0.07452871547566857,0.0394563787812363,0.0,0.2367382726874178,0.004384042086804033,0.0,0.39017974572555897
6,100107,0.038894575230296824,0.022517911975435005,0.10440122824974411,0.022517911975435005,0.008188331627430911,0.44012282497441146,0.02047082906857728,0.01023541453428864,0.6673490276356192
7,100108,0.01201923076923077,0.01201923076923077,0.07211538461538461,0.03205128205128205,0.004006410256410256,0.18830128205128205,0.0,0.0,0.32051282051282054
8,100109,0.02041858090862685,0.010209290454313425,0.1276161306789178,0.005104645227156712,0.010209290454313425,0.30627871362940273,0.03573251659009699,0.0,0.5155691679428279
9,100110,0.029364263691087945,0.02642783732197915,0.12920276024078697,0.013213918660989575,0.005872852738217589,0.37439436206137133,0.020554984583761562,0.0029364263691087945,0.6019674056673029
10,100111,0.030434782608695653,0.015217391304347827,0.08260869565217391,0.006521739130434782,0.002173913043478261,0.26521739130434785,0.021739130434782608,0.0,0.42391304347826086
11,100112,0.031206657420249653,0.024271844660194174,0.1664355062413315,0.006934812760055479,0.0,0.5374479889042996,0.03467406380027739,0.0,0.8009708737864077
12,100201,0.05240640692145709,0.008337382919322718,0.09528437622083107,0.004764218811041553,0.00714632821656233,0.23225566703827574,0.02858531286624932,0.0011910547027603883,0.4299707476965002
13,100202,0.03453213560539438,0.008057498307925355,0.10244533562933666,0.008057498307925355,0.0011510711868464793,0.19107781701651558,0.028776779671161986,0.0,0.3740981357251058
14,100203,0.023581462724444995,0.005614633982010713,0.06962146137693284,0.00449170718560857,0.002245853592804285,0.2425521880228628,0.02133560913164071,0.0,0.3694429160163049
15,100204,0.012158875979465009,0.006754931099702783,0.08241015941637396,0.006754931099702783,0.0013509862199405566,0.0716022696568495,0.012158875979465009,0.0,0.1931910294514996
16,100301,0.2389937646956121,0.011448803099191,0.9559750587824484,0.012879903486589874,0.03863971045976962,1.0776185917113528,0.26618467205619073,0.00286220077479775,2.604602705065952
17,100302,0.3121861172191004,0.005429323777723485,0.5836523061052746,0.0,0.03800526644406439,0.4614925211064962,0.17373836088715153,0.0,1.5745038955398105
18,100303,0.568569479190357,0.026241668270324172,1.3995556410839558,0.017494445513549447,0.16619723237871975,1.172127849407813,0.15745000962194503,0.0,3.507636325466664
19,100304,0.7111371680455127,0.027142640001737127,2.6491216641695434,0.0217141120013897,0.16828436801077018,2.448266128156689,0.39085401602501463,0.005428528000347425,6.421948624411004
20,100305,0.2336378613149618,0.020368428935150517,1.0028455893365285,0.013179571663920923,0.059907143926913285,1.2927961659427887,0.2576007188857271,0.0023962857570765314,2.8827317657630673
21,100306,0.2655693450840924,0.01916479809885203,0.629700508962281,0.008213484899508013,0.05749439429655609,1.0212099558388297,0.09582399049426014,0.005475656599672009,2.1026521342740514
22,100307,0.07263624884061372,0.013968509392425716,0.22628985215729658,0.002793701878485143,0.019555913149396,0.19276542961547488,0.23746465967123717,0.0,0.7654743147049292
23,100401,0.021110036062978274,0.015832527047233706,0.08619931392382796,0.007036678687659424,0.001759169671914856,0.17239862784765592,0.02286920573489313,0.000879584835957428,0.32808514381212067
24,100402,0.041588687876897484,0.010397171969224371,0.140361821584529,0.020794343938448742,0.0031191515907673115,0.3035974215013516,0.040548970679975045,0.0051985859846121855,0.5656061551258058
25,100403,0.06782215523737754,0.037678975131876416,0.1833710123084652,0.012559658377292138,0.0025119316754584277,0.42451645315247427,0.06782215523737754,0.007535795026375283,0.8038181361466968
26,100404,0.05875872199779655,0.022034520749173704,0.28644876973925815,0.029379360998898273,0.02570694087403599,0.5765699596033786,0.0918105031215571,0.011017260374586852,1.1017260374586852
27,100405,0.019030448717948716,0.019030448717948716,0.09014423076923077,0.004006410256410256,0.0030048076923076925,0.2564102564102564,0.026041666666666668,0.002003205128205128,0.41967147435897434
28,100502,0.07792257311642409,0.009532491163602377,0.251945958312421,0.004212030979266167,0.015185480109459602,0.4345042483874572,0.04212030979266167,0.001440957966591057,0.8368640498278832
29,100508,0.09749085528797147,0.005118851590299218,0.24070236228020642,0.00546786419872871,0.014542192017895505,0.4355677353200062,0.052002878655994324,0.0017450630421474607,0.8526378023932493
30,100601,0.07352753778321482,0.010321890052756327,0.2683691413716645,0.008282998190483472,0.012870504880597395,0.47671840354767187,0.04358131355608227,0.002038891862272855,0.8957106812447435
31,100608,0.08367704222426635,0.011127266253226907,0.34301652769947477,0.008901813002581525,0.01172072045339901,0.6366279932346222,0.06038396486751135,0.0022254532506453813,1.1576807809857275
