,addrcode,bin,bowl,bucket,misc_short,jar,pottedplant,tire,misc_tall,total
77,101502,0.048,0.032,0.388,0.008,0.024,0.598,0.081,0.0,1.18
78,102206,0.221,0.012,0.907,0.025,0.061,1.9,0.245,0.012,3.384
79,103302,0.996,0.088,1.631,0.205,0.088,4.65,0.381,0.059,8.099
80,100702,0.337,0.266,1.595,0.142,0.035,3.509,1.223,0.053,7.159
81,100703,0.274,0.16,1.208,0.114,0.046,4.582,0.547,0.137,7.066
82,100704,0.374,0.146,1.051,0.14,0.029,2.751,0.31,0.029,4.829
83,103901,0.789,0.241,1.805,0.187,0.12,5.83,0.508,0.12,9.601
84,100102,0.107,0.071,0.552,0.018,0.027,1.452,0.098,0.036,2.361
85,102209,0.267,0.1,1.035,0.047,0.04,2.071,0.334,0.0,3.894
86,100403,0.678,0.377,1.834,0.126,0.025,4.245,0.678,0.075,8.038
87,104501,0.97,0.051,3.571,0.044,0.15,5.079,0.99,0.02,10.874
88,102202,0.092,0.058,0.868,0.01,0.037,1.538,0.16,0.007,2.77
89,100402,0.416,0.104,1.404,0.208,0.031,3.036,0.405,0.052,5.656
90,101902,0.276,0.012,1.276,0.036,0.032,2.412,0.452,0.008,4.504
91,104401,0.372,0.05,2.301,0.031,0.193,5.16,0.436,0.013,8.554
92,102501,0.476,0.042,1.435,0.059,0.126,3.38,0.442,0.008,5.969
93,101401,0.393,0.073,0.903,0.055,0.033,2.432,0.31,0.025,4.224
94,103102,0.062,0.043,0.373,0.019,0.008,0.964,0.171,0.0,1.64
95,103203,0.583,0.039,1.811,0.037,0.101,2.325,0.426,0.002,5.324
96,101701,0.864,0.149,2.755,0.114,0.105,5.309,0.829,0.026,10.153
97,102503,0.191,0.059,1.159,0.059,0.074,2.452,0.229,0.011,4.233
98,102105,0.451,0.028,1.457,0.028,0.046,1.509,0.325,0.009,3.854
99,101506,0.167,0.063,0.69,0.063,0.04,1.817,0.287,0.0,3.128
100,104001,0.391,0.066,2.882,0.077,0.158,4.603,0.498,0.018,8.693
101,104004,0.029,0.0,0.06,0.004,0.002,0.127,0.05,0.0,0.271
102,103501,0.279,0.057,1.709,0.043,0.065,2.926,0.336,0.014,5.429
103,103103,0.629,0.073,1.393,0.059,0.049,2.848,0.4,0.019,5.469
104,102210,0.278,0.077,0.925,0.015,0.077,2.56,0.278,0.015,4.225
105,102207,0.233,0.063,2.016,0.037,0.153,3.386,0.381,0.016,6.285
106,100104,0.363,0.121,0.876,0.091,0.03,2.357,0.151,0.0,3.989
107,103301,0.104,0.033,0.355,0.047,0.008,0.873,0.12,0.013,1.552
108,102009,0.355,0.034,1.119,0.044,0.059,2.656,0.36,0.01,4.638
109,100202,0.262,0.061,0.779,0.061,0.009,1.452,0.219,0.0,2.843
110,102504,0.193,0.056,0.744,0.048,0.072,1.883,0.193,0.012,3.203
111,101103,0.54,0.02,2.943,0.091,0.156,2.344,2.656,0.007,8.757
112,100201,0.482,0.077,0.877,0.044,0.066,2.137,0.263,0.011,3.956
113,101901,0.241,0.05,1.838,0.06,0.07,3.847,0.372,0.01,6.489
114,101905,0.403,0.052,1.013,0.036,0.041,1.974,0.269,0.0,3.788
115,101102,0.021,0.003,0.131,0.0,0.006,0.089,0.05,0.0,0.3
116,102006,0.192,0.011,0.534,0.011,0.043,1.793,0.096,0.0,2.679
117,104801,0.727,0.018,2.005,0.036,0.145,2.61,0.605,0.005,6.151
118,100701,0.199,0.041,0.766,0.064,0.053,1.871,0.368,0.012,3.373
119,104003,0.574,0.062,2.219,0.04,0.225,3.097,0.424,0.017,6.659
120,100802,0.071,0.043,0.724,0.085,0.014,2.33,0.384,0.0,3.651
121,100103,0.361,0.18,0.841,0.09,0.06,2.794,0.15,0.0,4.477
122,103401,0.581,0.066,2.161,0.054,0.09,3.936,0.399,0.016,7.301
123,101501,0.076,0.033,0.732,0.011,0.011,1.289,0.164,0.076,2.393
124,101303,0.307,0.134,0.427,0.107,0.013,1.256,0.16,0.04,2.445
125,102107,0.293,0.045,1.44,0.036,0.097,1.955,0.322,0.01,4.199
126,102802,0.201,0.093,0.872,0.052,0.026,2.168,0.289,0.01,3.711
127,101507,0.159,0.121,0.863,0.083,0.076,1.492,0.19,0.006,2.99
128,101803,0.197,0.058,0.793,0.025,0.053,1.529,0.152,0.0,2.808
129,101301,0.138,0.069,0.703,0.055,0.028,1.172,0.207,0.028,2.398
130,102801,0.248,0.073,0.928,0.044,0.042,2.399,0.326,0.016,4.076
131,100803,0.141,0.109,1.27,0.022,0.054,2.951,0.369,0.0,4.915
132,100105,0.342,0.342,1.898,0.342,0.062,4.854,0.436,0.062,8.339
133,100804,0.147,0.177,1.001,0.147,0.029,2.296,0.25,0.015,4.062
134,100106,0.219,0.132,0.745,0.395,0.0,2.367,0.044,0.0,3.902
135,103903,0.585,0.109,1.623,0.095,0.068,2.919,0.367,0.018,5.784
136,103303,0.645,0.061,1.098,0.061,0.08,3.307,0.4,0.009,5.663
137,102201,0.345,0.073,2.008,0.056,0.121,3.016,0.347,0.02,5.988
138,101505,0.155,0.075,0.672,0.05,0.075,2.12,0.131,0.0,3.277
139,103101,0.09,0.036,0.513,0.022,0.018,1.048,0.058,0.009,1.794
140,103504,0.325,0.066,1.679,0.069,0.072,2.963,0.369,0.009,5.551
141,102302,0.368,0.036,1.723,0.031,0.173,2.927,0.318,0.006,5.582
142,101204,0.118,0.037,0.555,0.017,0.024,0.895,0.192,0.003,1.841
143,102402,0.264,0.043,1.259,0.041,0.084,1.924,0.196,0.008,3.819
144,105001,0.499,0.092,3.712,0.071,0.157,4.066,0.577,0.012,9.187
145,103503,0.348,0.048,2.705,0.048,0.105,4.112,0.393,0.014,7.773
146,102401,0.307,0.027,0.893,0.015,0.033,1.474,0.304,0.009,3.063
147,104701,0.169,0.017,0.57,0.012,0.022,0.766,0.172,0.008,1.736
