,addrcode,bin,bowl,bucket,misc_short,jar,pottedplant,tire,misc_tall,total
59,801003,53,5,237,3,3,136,67,0,504
60,801208,2,2,67,0,12,68,18,0,169
61,801205,11,1,259,2,31,164,72,0,540
62,801101,83,5,912,13,13,228,46,0,1300
63,801204,3,1,31,1,10,44,19,0,109
64,802003,102,1,195,7,32,279,91,1,708
65,801206,1,2,31,0,6,75,32,0,147
66,801215,4,0,47,0,19,50,17,0,137
67,801217,6,2,78,1,34,102,22,0,245
68,801207,2,0,49,3,21,58,17,0,150
69,801216,15,5,292,2,32,114,26,0,486
70,800906,40,1,116,2,4,117,17,0,297
71,801303,85,4,146,3,30,259,63,0,590
72,801001,119,0,149,3,8,130,48,0,457
73,801203,0,0,32,0,13,64,17,0,126
74,802304,16,3,241,3,42,290,123,0,718
75,801211,2,1,30,1,18,50,16,0,118
76,801104,15,2,560,4,11,140,25,0,757
77,801107,26,4,664,6,19,163,21,0,903
78,800911,105,9,746,7,11,362,152,0,1392
79,801213,0,0,17,1,8,52,12,0,90
80,802302,3,5,99,4,17,98,49,0,275
81,801218,13,5,301,5,24,128,23,0,499
82,800912,154,4,196,4,10,177,76,0,621
83,801301,19,2,59,0,0,47,46,0,173
84,802301,0,0,2,0,0,9,1,0,12
85,800913,52,3,690,9,12,185,40,0,991
86,800606,2,1,30,0,16,89,25,0,163
87,800903,112,2,164,3,3,128,58,0,470
88,800601,66,0,56,1,10,114,22,1,270
89,801306,28,2,104,1,11,119,38,0,303
90,801305,4,1,55,1,12,209,44,2,328
91,800605,2,1,30,1,8,54,22,0,118
92,800902,322,9,518,13,11,615,198,0,1686
93,800610,5,0,63,2,21,93,19,0,203
94,802303,31,3,138,1,35,135,90,2,435
95,800901,98,3,236,5,2,216,121,0,681
96,800904,1,0,0,0,0,0,1,0,2
97,800604,4,0,21,1,5,39,11,0,81
98,800607,36,1,56,0,10,53,21,0,177
99,801608,2,0,24,1,13,49,11,0,100
100,801611,68,6,537,7,25,262,42,0,947
101,800603,3,1,19,1,1,33,5,0,63
102,801304,18,2,54,0,1,24,8,0,107
103,800905,7,1,120,5,15,209,19,2,378
104,801904,145,4,386,8,10,241,125,0,919
105,801701,21,1,125,3,38,188,57,0,433
106,800909,21,1,473,4,4,145,75,0,723
107,800611,29,2,212,4,4,49,25,0,325
108,801903,6,0,27,0,5,72,13,0,123
109,801607,0,1,51,1,9,67,17,0,146
110,800612,33,3,236,5,13,118,44,0,452
111,800613,53,0,165,0,18,136,51,1,424
112,801906,24,2,78,2,0,60,61,0,227
113,800706,4,1,170,2,9,122,32,0,340
114,801606,0,3,100,0,16,96,16,1,232
115,801601,13,1,95,2,5,41,13,0,170
116,800907,7,0,46,1,5,159,26,0,244
117,801902,1,0,11,0,2,25,5,0,44
118,801702,24,1,454,5,56,285,90,3,918
119,801603,29,3,353,6,10,110,56,1,568
120,801703,15,1,86,2,16,130,76,1,327
121,801905,50,4,190,4,6,161,112,0,527
