,addrcode,Bin,Bowl,Bucket,Misc Short,Jar,Pottedplant,Tire,Misc Tall,Total
0,800101,0.08558475203552923,0.006476683937823834,0.21928201332346411,0.003700962250185048,0.005320133234641007,0.3000092524056255,0.037934863064396744,0.0011565507031828276,0.6594652109548482
1,800102,0.09333852172815615,0.010517016532749989,0.32734213958184344,0.013146270665937487,0.01380358419923436,0.4298830507761558,0.061130158596609314,0.0013146270665937486,0.9504753691472803
2,800103,0.10651629072681704,0.009398496240601503,0.32205513784461154,0.006892230576441102,0.010025062656641603,0.35651629072681706,0.05451127819548872,0.0018796992481203006,0.8677944862155389
3,800106,0.7393749941505142,0.00935917714114575,1.9186313139348787,0.0561550628468745,0.12166930283489476,1.9467088453583161,0.35564873136353853,0.0,5.147547427630163
4,800107,1.332163897530946,0.02206482646013989,1.026014430396505,0.02206482646013989,0.13790516537587433,1.847929216036716,0.306149467134441,0.0027581033075174863,4.69704993270228
5,800108,0.7672319573824362,0.0,3.1774983895366935,0.07238037333796568,0.03619018666898284,1.6502725121056174,0.24609326934908332,0.0,5.949666688380779
6,800112,1.0221134620549701,0.014921364409561608,3.6557342803425943,0.029842728819123216,0.007460682204780804,1.4026082544987912,0.3133486526007938,0.007460682204780804,6.453490107135396
7,800113,0.2744739249771272,0.0,2.641049100335468,0.018298261665141813,0.04269594388533089,0.8295211954864288,0.2073802988716072,0.0,4.013418725221104
8,800114,0.40570345290520554,0.014752852832916564,0.6417490982318705,0.0,0.11802282266333251,0.9368061548902018,0.19178708682791534,0.0,2.3088214683514425
9,800115,0.10192017611806432,0.0055592823337126,1.549186676994578,0.0333556940022756,0.0222371293348504,0.5373972922588847,0.08153614089445146,0.0,2.331192391936817
10,800116,0.4232903771987583,0.009406452826639072,4.806697394412566,0.04703226413319537,0.09406452826639074,2.6149938858056623,0.5173549054651491,0.009406452826639072,8.522246260935
11,800118,0.14047716972841862,0.003902143603567184,0.8545694491812132,0.013267288252128424,0.009365144648561242,0.5619086789136745,0.11238173578273489,0.0015608574414268735,1.697432467551725
12,800119,0.41391427750840504,0.05068338091939653,1.3937929752834046,0.01689446030646551,0.3209947458228447,1.6387626497271546,0.35478366643577575,0.008447230153232755,4.198273386156679
13,800120,0.19267126669315898,0.024083908336644873,1.1846272413087195,0.03010488542080609,0.07074648073889431,1.3652565538335562,0.22578664065604567,0.003010488542080609,3.0962874655299064
14,800121,0.9657627632176942,0.03787304953794879,2.184012523355047,0.031560874614957324,0.31560874614957324,2.9667222138059883,0.6312174922991465,0.006312174922991465,7.139069837903347
15,800122,0.44248458123077394,0.015153581548999108,1.8790441120758894,0.04849146095679714,0.10304435453319392,1.169856495582731,0.27276446788198394,0.0030307163097998214,3.933869770120168
16,800201,0.9143361604187028,0.031528833117886304,3.49970047608538,0.047293249676829456,0.09458649935365891,2.2385471513699278,0.5044613298861809,0.0,7.330453699908566
17,800202,2.102335209263212,0.03234361860404942,5.0456045022317095,0.06468723720809884,0.03234361860404942,4.916230027815512,0.22640533022834594,0.0,12.419949543954978
18,800203,0.0910738517864136,0.036429540714565445,0.4189397182175026,0.0,0.018214770357282722,1.5209333248331072,0.20036247393010992,0.009107385178641361,2.295061065017623
19,800204,2.5048990372326827,0.017040129504984236,5.35060066456505,0.03408025900996847,0.0,3.01610292238221,0.6304847916844167,0.0,11.553207804379312
20,800205,0.1513317191283293,0.050443906376109765,1.1223769168684423,0.0,0.025221953188054883,2.396085552865214,0.2774414850686037,0.012610976594027441,4.035512510088781
21,800301,0.3976670201484624,0.0,1.4581124072110287,0.0,0.0,1.1930010604453871,0.1325556733828208,0.0,3.181336161187699
22,800302,3.8366057323403298,0.0,4.908598510494246,0.0,0.2821033626720831,4.570074475287746,0.2821033626720831,0.0,13.879485443466487
23,800303,1.091878926736714,0.01789965453666744,4.188519161580181,0.01789965453666744,0.07159861814666976,2.23745681708343,0.34009343619668136,0.0,7.965346268817011
24,800304,1.166903693979506,0.07293148087371913,5.360463844218357,0.036465740436859566,0.2187944426211574,4.302957371549429,0.40112314480545525,0.036465740436859566,11.596105458921343
25,800305,0.32412809542331134,0.016206404771165566,1.7259821081291327,0.016206404771165566,0.12965123816932453,1.085829119668093,0.3160248930377285,0.0,3.6140282639699213
26,800401,1.077121930202499,0.0359040643400833,3.0697975010771223,0.0359040643400833,0.0718081286801666,2.1362918282349566,0.3231365790607497,0.0,6.749964095935661
27,800403,0.17406440382941687,0.02175805047867711,2.8503046127067013,0.04351610095735422,0.17406440382941687,3.0243690165361183,0.3698868581375109,0.0,6.657963446475195
28,800404,0.43756412577705356,0.03017683626048645,3.666485605649104,0.1207073450419458,0.1207073450419458,2.202909047015511,0.5431830526887561,0.0,7.1217333574748025
29,800405,0.9466995201659966,0.025936973155232784,1.5302814161587341,0.038905459732849174,0.12968486577616392,1.4784074698482688,0.1815588120866295,0.0,4.331474516923874
30,800406,4.79252608590148,0.12132977432661975,7.340451346760495,0.2426595486532395,0.2426595486532395,3.943217665615142,1.2132977432661975,0.0,17.896141713176412
31,800407,0.940189484342229,0.07232226802632531,3.471468865263615,0.0,0.14464453605265062,1.7357344326318076,0.7955449482895784,0.0,7.1599045346062065
32,800409,1.4812528930720568,0.030859435272334514,7.066810677364604,0.1851566116340071,0.2468754821786761,3.517975621046135,0.8640641876253664,0.0,13.39299490819318
33,800410,0.6123037026365077,0.03601786486097104,4.034000864428757,0.05402679729145656,0.2521250540267973,3.1155453104739954,0.5942947702060222,0.01800893243048552,8.716323296354993
