,addrcode,bin,bowl,bucket,misc_short,jar,pottedplant,tire,misc_tall,total
51,103004,90,12,416,5,13,792,99,2,1429
52,101801,6,14,111,2,14,267,28,1,443
53,103201,517,37,1361,29,93,2198,249,8,4492
54,100401,24,18,98,8,2,196,26,1,373
55,100204,9,5,61,5,1,53,9,0,143
56,103605,104,16,276,11,16,555,102,3,1083
57,103602,429,44,1567,26,151,2826,182,10,5235
58,100304,131,5,488,4,31,451,72,1,1183
59,104201,487,37,1761,31,197,2951,314,11,5789
60,100203,21,5,62,4,2,216,19,0,329
61,100608,564,75,2312,60,79,4291,407,15,7803
62,101105,77,9,485,13,37,518,130,3,1272
63,102007,113,12,418,8,23,962,77,3,1616
64,101106,32,3,102,2,8,75,43,0,265
65,100405,19,19,90,4,3,256,26,2,419
66,100404,16,6,78,8,7,157,25,3,300
67,103801,623,69,2278,65,120,5411,445,23,9034
68,101001,636,63,2972,49,181,4165,458,12,8536
69,103003,248,35,976,23,57,1825,226,7,3397
70,103005,153,51,528,38,31,1030,209,4,2044
71,100601,577,81,2106,65,101,3741,342,16,7029
72,102701,300,48,1295,14,59,2362,243,7,4328
73,102502,35,5,79,4,8,189,26,0,346
74,101704,308,15,826,13,31,1716,156,14,3079
75,102303,269,49,1378,28,142,2196,293,7,4362
76,101802,19,12,119,8,5,200,36,1,400
77,101502,6,4,48,1,3,74,10,0,146
78,102206,18,1,74,2,5,155,20,1,276
79,103302,102,9,167,21,9,476,39,6,829
80,100702,19,15,90,8,2,198,69,3,404
81,100703,12,7,53,5,2,201,24,6,310
82,100704,64,25,180,24,5,471,53,5,827
83,103901,59,18,135,14,9,436,38,9,718
84,100102,12,8,62,2,3,163,11,4,265
85,102209,40,15,155,7,6,310,50,0,583
86,100403,27,15,73,5,1,169,27,3,320
87,104501,245,13,902,11,38,1283,250,5,2747
88,102202,27,17,255,3,11,452,47,2,814
89,100402,40,10,135,20,3,292,39,5,544
90,101902,69,3,319,9,8,603,113,2,1126
91,104401,349,47,2160,29,181,4844,409,12,8031
92,102501,113,10,341,14,30,803,105,2,1418
93,101401,270,50,621,38,23,1672,213,17,2904
94,103102,16,11,96,5,2,248,44,0,422
95,103203,271,18,842,17,47,1081,198,1,2475
96,101701,197,34,628,26,24,1210,189,6,2314
97,102503,36,11,218,11,14,461,43,2,796
98,102105,255,16,824,16,26,853,184,5,2179
99,101506,29,11,120,11,7,316,50,0,544
100,104001,153,26,1129,30,62,1803,195,7,3405
101,104004,15,0,31,2,1,66,26,0,141
102,103501,103,21,631,16,24,1080,124,5,2004
103,103103,233,27,516,22,18,1055,148,7,2026
104,102210,18,5,60,1,5,166,18,1,274
105,102207,44,12,381,7,29,640,72,3,1188
106,100104,12,4,29,3,1,78,5,0,132
107,103301,66,21,226,30,5,555,76,8,987
108,102009,72,7,227,9,12,539,73,2,941
109,100202,30,7,89,7,1,166,25,0,325
110,102504,48,14,185,12,18,468,48,3,796
111,101103,83,3,452,14,24,360,408,1,1345
112,100201,44,7,80,4,6,195,24,1,361
113,101901,24,5,183,6,7,383,37,1,646
114,101905,78,10,196,7,8,382,52,0,733
115,101102,14,2,87,0,4,59,33,0,199
116,102006,18,1,50,1,4,168,9,0,251
117,104801,161,4,444,8,32,578,134,1,1362
118,100701,34,7,131,11,9,320,63,2,577
119,104003,230,25,889,16,90,1241,170,7,2668
120,100802,5,3,51,6,1,164,27,0,257
121,100103,12,6,28,3,2,93,5,0,149
122,103401,691,78,2572,64,107,4684,475,19,8690
123,101501,7,3,67,1,1,118,15,7,219
124,101303,23,10,32,8,1,94,12,3,183
125,102107,355,55,1744,43,118,2368,390,12,5085
126,102802,39,18,169,10,5,420,56,2,719
