addrcode
800101
800102
800103
800106
800107
800108
800112
800113
800114
800115
800116
800118
800119
800120
800121
800122
800201
800202
800203
800204
800205
800301
800302
800303
800304
800305
800401
800403
800404
800405
800406
800407
800409
800410
800415
800416
800501
800502
800503
800504
800505
800601
800603
800604
800605
800606
800607
800610
800611
800612
800613
800701
800702
800703
800704
800705
800706
800707
800708
800709
800710
800711
800801
800802
800803
800804
800806
800807
800809
800810
800811
800813
800901
800902
800903
800904
800905
800906
800907
800908
800909
800910
800911
800912
800913
801001
801002
801003
801101
801102
801103
801104
801105
801106
801107
801202
801203
801204
801205
801206
801207
801208
801209
801210
801211
801212
801213
801214
801215
801216
801217
801218
801301
801302
801303
801304
801305
801306
801401
801402
801403
801404
801405
801406
801407
801408
801409
801501
801502
801503
801601
801602
801603
801604
801605
801606
801607
801608
801609
801610
801611
801701
801702
801703
801704
801801
801802
801803
801901
801902
801903
801904
801905
801906
802001
802002
802003
802004
802101
802102
802103
802104
802201
802202
802203
802301
802302
802303
802304
810101
810103
810105
810106
810111
810115
810116
810117
810118
810201
810202
810203
810204
810205
810206
810301
810302
810303
810304
810305
810401
810402
810403
810404
810405
810406
810407
810501
810502
810503
810504
810505
810506
810507
810508
810509
810601
810602
810603
810604
810701
810702
810703
810704
810801
810802
810803
810804
810805
810806
810807
810808
