,addrcode,Year,temperature
0,100101,2014,35.816890625
1,100101,2015,36.386160714285715
2,100101,2016,36.09728422619048
3,100101,2017,35.69977380952381
4,100102,2014,36.669877976190485
5,100102,2015,36.905636904761906
6,100102,2016,36.052578869047615
7,100102,2017,35.920246279761905
8,100103,2014,36.669877976190485
9,100103,2015,36.905636904761906
10,100103,2016,36.052578869047615
11,100103,2017,35.920246279761905
12,100104,2014,36.15526636904762
13,100104,2015,36.48431646825397
14,100104,2016,35.93172544642858
15,100104,2017,35.852604166666666
16,100105,2014,35.816890625
17,100105,2015,36.386160714285715
18,100105,2016,36.09728422619048
19,100105,2017,35.69977380952381
20,100106,2014,36.15526636904762
21,100106,2015,36.48431646825397
22,100106,2016,35.93172544642858
23,100106,2017,35.852604166666666
24,100107,2014,36.15526636904762
25,100107,2015,36.48431646825397
26,100107,2016,35.93172544642858
27,100107,2017,35.852604166666666
28,100108,2014,35.816890625
29,100108,2015,36.386160714285715
30,100108,2016,36.09728422619048
31,100108,2017,35.69977380952381
32,100109,2014,35.816890625
33,100109,2015,36.386160714285715
34,100109,2016,36.09728422619048
35,100109,2017,35.69977380952381
36,100110,2014,36.15526636904762
37,100110,2015,36.48431646825397
38,100110,2016,35.93172544642858
39,100110,2017,35.852604166666666
40,100111,2014,36.15526636904762
41,100111,2015,36.48431646825397
42,100111,2016,35.93172544642858
43,100111,2017,35.852604166666666
44,100112,2014,36.15526636904762
45,100112,2015,36.48431646825397
46,100112,2016,35.93172544642858
47,100112,2017,35.852604166666666
48,100201,2014,36.15526636904762
49,100201,2015,36.48431646825397
50,100201,2016,35.93172544642858
51,100201,2017,35.852604166666666
52,100202,2014,36.15526636904762
53,100202,2015,36.48431646825397
54,100202,2016,35.93172544642858
55,100202,2017,35.852604166666666
56,100203,2014,36.15526636904762
57,100203,2015,36.48431646825397
58,100203,2016,35.93172544642858
59,100203,2017,35.852604166666666
60,100204,2014,36.15526636904762
61,100204,2015,36.48431646825397
62,100204,2016,35.93172544642858
63,100204,2017,35.852604166666666
64,100206,2014,36.15526636904762
65,100206,2015,36.48431646825397
66,100206,2016,35.93172544642858
67,100206,2017,35.852604166666666
68,100301,2014,31.406979910714284
69,100301,2015,32.9023787202381
70,100301,2016,32.67973139880953
71,100301,2017,31.163902529761902
72,100302,2014,30.91788690476191
73,100302,2015,32.1615183531746
74,100302,2016,32.18249925595238
75,100302,2017,30.514985119047623
76,100303,2014,31.044500744047614
77,100303,2015,32.2994898313492
78,100303,2016,31.60937574404762
79,100303,2017,31.003780505952378
80,100304,2014,30.593813244047624
81,100304,2015,32.0787095734127
82,100304,2016,31.54353273809524
83,100304,2017,30.783449404761907
84,100305,2014,32.82906249999999
85,100305,2015,33.06462624007936
86,100305,2016,32.733947172619054
87,100305,2017,31.870613839285713
88,100306,2014,31.95850520833334
89,100306,2015,32.66405133928571
90,100306,2016,32.1675119047619
91,100306,2017,31.18515104166666
92,100307,2014,31.917763392857143
93,100307,2015,32.86874801587302
94,100307,2016,32.56564657738095
95,100307,2017,31.591705357142857
96,100308,2014,31.673807291666666
97,100308,2015,32.1836121031746
98,100308,2016,31.723415178571425
99,100308,2017,30.82375818452381
100,100401,2014,36.0744568452381
101,100401,2015,36.18627083333333
102,100401,2016,35.1669962797619
103,100401,2017,35.43348660714286
104,100402,2014,36.0744568452381
105,100402,2015,36.18627083333333
106,100402,2016,35.1669962797619
107,100402,2017,35.43348660714286
108,100403,2014,36.0744568452381
109,100403,2015,36.18627083333333
110,100403,2016,35.1669962797619
111,100403,2017,35.43348660714286
112,100404,2014,36.0744568452381
113,100404,2015,36.18627083333333
114,100404,2016,35.1669962797619
115,100404,2017,35.43348660714286
116,100405,2014,36.0744568452381
117,100405,2015,36.18627083333333
118,100405,2016,35.1669962797619
119,100405,2017,35.43348660714286
120,100502,2014,34.59648660714286
121,100502,2015,35.96628621031746
122,100502,2016,35.17880952380953
123,100502,2017,35.105683035714286
124,100508,2014,33.473784226190475
125,100508,2015,34.31699206349206
126,100508,2016,33.78033779761905
127,100508,2017,33.172999255952384
128,100601,2014,34.89683407738095
129,100601,2015,35.08769841269841
