,addrcode,Year,Week,temperature
0,1001,2014,1,33.46113095238095
1,1001,2014,2,31.824880952380955
2,1001,2014,3,31.877619047619046
3,1001,2014,4,33.40875
4,1001,2014,5,33.427083333333336
5,1001,2014,6,32.964999999999996
6,1001,2014,7,33.352916666666665
7,1001,2014,8,34.33404761904762
8,1001,2014,9,35.06821428571428
9,1001,2014,10,36.250238095238096
10,1001,2014,11,37.04744047619049
11,1001,2014,12,36.516011904761896
12,1001,2014,13,37.13541666666668
13,1001,2014,14,38.81333333333334
14,1001,2014,15,39.71999999999999
15,1001,2014,16,38.59696428571428
16,1001,2014,17,36.94494047619047
17,1001,2014,18,38.26767857142856
18,1001,2014,19,39.10199404761905
19,1001,2014,20,37.78467261904761
20,1001,2014,21,38.48875
21,1001,2014,22,38.975
22,1001,2014,23,38.380625
23,1001,2014,24,38.25833333333333
24,1001,2014,25,39.102767857142865
25,1001,2014,26,39.288809523809526
26,1001,2014,27,38.374315476190475
27,1001,2014,28,36.709553571428565
28,1001,2014,29,36.13499999999999
29,1001,2014,30,36.96166666666667
30,1001,2014,31,36.37833333333333
31,1001,2014,32,33.653958333333335
32,1001,2014,33,33.138839285714276
33,1001,2014,34,35.87017857142857
34,1001,2014,35,37.189166666666665
35,1001,2014,36,37.39696428571428
36,1001,2014,37,36.67041666666667
37,1001,2014,38,36.88166666666667
38,1001,2014,39,37.91729166666667
39,1001,2014,40,38.43571428571429
40,1001,2014,41,38.031934523809525
41,1001,2014,42,37.131071428571424
42,1001,2014,43,36.3367857142857
43,1001,2014,44,36.47184523809524
44,1001,2014,45,36.0225
45,1001,2014,46,35.05833333333333
46,1001,2014,47,34.49666666666667
47,1001,2014,48,34.30880952380952
48,1001,2014,49,33.37666666666667
49,1001,2014,50,32.29089285714286
50,1001,2014,51,32.61651785714286
51,1001,2014,52,33.35276785714286
52,1001,2015,1,32.762916666666676
53,1001,2015,2,33.02089285714286
54,1001,2015,3,32.926934523809514
55,1001,2015,4,33.365208333333335
56,1001,2015,5,34.119166666666665
57,1001,2015,6,34.639375
58,1001,2015,7,35.03044642857143
59,1001,2015,8,35.60976190476191
60,1001,2015,9,35.31898809523809
61,1001,2015,10,34.86470238095239
62,1001,2015,11,35.001934523809524
63,1001,2015,12,36.545625
64,1001,2015,13,37.972500000000004
65,1001,2015,14,38.225625
66,1001,2015,15,38.01002976190476
67,1001,2015,16,38.86124999999999
68,1001,2015,17,39.97714285714286
69,1001,2015,18,39.03345238095238
70,1001,2015,19,37.19443452380953
71,1001,2015,20,38.18020833333334
72,1001,2015,21,40.138333333333335
73,1001,2015,22,40.43958333333334
74,1001,2015,23,38.88029761904762
75,1001,2015,24,37.740476190476194
76,1001,2015,25,38.42529761904761
77,1001,2015,26,38.862946428571426
78,1001,2015,27,37.635744047619056
79,1001,2015,28,36.95041666666666
80,1001,2015,29,36.85166666666667
81,1001,2015,30,36.71979166666666
82,1001,2015,31,37.146458333333335
83,1001,2015,32,38.76196428571429
84,1001,2015,33,38.63392857142856
85,1001,2015,34,36.98107142857143
86,1001,2015,35,37.26449404761906
87,1001,2015,36,38.303958333333334
88,1001,2015,37,39.423333333333325
89,1001,2015,38,39.59395833333334
90,1001,2015,39,38.20895833333334
91,1001,2015,40,36.58589285714286
92,1001,2015,41,36.28732142857143
93,1001,2015,42,36.024821428571435
94,1001,2015,43,35.073273809523805
95,1001,2015,44,34.856249999999996
96,1001,2015,45,35.29666666666667
97,1001,2015,46,35.056458333333346
98,1001,2015,47,34.06916666666667
99,1001,2015,48,33.9591369047619
100,1001,2015,49,33.74339285714286
101,1001,2015,50,32.612619047619056
102,1001,2015,51,32.99967261904762
103,1001,2015,52,33.978125
104,1001,2015,53,34.19979166666668
105,1001,2016,1,31.979583333333327
106,1001,2016,2,31.2225
107,1001,2016,3,31.00666666666667
108,1001,2016,4,32.06050595238094
109,1001,2016,5,34.12235119047619
110,1001,2016,6,35.22785714285714
111,1001,2016,7,35.28949404761905
112,1001,2016,8,35.15330357142857
113,1001,2016,9,35.672916666666666
114,1001,2016,10,37.154166666666676
115,1001,2016,11,38.44416666666667
116,1001,2016,12,38.33717261904763
117,1001,2016,13,37.36657738095238
118,1001,2016,14,37.24267857142857
119,1001,2016,15,38.05092261904761
120,1001,2016,16,39.20363095238097
121,1001,2016,17,38.80104166666666
122,1001,2016,18,37.14999999999999
123,1001,2016,19,35.98833333333334
124,1001,2016,20,35.98833333333334
125,1001,2016,21,35.98833333333334
126,1001,2016,22,35.98833333333334
127,1001,2016,23,35.98833333333334
128,1001,2016,24,36.009851190476176
129,1001,2016,25,36.741458333333334
130,1001,2016,26,37.607499999999995
131,1001,2016,27,38.68729166666666
132,1001,2016,28,39.54309523809524
133,1001,2016,29,38.48056547619047
134,1001,2016,30,36.51083333333334
135,1001,2016,31,37.54630952380953
136,1001,2016,32,37.851130952380956
137,1001,2016,33,36.699583333333344
138,1001,2016,34,35.98833333333334
139,1001,2016,35,35.98833333333334
140,1001,2016,36,36.668244047619055
141,1001,2016,37,38.390684523809526
142,1001,2016,38,38.25541666666667
143,1001,2016,39,36.44708333333333
144,1001,2016,40,36.017946428571435
145,1001,2016,41,36.798125000000006
146,1001,2016,42,36.88666666666667
147,1001,2016,43,36.21208333333335
148,1001,2016,44,35.67056547619048
149,1001,2016,45,35.22669642857142
150,1001,2016,46,34.285119047619055
151,1001,2016,47,33.678065476190476
152,1001,2016,48,33.853571428571435
153,1001,2016,49,33.95354166666667
154,1001,2016,50,33.528333333333336
155,1001,2016,51,33.36622023809523
