,addrcode,Year,Month,temperature
0,100101,2014,1,32.51571428571429
1,100101,2014,2,33.61267857142857
2,100101,2014,3,36.32842857142857
3,100101,2014,4,37.76589285714286
4,100101,2014,5,37.559285714285714
5,100101,2014,6,38.57955357142857
6,100101,2014,7,36.826696428571424
7,100101,2014,8,35.23571428571429
8,100101,2014,9,36.785625
9,100101,2014,10,36.574196428571426
10,100101,2014,11,35.11725
11,100101,2014,12,32.901651785714286
12,100101,2015,1,33.245892857142856
13,100101,2015,2,35.105982142857144
14,100101,2015,3,35.950446428571425
15,100101,2015,4,38.80607142857143
16,100101,2015,5,38.82910714285715
17,100101,2015,6,38.11857142857143
18,100101,2015,7,36.67290178571429
19,100101,2015,8,37.596964285714286
20,100101,2015,9,38.659062500000005
21,100101,2015,10,35.715357142857144
22,100101,2015,11,34.46964285714286
23,100101,2015,12,33.463928571428575
24,100101,2016,1,32.183571428571426
25,100101,2016,2,35.692232142857144
26,100101,2016,3,38.095803571428576
27,100101,2016,4,37.90178571428571
28,100101,2016,5,36.07
29,100101,2016,6,36.628392857142856
30,100101,2016,7,38.383714285714284
31,100101,2016,8,36.636607142857144
32,100101,2016,9,37.72803571428572
33,100101,2016,10,36.07557142857143
34,100101,2016,11,34.471741071428575
35,100101,2016,12,33.29995535714286
36,100101,2017,1,34.262071428571424
37,100101,2017,2,35.74955357142857
38,100101,2017,3,38.4075
39,100101,2017,4,39.2425
40,100101,2017,5,35.923125
41,100101,2017,6,35.98357142857143
42,100101,2017,7,36.49771428571428
43,100101,2017,8,35.20375
44,100101,2017,9,37.442142857142855
45,100101,2017,10,34.53901785714286
46,100101,2017,11,32.99651785714286
47,100101,2017,12,32.14982142857143
48,100102,2014,1,32.55397321428572
49,100102,2014,2,32.90772321428571
50,100102,2014,3,36.16321428571429
51,100102,2014,4,39.299464285714286
52,100102,2014,5,41.12914285714286
53,100102,2014,6,38.31196428571428
54,100102,2014,7,37.53678571428571
55,100102,2014,8,37.44428571428572
56,100102,2014,9,38.186249999999994
57,100102,2014,10,37.8703125
58,100102,2014,11,35.702071428571436
59,100102,2014,12,32.933348214285715
60,100102,2015,1,33.373571428571424
61,100102,2015,2,35.10383928571429
62,100102,2015,3,36.04544642857143
63,100102,2015,4,38.814553571428576
64,100102,2015,5,39.807678571428575
65,100102,2015,6,39.184642857142855
66,100102,2015,7,38.37732142857143
67,100102,2015,8,37.961000000000006
68,100102,2015,9,39.09169642857143
69,100102,2015,10,36.27289285714286
70,100102,2015,11,35.45830357142857
71,100102,2015,12,33.37669642857142
72,100102,2016,1,32.12710714285714
73,100102,2016,2,35.634375
74,100102,2016,3,38.035982142857144
75,100102,2016,4,38.38678571428572
76,100102,2016,5,36.03
77,100102,2016,6,36.73982142857143
78,100102,2016,7,37.976
79,100102,2016,8,36.63053571428572
80,100102,2016,9,37.49339285714285
81,100102,2016,10,36.30703571428572
82,100102,2016,11,34.3965625
83,100102,2016,12,32.87334821428571
84,100102,2017,1,33.66364285714286
85,100102,2017,2,35.56633928571429
86,100102,2017,3,38.043839285714284
87,100102,2017,4,38.074642857142855
88,100102,2017,5,36.179375
89,100102,2017,6,37.333839285714284
90,100102,2017,7,36.5295
91,100102,2017,8,38.037098214285706
92,100102,2017,9,37.02253571428571
93,100102,2017,10,34.98544642857143
94,100102,2017,11,33.601875
95,100102,2017,12,32.00482142857143
96,100103,2014,1,32.55397321428572
97,100103,2014,2,32.90772321428571
98,100103,2014,3,36.16321428571429
99,100103,2014,4,39.299464285714286
100,100103,2014,5,41.12914285714286
101,100103,2014,6,38.31196428571428
102,100103,2014,7,37.53678571428571
103,100103,2014,8,37.44428571428572
104,100103,2014,9,38.186249999999994
105,100103,2014,10,37.8703125
106,100103,2014,11,35.702071428571436
107,100103,2014,12,32.933348214285715
108,100103,2015,1,33.373571428571424
109,100103,2015,2,35.10383928571429
110,100103,2015,3,36.04544642857143
111,100103,2015,4,38.814553571428576
112,100103,2015,5,39.807678571428575
113,100103,2015,6,39.184642857142855
114,100103,2015,7,38.37732142857143
115,100103,2015,8,37.961000000000006
116,100103,2015,9,39.09169642857143
117,100103,2015,10,36.27289285714286
118,100103,2015,11,35.45830357142857
119,100103,2015,12,33.37669642857142
120,100103,2016,1,32.12710714285714
121,100103,2016,2,35.634375
122,100103,2016,3,38.035982142857144
123,100103,2016,4,38.38678571428572
124,100103,2016,5,36.03
125,100103,2016,6,36.73982142857143
126,100103,2016,7,37.976
127,100103,2016,8,36.63053571428572
128,100103,2016,9,37.49339285714285
129,100103,2016,10,36.30703571428572
130,100103,2016,11,34.3965625
131,100103,2016,12,32.87334821428571
132,100103,2017,1,33.66364285714286
133,100103,2017,2,35.56633928571429
134,100103,2017,3,38.043839285714284
135,100103,2017,4,38.074642857142855
136,100103,2017,5,36.179375
137,100103,2017,6,37.333839285714284
138,100103,2017,7,36.5295
139,100103,2017,8,38.037098214285706
140,100103,2017,9,37.02253571428571
141,100103,2017,10,34.98544642857143
142,100103,2017,11,33.601875
143,100103,2017,12,32.00482142857143
144,100104,2014,1,32.75772321428572
145,100104,2014,2,33.66183035714286
146,100104,2014,3,36.53357142857143
147,100104,2014,4,38.760535714285716
148,100104,2014,5,38.297999999999995
149,100104,2014,6,39.024910714285724
150,100104,2014,7,37.026875
151,100104,2014,8,34.52028571428571
152,100104,2014,9,37.18066964285714
153,100104,2014,10,37.96151785714285
154,100104,2014,11,35.23107142857143
155,100104,2014,12,32.90620535714285
156,100104,2015,1,33.50985119047619
157,100104,2015,2,35.19401785714286
