,addrcode,Year,Week,rainfall
163,1001,2017,15,0.445
164,1001,2017,16,26.220833333333328
165,1001,2017,17,96.3775
166,1001,2017,18,47.75416666666666
167,1001,2017,19,39.06916666666666
168,1001,2017,20,23.283333333333335
169,1001,2017,21,42.276666666666664
170,1001,2017,22,25.564999999999998
171,1001,2017,23,35.41333333333332
172,1001,2017,24,15.398333333333333
173,1001,2017,25,11.953333333333333
174,1001,2017,26,13.115833333333335
175,1001,2017,27,35.41833333333333
176,1001,2017,28,40.04916666666667
177,1001,2017,29,5.1049999999999995
178,1001,2017,30,44.699999999999996
179,1001,2017,31,30.007500000000004
180,1001,2017,32,15.894166666666665
181,1001,2017,33,51.68000000000001
182,1001,2017,34,94.97916666666664
183,1001,2017,35,33.420833333333334
184,1001,2017,36,42.23583333333334
185,1001,2017,37,31.026666666666667
186,1001,2017,38,71.72916666666667
187,1001,2017,39,0.0
188,1001,2017,40,54.01166666666666
189,1001,2017,41,3.5133333333333336
190,1001,2017,42,58.64916666666667
191,1001,2017,43,54.7725
192,1001,2017,44,32.940000000000005
193,1001,2017,45,0.855
194,1001,2017,46,0.0
195,1001,2017,47,5.418333333333333
196,1001,2017,48,10.796666666666665
197,1001,2017,49,0.0
198,1001,2017,50,0.0
199,1001,2017,51,3.345833333333333
200,1001,2017,52,0.0
201,1001,2018,1,12.313333333333333
202,1001,2018,2,10.948333333333332
203,1001,2018,3,58.97333333333333
204,1001,2018,4,0.0
205,1001,2018,5,0.0
206,1001,2018,6,8.565
207,1001,2018,7,15.720833333333337
208,1001,2018,8,0.0
209,1001,2018,9,38.38583333333333
210,1001,2018,10,0.0
211,1001,2018,11,13.696666666666665
212,1001,2018,12,0.0
213,1001,2018,13,4.7716666666666665
214,1001,2018,14,9.123333333333333
215,1001,2018,15,12.020833333333334
216,1001,2018,16,3.0591666666666666
217,1001,2018,17,33.63666666666666
218,1001,2018,18,30.072499999999994
219,1001,2018,19,0.0
220,1001,2018,20,13.017500000000004
221,1001,2018,21,64.83666666666664
222,1001,2018,22,25.122500000000002
223,1001,2018,23,25.9475
224,1001,2018,24,44.10666666666666
225,1002,2014,9,0.33
226,1002,2014,10,1.95
227,1002,2014,11,0.0
228,1002,2014,12,29.04
229,1002,2014,13,71.85
230,1002,2014,14,0.0
231,1002,2014,15,42.03
232,1002,2014,16,0.0
233,1002,2014,17,16.17
234,1002,2014,18,7.6
235,1002,2014,19,15.24
236,1002,2014,20,9.24
237,1002,2014,21,7.19
238,1002,2014,22,11.87
239,1002,2014,23,71.07
240,1002,2014,24,71.47
241,1002,2014,25,81.35
242,1002,2014,26,13.460000000000003
243,1002,2014,27,0.33
244,1002,2014,28,5.89
245,1002,2014,29,32.68
246,1002,2014,30,9.38
247,1002,2014,31,93.3
248,1002,2014,32,1.86
249,1002,2014,33,37.45
250,1002,2014,34,13.88
251,1002,2014,35,29.869999999999997
252,1002,2014,36,53.71
253,1002,2014,37,72.42
254,1002,2014,38,112.98999999999998
255,1002,2014,39,36.66
256,1002,2014,40,145.08
257,1002,2014,41,107.09
258,1002,2014,42,3.4300000000000006
259,1002,2014,43,33.26
260,1002,2014,44,14.940000000000001
261,1002,2014,45,7.15
262,1002,2014,46,14.02
263,1002,2014,47,6.12
264,1002,2014,48,1.64
265,1002,2014,49,23.69
266,1002,2014,50,0.0
267,1002,2014,51,0.19
268,1002,2014,52,0.09
269,1002,2015,1,7.63
270,1002,2015,2,4.08
271,1002,2015,3,29.410000000000004
272,1002,2015,4,0.28
273,1002,2015,5,0.13
274,1002,2015,6,0.0
275,1002,2015,7,0.28
276,1002,2015,8,0.09
277,1002,2015,9,0.0
278,1002,2015,10,0.0
279,1002,2015,11,0.0
280,1002,2015,12,14.669999999999998
281,1002,2015,13,12.7
282,1002,2015,14,0.0
283,1002,2015,15,0.0
284,1002,2015,16,0.02
285,1002,2015,17,18.85
286,1002,2015,18,0.0
287,1002,2015,19,9.56
288,1002,2015,20,55.27
289,1002,2015,21,2.11
290,1002,2015,22,69.91
291,1002,2015,23,44.07
292,1002,2015,24,79.14
293,1002,2015,25,160.96
294,1002,2015,26,24.82
295,1002,2015,27,60.75
296,1002,2015,28,80.34
297,1002,2015,29,56.36
298,1002,2015,30,16.73
299,1002,2015,31,75.76
300,1002,2015,32,32.12
301,1002,2015,33,15.830000000000002
302,1002,2015,34,106.80999999999999
303,1002,2015,35,32.5
304,1002,2015,36,76.74
305,1002,2015,37,66.79
306,1002,2015,38,163.62
307,1002,2015,39,82.75
308,1002,2015,40,90.73
309,1002,2015,41,70.9
310,1002,2015,42,13.830000000000002
311,1002,2015,43,106.72
312,1002,2015,44,12.63
313,1002,2015,45,35.96
314,1002,2015,46,18.75
315,1002,2015,47,24.21
316,1002,2015,48,0.0
317,1002,2015,49,0.0
318,1002,2015,50,1.57
319,1002,2015,51,0.0
320,1002,2015,52,0.0
321,1002,2015,53,2.79
322,1002,2016,1,3.56
323,1002,2016,2,39.18
324,1002,2016,3,0.37
325,1002,2016,4,0.0
326,1002,2016,5,0.25
327,1002,2016,6,0.0
328,1002,2016,7,0.0
329,1002,2016,8,0.0
330,1002,2016,9,0.0
331,1002,2016,10,0.0
332,1002,2016,11,7.99
333,1002,2016,12,25.619999999999997
334,1002,2016,13,54.33
335,1002,2016,14,6.889999999999999
336,1002,2016,15,1.13
337,1002,2016,16,0.0
338,1002,2016,17,23.07
339,1002,2016,18,42.44
340,1002,2016,19,59.73
341,1002,2016,20,111.16
342,1002,2016,21,131.38
343,1002,2016,22,65.17
344,1002,2016,23,69.71
345,1002,2016,24,9.14
346,1002,2016,25,67.4
347,1002,2016,26,40.54
348,1002,2016,27,82.36
349,1002,2016,28,59.21
350,1002,2016,29,69.63
351,1002,2016,30,24.87
352,1002,2016,31,27.32
353,1002,2016,32,29.309999999999995
354,1002,2016,33,92.08
355,1002,2016,34,96.03
356,1002,2016,35,33.46
357,1002,2016,36,69.1
358,1002,2016,37,61.029999999999994
359,1002,2016,38,71.82
360,1002,2016,39,86.66
361,1002,2016,40,97.72
362,1002,2016,41,97.35
363,1002,2016,42,80.46
364,1002,2016,43,45.15
365,1002,2016,44,0.52
366,1002,2016,45,7.959999999999999
367,1002,2016,46,15.52
368,1002,2016,47,17.83
369,1002,2016,48,0.0
370,1002,2016,49,0.0
371,1002,2016,50,21.26
372,1002,2016,51,0.0
373,1002,2016,52,16.64
374,1002,2017,1,0.01
375,1002,2017,2,57.63000000000001
376,1002,2017,3,0.0
377,1002,2017,4,3.97
378,1002,2017,5,25.33
379,1002,2017,6,0.0
380,1002,2017,7,0.0
381,1002,2017,8,30.71
382,1002,2017,9,33.41
383,1002,2017,10,43.94
384,1002,2017,11,0.0
385,1002,2017,12,2.02
386,1002,2017,13,15.49
387,1002,2017,14,53.61
388,1002,2017,15,0.06
389,1002,2017,16,25.2
390,1002,2017,17,96.92
391,1002,2017,18,48.04
392,1002,2017,19,36.45
393,1002,2017,20,26.410000000000004
394,1002,2017,21,42.09
395,1002,2017,22,27.21
396,1002,2017,23,38.33
397,1002,2017,24,13.940000000000001
398,1002,2017,25,11.86
399,1002,2017,26,14.37
400,1002,2017,27,38.58
401,1002,2017,28,41.98
402,1002,2017,29,3.18
403,1002,2017,30,45.05
404,1002,2017,31,31.6
405,1002,2017,32,20.03
406,1002,2017,33,60.36
407,1002,2017,34,98.8
408,1002,2017,35,33.73
409,1002,2017,36,44.26
410,1002,2017,37,32.87
411,1002,2017,38,61.06
412,1002,2017,39,0.0
413,1002,2017,40,55.05
414,1002,2017,41,3.0
415,1002,2017,42,59.25
416,1002,2017,43,51.29
417,1002,2017,44,29.860000000000003
418,1002,2017,45,1.17
419,1002,2017,46,0.0
420,1002,2017,47,3.8899999999999997
421,1002,2017,48,9.28
422,1002,2017,49,0.0
423,1002,2017,50,0.0
424,1002,2017,51,1.59
425,1002,2017,52,0.0
426,1002,2018,1,14.74
427,1002,2018,2,12.01
428,1002,2018,3,67.42
429,1002,2018,4,0.0
430,1002,2018,5,0.0
431,1002,2018,6,1.39
432,1002,2018,7,6.51
433,1002,2018,8,0.0
434,1002,2018,9,33.41
435,1002,2018,10,0.0
436,1002,2018,11,22.75
437,1002,2018,12,0.0
438,1002,2018,13,5.39
439,1002,2018,14,2.73
440,1002,2018,15,10.51
441,1002,2018,16,1.6299999999999997
442,1002,2018,17,36.39
443,1002,2018,18,17.14
444,1002,2018,19,0.0
445,1002,2018,20,2.15
446,1002,2018,21,70.32
447,1002,2018,22,27.940000000000005
448,1002,2018,23,26.49
449,1002,2018,24,40.56
450,1003,2014,9,1.4125
451,1003,2014,10,0.5775
452,1003,2014,11,0.0
453,1003,2014,12,24.7425
454,1003,2014,13,79.3775
455,1003,2014,14,0.0
456,1003,2014,15,48.83
457,1003,2014,16,0.0
458,1003,2014,17,12.9875
459,1003,2014,18,8.1475
460,1003,2014,19,24.5225
461,1003,2014,20,9.040000000000001
462,1003,2014,21,5.0125
463,1003,2014,22,10.64
464,1003,2014,23,66.8225
465,1003,2014,24,47.86749999999999
466,1003,2014,25,51.8975
467,1003,2014,26,11.33
468,1003,2014,27,1.5400000000000003
469,1003,2014,28,7.7025
470,1003,2014,29,32.544999999999995
471,1003,2014,30,10.7825
472,1003,2014,31,93.8075
473,1003,2014,32,4.8025
474,1003,2014,33,49.075
475,1003,2014,34,17.330000000000002
476,1003,2014,35,38.824999999999996
477,1003,2014,36,50.3425
478,1003,2014,37,75.41
479,1003,2014,38,107.85749999999999
480,1003,2014,39,28.5825
481,1003,2014,40,137.6975
482,1003,2014,41,114.52000000000001
483,1003,2014,42,1.2574999999999998
484,1003,2014,43,11.677499999999998
485,1003,2014,44,12.5075
486,1003,2014,45,4.3475
487,1003,2014,46,14.024999999999999
488,1003,2014,47,0.017499999999999998
489,1003,2014,48,3.7549999999999994
490,1003,2014,49,15.665
491,1003,2014,50,0.0
492,1003,2014,51,0.44749999999999995
493,1003,2014,52,0.12000000000000001
494,1003,2015,1,9.489999999999998
495,1003,2015,2,4.472499999999999
496,1003,2015,3,42.3525
497,1003,2015,4,0.0
498,1003,2015,5,0.11250000000000002
499,1003,2015,6,0.0
500,1003,2015,7,0.095
501,1003,2015,8,0.0
502,1003,2015,9,0.0
503,1003,2015,10,0.0
504,1003,2015,11,0.0
505,1003,2015,12,6.42
506,1003,2015,13,6.565
507,1003,2015,14,0.0
508,1003,2015,15,0.0
509,1003,2015,16,0.0
510,1003,2015,17,17.13
511,1003,2015,18,1.1675
512,1003,2015,19,14.1325
513,1003,2015,20,42.849999999999994
514,1003,2015,21,4.7575
515,1003,2015,22,61.12000000000001
516,1003,2015,23,28.7525
517,1003,2015,24,78.35
518,1003,2015,25,146.1175
519,1003,2015,26,26.7425
520,1003,2015,27,79.615
521,1003,2015,28,76.155
522,1003,2015,29,54.207499999999996
523,1003,2015,30,19.992499999999996
524,1003,2015,31,42.637499999999996
525,1003,2015,32,34.485
526,1003,2015,33,18.815
527,1003,2015,34,90.4875
528,1003,2015,35,30.887500000000003
529,1003,2015,36,75.66
530,1003,2015,37,71.135
531,1003,2015,38,153.77499999999998
532,1003,2015,39,65.5425
533,1003,2015,40,91.6375
534,1003,2015,41,45.845
535,1003,2015,42,10.135000000000002
536,1003,2015,43,108.55499999999999
537,1003,2015,44,11.704999999999998
538,1003,2015,45,23.502499999999998
539,1003,2015,46,15.592500000000001
540,1003,2015,47,7.44
541,1003,2015,48,0.0
542,1003,2015,49,0.0
543,1003,2015,50,2.245
544,1003,2015,51,0.0
545,1003,2015,52,0.0
546,1003,2015,53,1.6824999999999997
547,1003,2016,1,1.3225
548,1003,2016,2,33.2625
549,1003,2016,3,0.3975
550,1003,2016,4,0.0
551,1003,2016,5,0.37999999999999995
552,1003,2016,6,0.0
553,1003,2016,7,0.0
554,1003,2016,8,0.0
555,1003,2016,9,0.0
556,1003,2016,10,0.0
557,1003,2016,11,8.592500000000001
558,1003,2016,12,23.04
559,1003,2016,13,45.9425
560,1003,2016,14,12.894999999999998
561,1003,2016,15,1.3599999999999999
562,1003,2016,16,0.01
563,1003,2016,17,15.4225
564,1003,2016,18,24.2925
565,1003,2016,19,53.755
566,1003,2016,20,122.3875
567,1003,2016,21,123.9125
568,1003,2016,22,65.55
569,1003,2016,23,71.465
570,1003,2016,24,11.23
571,1003,2016,25,62.21999999999999
572,1003,2016,26,38.8525
573,1003,2016,27,85.96750000000002
574,1003,2016,28,67.0525
575,1003,2016,29,70.3025
576,1003,2016,30,34.64249999999999
577,1003,2016,31,31.7175
578,1003,2016,32,22.477499999999996
