,addrcode,Year,Month,temperature
0,1001,2014,1,32.643095238095235
1,1001,2014,2,33.51976190476191
2,1001,2014,3,36.40346428571429
3,1001,2014,4,38.51880952380952
4,1001,2014,5,38.52361904761904
5,1001,2014,6,38.75763392857144
6,1001,2014,7,37.04513392857143
7,1001,2014,8,35.246095238095236
8,1001,2014,9,37.21658482142857
9,1001,2014,10,37.483876488095234
10,1001,2014,11,35.27163095238095
11,1001,2014,12,32.90921130952381
12,1001,2015,1,33.39915178571429
13,1001,2015,2,35.14964285714286
14,1001,2015,3,36.09619047619048
15,1001,2015,4,38.7685119047619
16,1001,2015,5,38.99720238095239
17,1001,2015,6,38.47725446428571
18,1001,2015,7,37.039404761904756
19,1001,2015,8,37.75758333333333
20,1001,2015,9,38.88255208333334
21,1001,2015,10,35.76551190476191
22,1001,2015,11,34.59535714285714
23,1001,2015,12,33.33345238095239
24,1001,2016,1,32.07832142857143
25,1001,2016,2,35.33589285714285
26,1001,2016,3,37.82552083333334
27,1001,2016,4,38.08965476190476
28,1001,2016,5,35.988333333333344
29,1001,2016,6,36.58678571428571
30,1001,2016,7,38.153619047619046
31,1001,2016,8,36.63184523809525
32,1001,2016,9,37.440357142857145
33,1001,2016,10,36.31707738095239
34,1001,2016,11,34.2608630952381
35,1001,2016,12,33.37637648809523
36,1001,2017,1,34.127583333333334
37,1001,2017,2,35.73727678571428
38,1001,2017,3,38.1318005952381
39,1001,2017,4,38.35066071428572
40,1001,2017,5,36.02130208333334
41,1001,2017,6,36.79392857142857
42,1001,2017,7,36.55845833333333
43,1001,2017,8,35.978005952380954
44,1001,2017,9,37.38470833333334
45,1001,2017,10,35.042842261904774
46,1001,2017,11,33.51647321428571
47,1001,2017,12,32.11217261904762
48,1002,2014,1,32.75772321428572
49,1002,2014,2,33.66183035714286
50,1002,2014,3,36.53357142857143
51,1002,2014,4,38.760535714285716
52,1002,2014,5,38.297999999999995
53,1002,2014,6,39.024910714285724
54,1002,2014,7,37.026875
55,1002,2014,8,34.52028571428571
56,1002,2014,9,37.18066964285714
57,1002,2014,10,37.96151785714285
58,1002,2014,11,35.23107142857143
59,1002,2014,12,32.90620535714285
60,1002,2015,1,33.50985119047619
61,1002,2015,2,35.19401785714286
62,1002,2015,3,36.21026785714285
63,1002,2015,4,38.728125000000006
64,1002,2015,5,38.839107142857145
65,1002,2015,6,38.480580357142856
66,1002,2015,7,36.83776785714286
67,1002,2015,8,37.79685714285715
68,1002,2015,9,38.96183035714286
69,1002,2015,10,35.629821428571425
70,1002,2015,11,34.39151785714286
71,1002,2015,12,33.232053571428565
72,1002,2016,1,31.991892857142858
73,1002,2016,2,34.99883928571428
74,1002,2016,3,37.57517857142858
75,1002,2016,4,38.115857142857145
76,1002,2016,5,35.92000000000001
77,1002,2016,6,36.50803571428572
78,1002,2016,7,38.05942857142857
79,1002,2016,8,36.62910714285715
80,1002,2016,9,37.230892857142855
81,1002,2016,10,36.48142857142858
82,1002,2016,11,34.07504464285715
83,1002,2016,12,33.595000000000006
84,1002,2017,1,34.192571428571426
85,1002,2017,2,35.786071428571425
86,1002,2017,3,37.97732142857143
87,1002,2017,4,37.848107142857145
88,1002,2017,5,36.0340625
89,1002,2017,6,37.15419642857143
90,1002,2017,7,36.60860714285714
91,1002,2017,8,35.8078125
92,1002,2017,9,37.46714285714286
93,1002,2017,10,35.39785714285714
94,1002,2017,11,33.83464285714286
95,1002,2017,12,32.12285714285714
96,1003,2014,1,27.104017857142857
97,1003,2014,2,30.250318080357143
98,1003,2014,3,33.00554910714287
99,1003,2014,4,35.887354910714286
100,1003,2014,5,36.791401785714285
101,1003,2014,6,31.98949776785714
102,1003,2014,7,31.457734375000005
103,1003,2014,8,30.953232142857143
104,1003,2014,9,31.590217633928567
105,1003,2014,10,32.025239955357144
106,1003,2014,11,30.940544642857144
107,1003,2014,12,26.518370535714286
108,1003,2015,1,29.067637648809523
109,1003,2015,2,32.87840401785715
110,1003,2015,3,34.05193080357143
111,1003,2015,4,35.52015625
112,1003,2015,5,34.11053125
113,1003,2015,6,33.87354352678572
114,1003,2015,7,32.48099330357143
115,1003,2015,8,32.79022321428572
116,1003,2015,9,32.54140625
117,1003,2015,10,32.10554464285714
118,1003,2015,11,31.13927455357143
119,1003,2015,12,29.77505580357143
120,1003,2016,1,30.09852232142858
121,1003,2016,2,33.72896205357143
122,1003,2016,3,36.579029017857145
123,1003,2016,4,35.693776785714284
124,1003,2016,5,32.135
125,1003,2016,6,32.123683035714286
126,1003,2016,7,31.848982142857142
127,1003,2016,8,31.481316964285714
128,1003,2016,9,31.418917410714286
129,1003,2016,10,31.56636607142857
130,1003,2016,11,29.856808035714288
131,1003,2016,12,29.27712611607143
132,1003,2017,1,29.749142857142857
133,1003,2017,2,32.210379464285715
134,1003,2017,3,33.713761160714284
135,1003,2017,4,34.56976339285715
136,1003,2017,5,30.91411830357143
137,1003,2017,6,31.151411830357144
138,1003,2017,7,30.939410714285714
139,1003,2017,8,31.168459821428574
140,1003,2017,9,31.44457142857143
141,1003,2017,10,30.53267857142857
142,1003,2017,11,29.79174107142857
143,1003,2017,12,27.220580357142858
144,1004,2014,1,32.089866071428574
145,1004,2014,2,32.31196428571429
146,1004,2014,3,35.42646428571429
147,1004,2014,4,38.390982142857155
148,1004,2014,5,39.5285
149,1004,2014,6,37.46982142857143
150,1004,2014,7,37.01446428571428
151,1004,2014,8,36.99728571428571
152,1004,2014,9,37.29790178571429
153,1004,2014,10,37.643035714285716
154,1004,2014,11,35.27239285714286
155,1004,2014,12,33.45080357142857
156,1004,2015,1,32.75294642857142
157,1004,2015,2,34.33026785714286
158,1004,2015,3,34.92794642857143
159,1004,2015,4,37.909285714285716
160,1004,2015,5,39.174285714285716
161,1004,2015,6,38.05098214285715
162,1004,2015,7,37.02491071428571
163,1004,2015,8,37.66653571428571
164,1004,2015,9,38.50669642857143
165,1004,2015,10,35.91425
166,1004,2015,11,35.65607142857143
167,1004,2015,12,32.32107142857143
168,1004,2016,1,31.576749999999997
169,1004,2016,2,33.963839285714286
170,1004,2016,3,36.801160714285714
171,1004,2016,4,37.43064285714286
172,1004,2016,5,35.16
173,1004,2016,6,35.81107142857143
174,1004,2016,7,37.55171428571428
175,1004,2016,8,35.770714285714284
176,1004,2016,9,36.30285714285714
177,1004,2016,10,35.82935714285715
178,1004,2016,11,33.316651785714285
179,1004,2016,12,32.48919642857143
180,1004,2017,1,33.18785714285714
181,1004,2017,2,34.89892857142858
182,1004,2017,3,37.465178571428574
183,1004,2017,4,38.03989285714286
184,1004,2017,5,35.848035714285714
185,1004,2017,6,37.18245535714286
186,1004,2017,7,36.040000000000006
187,1004,2017,8,37.254419642857144
188,1004,2017,9,36.50703571428571
189,1004,2017,10,34.57401785714286
190,1004,2017,11,32.78133928571428
191,1004,2017,12,31.42267857142857
192,1005,2014,1,30.389441964285716
193,1005,2014,2,32.632209821428575
194,1005,2014,3,34.459964285714285
195,1005,2014,4,37.99959821428572
196,1005,2014,5,37.59803571428572
197,1005,2014,6,35.427767857142854
198,1005,2014,7,34.16375
199,1005,2014,8,32.8855
200,1005,2014,9,34.30236607142857
201,1005,2014,10,35.19325892857144
202,1005,2014,11,33.526428571428575
203,1005,2014,12,29.84330357142857
204,1005,2015,1,31.614375000000006
205,1005,2015,2,34.050982142857144
206,1005,2015,3,34.621428571428574
207,1005,2015,4,37.45995535714286
208,1005,2015,5,37.43501785714285
209,1005,2015,6,36.48810267857142
210,1005,2015,7,36.21825892857143
211,1005,2015,8,36.22785714285715
212,1005,2015,9,36.17729910714286
213,1005,2015,10,34.94666071428571
214,1005,2015,11,34.271249999999995
215,1005,2015,12,32.18848214285714
216,1005,2016,1,30.92505357142857
217,1005,2016,2,34.08330357142857
