,addrcode,Year,rainfall
0,100101,2014,31.883699999999997
1,100101,2015,32.25256944444444
2,100101,2016,37.020291666666665
3,100101,2017,25.829375
4,100102,2014,31.883699999999997
5,100102,2015,32.25256944444444
6,100102,2016,37.020291666666665
7,100102,2017,25.829375
8,100103,2014,31.883699999999997
9,100103,2015,32.25256944444444
10,100103,2016,37.020291666666665
11,100103,2017,25.829375
12,100104,2014,30.801800000000004
13,100104,2015,33.86376388888889
14,100104,2016,37.959458333333345
15,100104,2017,25.833333333333332
16,100105,2014,31.883699999999997
17,100105,2015,32.25256944444444
18,100105,2016,37.020291666666665
19,100105,2017,25.829375
20,100106,2014,30.801800000000004
21,100106,2015,33.86376388888889
22,100106,2016,37.959458333333345
23,100106,2017,25.833333333333332
24,100107,2014,30.801800000000004
25,100107,2015,33.86376388888889
26,100107,2016,37.959458333333345
27,100107,2017,25.833333333333332
28,100108,2014,31.883699999999997
29,100108,2015,32.25256944444444
30,100108,2016,37.020291666666665
31,100108,2017,25.829375
32,100109,2014,31.883699999999997
33,100109,2015,32.25256944444444
34,100109,2016,37.020291666666665
35,100109,2017,25.829375
36,100110,2014,30.801800000000004
37,100110,2015,33.86376388888889
38,100110,2016,37.959458333333345
39,100110,2017,25.833333333333332
40,100111,2014,30.801800000000004
41,100111,2015,33.86376388888889
42,100111,2016,37.959458333333345
43,100111,2017,25.833333333333332
44,100112,2014,31.883699999999997
45,100112,2015,32.25256944444444
46,100112,2016,37.020291666666665
47,100112,2017,25.829375
48,100201,2014,30.801800000000004
49,100201,2015,33.86376388888889
50,100201,2016,37.959458333333345
51,100201,2017,25.833333333333332
52,100202,2014,30.801800000000004
53,100202,2015,33.86376388888889
54,100202,2016,37.959458333333345
55,100202,2017,25.833333333333332
56,100203,2014,30.801800000000004
57,100203,2015,33.86376388888889
58,100203,2016,37.959458333333345
59,100203,2017,25.833333333333332
60,100204,2014,30.801800000000004
61,100204,2015,33.86376388888889
62,100204,2016,37.959458333333345
63,100204,2017,25.833333333333332
64,100206,2014,30.801800000000004
65,100206,2015,33.86376388888889
66,100206,2016,37.959458333333345
67,100206,2017,25.833333333333332
68,100301,2014,29.232549999999996
69,100301,2015,30.315069444444447
70,100301,2016,34.78245833333334
71,100301,2017,25.546499999999998
72,100302,2014,29.232549999999996
73,100302,2015,30.315069444444447
74,100302,2016,34.78245833333333
75,100302,2017,25.546499999999995
76,100303,2014,28.8829
77,100303,2015,32.00354166666667
78,100303,2016,35.844166666666666
79,100303,2017,27.57529166666666
80,100304,2014,28.8829
81,100304,2015,32.00354166666666
82,100304,2016,35.84416666666666
83,100304,2017,27.57529166666666
84,100305,2014,29.232549999999996
85,100305,2015,30.315069444444447
86,100305,2016,34.78245833333333
87,100305,2017,25.546499999999995
88,100306,2014,29.232549999999996
89,100306,2015,30.315069444444447
90,100306,2016,34.78245833333333
91,100306,2017,25.546499999999995
92,100307,2014,28.397450000000003
93,100307,2015,30.795402777777777
94,100307,2016,35.19541666666667
95,100307,2017,24.35545833333333
96,100308,2014,28.397450000000003
97,100308,2015,30.795402777777777
98,100308,2016,35.19541666666667
99,100308,2017,24.35545833333333
100,100401,2014,30.801800000000004
101,100401,2015,33.86376388888889
102,100401,2016,37.959458333333345
103,100401,2017,25.833333333333332
104,100402,2014,30.801800000000004
105,100402,2015,33.86376388888889
106,100402,2016,37.959458333333345
107,100402,2017,25.833333333333332
108,100403,2014,30.801800000000004
109,100403,2015,33.86376388888889
110,100403,2016,37.959458333333345
111,100403,2017,25.833333333333332
112,100404,2014,30.801800000000004
113,100404,2015,33.86376388888889
114,100404,2016,37.959458333333345
115,100404,2017,25.833333333333332
116,100405,2014,30.801800000000004
117,100405,2015,33.86376388888889
118,100405,2016,37.959458333333345
119,100405,2017,25.833333333333332
120,100502,2014,29.862450000000006
121,100502,2015,32.451930555555556
122,100502,2016,37.624541666666666
123,100502,2017,25.465166666666665
124,100508,2014,29.862450000000006
125,100508,2015,32.451930555555556
126,100508,2016,37.624541666666666
127,100508,2017,25.465166666666665
128,100601,2014,30.081650000000003
129,100601,2015,33.13280555555556
130,100601,2016,36.292791666666666
131,100601,2017,26.518333333333334
132,100608,2014,30.081650000000003
133,100608,2015,33.13280555555556
134,100608,2016,36.292791666666666
135,100608,2017,26.518333333333334
136,100701,2014,30.801800000000004
137,100701,2015,33.86376388888889
138,100701,2016,37.959458333333345
139,100701,2017,25.833333333333332
140,100702,2014,30.801800000000004
141,100702,2015,33.86376388888889
142,100702,2016,37.959458333333345
143,100702,2017,25.833333333333332
144,100703,2014,30.801800000000004
145,100703,2015,33.86376388888889
146,100703,2016,37.959458333333345
147,100703,2017,25.833333333333332
148,100704,2014,30.801800000000004
149,100704,2015,33.86376388888889
150,100704,2016,37.959458333333345
151,100704,2017,25.833333333333332
152,100801,2014,30.801800000000004
153,100801,2015,33.86376388888889
154,100801,2016,37.959458333333345
155,100801,2017,25.833333333333332
156,100802,2014,30.801800000000004
157,100802,2015,33.86376388888889
158,100802,2016,37.959458333333345
159,100802,2017,25.833333333333332
160,100803,2014,30.801800000000004
161,100803,2015,33.86376388888889
162,100803,2016,37.959458333333345
163,100803,2017,25.833333333333332
164,100804,2014,30.801800000000004
165,100804,2015,33.86376388888889
166,100804,2016,37.959458333333345
167,100804,2017,25.833333333333332
168,100805,2014,30.801800000000004
169,100805,2015,33.86376388888889
170,100805,2016,37.959458333333345
171,100805,2017,25.833333333333332
172,100905,2014,32.408699999999996
173,100905,2015,33.794666666666664
174,100905,2016,37.40766666666668
175,100905,2017,25.783791666666662
176,101001,2014,29.625650000000007
177,101001,2015,31.84505555555556
178,101001,2016,35.30191666666666
179,101001,2017,26.200458333333334
180,101002,2014,29.625650000000007
181,101002,2015,31.84505555555556
182,101002,2016,35.30191666666666
183,101002,2017,26.200458333333334
184,101101,2014,29.759149999999998
185,101101,2015,32.10933333333333
186,101101,2016,35.29741666666667
187,101101,2017,25.235083333333332
188,101102,2014,29.759149999999998
189,101102,2015,32.10933333333333
190,101102,2016,35.29741666666667
191,101102,2017,25.235083333333332
192,101103,2014,29.759149999999998
193,101103,2015,32.10933333333333
194,101103,2016,35.29741666666667
195,101103,2017,25.235083333333332
196,101104,2014,29.759149999999995
197,101104,2015,32.10933333333333
198,101104,2016,35.29741666666667
199,101104,2017,25.235083333333332
200,101105,2014,28.397450000000003
201,101105,2015,30.795402777777777
202,101105,2016,35.19541666666667
203,101105,2017,24.35545833333333
204,101106,2014,28.397450000000003
205,101106,2015,30.795402777777777
206,101106,2016,35.19541666666667
207,101106,2017,24.35545833333333
208,101203,2014,35.28404999999999
209,101203,2015,35.556791666666676
210,101203,2016,40.626083333333334
211,101203,2017,25.943874999999995
212,101204,2014,35.28404999999999
213,101204,2015,35.556791666666676
214,101204,2016,40.626083333333334
215,101204,2017,25.943874999999995
216,101301,2014,30.801800000000004
217,101301,2015,33.86376388888889
218,101301,2016,37.959458333333345
219,101301,2017,25.833333333333332
220,101302,2014,30.801800000000004
221,101302,2015,33.86376388888889
222,101302,2016,37.959458333333345
223,101302,2017,25.833333333333332
224,101303,2014,30.801800000000004
225,101303,2015,33.86376388888889
226,101303,2016,37.959458333333345
227,101303,2017,25.833333333333332
228,101401,2014,30.801800000000004
229,101401,2015,33.86376388888889
230,101401,2016,37.959458333333345
231,101401,2017,25.833333333333332
232,101501,2014,31.883699999999997
