,addrcode,Year,Month,Cases
232,100105,2015,5,0
233,100105,2015,6,0
234,100105,2015,7,4
235,100105,2015,8,0
236,100105,2015,9,0
237,100105,2015,10,1
238,100105,2015,11,4
239,100105,2015,12,1
240,100105,2016,1,1
241,100105,2016,2,4
242,100105,2016,3,0
243,100105,2016,4,0
244,100105,2016,5,0
245,100105,2016,6,0
246,100105,2016,7,0
247,100105,2016,8,1
248,100105,2016,9,0
249,100105,2016,10,0
250,100105,2016,11,0
251,100105,2016,12,0
252,100105,2017,1,0
253,100105,2017,2,0
254,100105,2017,3,0
255,100105,2017,4,0
256,100105,2017,5,0
257,100105,2017,6,0
258,100105,2017,7,1
259,100105,2017,8,1
260,100105,2017,9,0
261,100105,2017,10,0
262,100105,2017,11,0
263,100105,2017,12,0
264,100105,2018,1,0
265,100105,2018,2,0
266,100105,2018,3,0
267,100105,2018,4,0
268,100105,2018,5,0
269,100105,2018,6,0
270,100106,2014,1,0
271,100106,2014,2,0
272,100106,2014,3,0
273,100106,2014,4,0
274,100106,2014,5,0
275,100106,2014,6,0
276,100106,2014,7,0
277,100106,2014,8,0
278,100106,2014,9,0
279,100106,2014,10,0
280,100106,2014,11,0
281,100106,2014,12,0
282,100106,2015,1,0
283,100106,2015,2,0
284,100106,2015,3,0
285,100106,2015,4,0
286,100106,2015,5,0
287,100106,2015,6,0
288,100106,2015,7,4
289,100106,2015,8,3
290,100106,2015,9,0
291,100106,2015,10,0
292,100106,2015,11,1
293,100106,2015,12,1
294,100106,2016,1,0
295,100106,2016,2,0
296,100106,2016,3,0
297,100106,2016,4,0
298,100106,2016,5,1
299,100106,2016,6,0
300,100106,2016,7,0
301,100106,2016,8,0
302,100106,2016,9,2
303,100106,2016,10,0
304,100106,2016,11,0
305,100106,2016,12,0
306,100106,2017,1,2
307,100106,2017,2,0
308,100106,2017,3,0
309,100106,2017,4,0
310,100106,2017,5,0
311,100106,2017,6,0
312,100106,2017,7,1
313,100106,2017,8,0
314,100106,2017,9,0
315,100106,2017,10,0
316,100106,2017,11,0
317,100106,2017,12,0
318,100106,2018,1,0
319,100106,2018,2,0
320,100106,2018,3,0
321,100106,2018,4,0
322,100106,2018,5,0
323,100106,2018,6,0
324,100107,2014,1,0
325,100107,2014,2,0
326,100107,2014,3,1
327,100107,2014,4,1
328,100107,2014,5,0
329,100107,2014,6,0
330,100107,2014,7,0
331,100107,2014,8,0
332,100107,2014,9,0
333,100107,2014,10,0
334,100107,2014,11,2
335,100107,2014,12,0
336,100107,2015,1,1
337,100107,2015,2,1
338,100107,2015,3,0
339,100107,2015,4,0
340,100107,2015,5,4
341,100107,2015,6,7
342,100107,2015,7,2
343,100107,2015,8,1
344,100107,2015,9,1
345,100107,2015,10,1
346,100107,2015,11,4
347,100107,2015,12,3
348,100107,2016,1,2
349,100107,2016,2,1
350,100107,2016,3,1
351,100107,2016,4,0
352,100107,2016,5,0
353,100107,2016,6,0
354,100107,2016,7,0
355,100107,2016,8,0
356,100107,2016,9,0
357,100107,2016,10,2
358,100107,2016,11,0
359,100107,2016,12,0
360,100107,2017,1,0
361,100107,2017,2,0
362,100107,2017,3,0
363,100107,2017,4,0
364,100107,2017,5,0
365,100107,2017,6,1
366,100107,2017,7,1
367,100107,2017,8,0
368,100107,2017,9,0
369,100107,2017,10,0
370,100107,2017,11,0
371,100107,2017,12,1
372,100107,2018,1,0
373,100107,2018,2,1
374,100107,2018,3,0
375,100107,2018,4,0
376,100107,2018,5,2
377,100107,2018,6,0
378,100108,2014,1,0
379,100108,2014,2,0
380,100108,2014,3,1
381,100108,2014,4,0
382,100108,2014,5,0
383,100108,2014,6,1
384,100108,2014,7,0
385,100108,2014,8,0
386,100108,2014,9,0
387,100108,2014,10,0
388,100108,2014,11,0
389,100108,2014,12,0
390,100108,2015,1,0
391,100108,2015,2,0
392,100108,2015,3,0
393,100108,2015,4,0
394,100108,2015,5,0
395,100108,2015,6,0
396,100108,2015,7,0
397,100108,2015,8,1
398,100108,2015,9,1
399,100108,2015,10,1
400,100108,2015,11,2
401,100108,2015,12,2
402,100108,2016,1,4
403,100108,2016,2,0
404,100108,2016,3,1
405,100108,2016,4,0
406,100108,2016,5,0
407,100108,2016,6,0
408,100108,2016,7,0
409,100108,2016,8,1
410,100108,2016,9,3
411,100108,2016,10,1
412,100108,2016,11,4
413,100108,2016,12,0
414,100108,2017,1,0
415,100108,2017,2,0
416,100108,2017,3,0
417,100108,2017,4,0
418,100108,2017,5,0
419,100108,2017,6,1
420,100108,2017,7,0
421,100108,2017,8,0
422,100108,2017,9,0
423,100108,2017,10,0
424,100108,2017,11,0
425,100108,2017,12,0
426,100108,2018,1,0
427,100108,2018,2,0
428,100108,2018,3,0
429,100108,2018,4,0
430,100108,2018,5,1
431,100108,2018,6,0
432,100109,2014,1,0
433,100109,2014,2,0
434,100109,2014,3,0
435,100109,2014,4,1
436,100109,2014,5,2
437,100109,2014,6,0
438,100109,2014,7,0
439,100109,2014,8,0
440,100109,2014,9,0
441,100109,2014,10,1
442,100109,2014,11,3
443,100109,2014,12,2
444,100109,2015,1,0
445,100109,2015,2,0
446,100109,2015,3,0
447,100109,2015,4,0
448,100109,2015,5,0
449,100109,2015,6,0
450,100109,2015,7,0
451,100109,2015,8,0
452,100109,2015,9,2
453,100109,2015,10,2
454,100109,2015,11,3
455,100109,2015,12,1
456,100109,2016,1,0
457,100109,2016,2,1
458,100109,2016,3,0
459,100109,2016,4,0
460,100109,2016,5,0
461,100109,2016,6,0
462,100109,2016,7,3
463,100109,2016,8,2
464,100109,2016,9,0
465,100109,2016,10,1
466,100109,2016,11,0
467,100109,2016,12,0
468,100109,2017,1,1
469,100109,2017,2,0
470,100109,2017,3,0
471,100109,2017,4,0
472,100109,2017,5,0
473,100109,2017,6,0
474,100109,2017,7,0
475,100109,2017,8,0
476,100109,2017,9,0
477,100109,2017,10,0
478,100109,2017,11,0
479,100109,2017,12,1
480,100109,2018,1,0
481,100109,2018,2,1
482,100109,2018,3,0
483,100109,2018,4,0
484,100109,2018,5,0
485,100109,2018,6,0
486,100110,2014,1,0
487,100110,2014,2,0
488,100110,2014,3,0
489,100110,2014,4,0
490,100110,2014,5,0
491,100110,2014,6,1
492,100110,2014,7,0
493,100110,2014,8,1
494,100110,2014,9,1
495,100110,2014,10,0
496,100110,2014,11,1
497,100110,2014,12,1
498,100110,2015,1,1
499,100110,2015,2,1
500,100110,2015,3,0
501,100110,2015,4,0
502,100110,2015,5,3
503,100110,2015,6,2
504,100110,2015,7,4
505,100110,2015,8,0
506,100110,2015,9,2
507,100110,2015,10,2
508,100110,2015,11,6
509,100110,2015,12,3
510,100110,2016,1,4
511,100110,2016,2,0
512,100110,2016,3,1
513,100110,2016,4,0
514,100110,2016,5,0
515,100110,2016,6,1
516,100110,2016,7,0
517,100110,2016,8,2
518,100110,2016,9,1
519,100110,2016,10,2
520,100110,2016,11,0
521,100110,2016,12,0
522,100110,2017,1,0
523,100110,2017,2,0
524,100110,2017,3,0
525,100110,2017,4,0
526,100110,2017,5,0
