,addrcode,temperature
0,100508,31.95
1,100112,32.19
2,104601,31.69
3,104101,31.85
4,100302,32.07
5,100502,31.75
6,100306,31.47
7,104603,31.83
8,100301,31.81
9,100305,31.39
10,101002,30.51
11,100303,31.29
12,104802,31.51
13,101104,31.19
14,102601,31.97
15,100307,31.53
16,103201,31.12
17,103605,31.87
18,100304,32.04
19,104201,31.21
20,101105,30.84
21,101106,30.51
22,101101,31.39
23,104002,31.75
24,102705,32.45
25,103801,33.25
26,103005,33.31
27,100601,29.21
28,102303,31.25
29,104501,31.67
30,104401,31.17
31,102105,28.91
32,101103,30.75
33,101901,32.67
34,104801,31.29
35,102107,29.17
36,101803,32.75
37,103903,30.37
38,102201,32.57
39,102302,32.75
40,105001,30.57
41,102401,29.07
42,104701,30.39
43,102803,30.47
44,104902,29.53
45,104602,30.34
