,addrcode,temperature
0,800603,25.35
1,800905,26.6
2,800909,25.73
3,801101,27.21
4,801302,26.09
5,801215,25.81
6,801206,24.21
7,801207,25.07
8,801217,25.97
9,802001,26.17
10,800305,26.17
11,801105,28.27
12,801212,26.21
13,801003,28.55
14,800302,25.67
15,801208,25.99
16,800911,27.15
17,801107,28.04
18,801213,25.63
19,800912,28.43
20,801218,26.47
21,801301,25.92
22,800906,28.78
23,801216,26.09
24,801001,28.74
25,801104,27.7
26,801214,26.39
27,800407,28.11
28,800112,26.33
29,800304,25.97
30,800405,28.03
31,800303,26.33
32,801103,27.09
33,802202,28.59
34,801210,28.27
35,801002,28.45
36,802201,26.81
37,800301,26.09
38,800416,28.87
39,801202,24.51
40,810602,26.92
41,810601,27.64
42,800501,28.55
43,800120,26.72
44,810603,26.15
45,800205,24.99
46,800403,27.25
47,801209,25.97
48,800116,27.03
49,801803,28.03
50,800410,28.85
51,800406,27.26
52,800505,28.38
53,800121,25.9
54,801802,27.14
55,800203,26.51
56,800404,26.89
57,802103,25.75
58,800803,28.15
59,800503,25.82
60,800502,25.76
61,800801,30.03
62,802104,25.39
63,802102,21.21
64,801404,27.35
65,800802,26.79
66,800811,27.59
67,801405,27.34
68,800813,27.96
69,800804,27.27
70,800409,27.92
71,801604,26.8
72,800704,26.93
73,801605,27.49
74,801704,25.17
75,801702,26.08
76,801603,27.39
77,800910,26.49
78,800701,26.96
79,800908,26.93
80,801503,27.1
81,801501,26.39
82,801502,26.32
83,800702,26.79
84,810304,26.46
85,810405,26.23
86,810803,26.79
87,810403,27.05
88,810302,24.65
89,810305,22.99
90,810303,25.25
91,810404,25.9
92,810106,26.75
93,810801,26.83
94,810115,26.83
95,810406,26.73
96,810805,27.73
97,810701,27.39
98,810702,27.37
99,810703,29.43
100,810117,26.04
101,810402,26.54
102,810401,27.36
103,810806,26.15
104,810116,26.95
105,810118,27.52
106,810804,28.19
107,810807,27.12
108,810204,25.81
109,810203,26.73
110,810111,26.35
111,810505,23.67
112,810105,26.35
113,810407,25.93
114,810103,26.77
115,810206,26.89
116,810808,26.72
117,810507,24.58
118,810503,25.9
119,810604,27.53
120,800904,27.99
121,801611,27.21
122,801608,27.25
123,800606,25.69
124,800913,28.37
125,800903,28.75
126,800902,26.95
127,800605,29.23
128,800612,26.53
129,801906,26.47
130,800613,25.35
131,801606,29.89
132,800706,25.5
133,800907,27.73
134,801601,26.99
135,801304,
136,801904,
137,801701,
138,801903,
139,800611,
140,801204,
141,802003,
142,802301,
143,801303,
144,802304,
145,801203,
146,800106,
147,800115,
148,801801,
149,801106,
150,800122,
151,802004,
152,801102,
153,800101,
154,800119,
155,800113,
156,800807,
157,800204,
158,810301,
159,800201,
160,800504,
161,800202,
162,800806,
163,802101,
164,801403,
165,801408,
166,801407,
167,801602,
168,801902,
169,801703,
170,801905,
171,801406,
172,801409,
173,801402,
174,801610,
175,800710,
176,800705,
177,801609,
178,800708,
179,800707,
180,800711,
181,810704,
182,810201,
183,810506,
184,810508,
185,810509,
186,810501,
187,810202,
188,810502,
189,810504,
190,810205,
191,802303,
192,800607,
193,800601,
194,801305,
195,801306,
196,801201,
197,810102,
