,addrcode,temperature
0,102105,25.87
1,102107,32.87
2,102401,26.39
3,104701,26.39
4,104902,27.95
5,100508,
6,100112,
7,104601,
8,104101,
9,100302,
10,100502,
11,100306,
12,104603,
13,100301,
14,100305,
15,101002,
16,100303,
17,104802,
18,101104,
19,102601,
20,100307,
21,103201,
22,103605,
23,100304,
24,104201,
25,101105,
26,101106,
27,101101,
28,104002,
29,102705,
30,103801,
31,103005,
32,100601,
33,102303,
34,104501,
35,104401,
36,101103,
37,101901,
38,104801,
39,101803,
40,103903,
41,102201,
42,102302,
43,105001,
44,102803,
45,104602,
