SCODE_BMA,ZONE_CODE,COUNT,AREA,MIN,MAX,RANGE,MEAN,STD,SUM,VARIETY,MAJORITY,MINORITY,MEDIAN
100508,1,1,0.0025,15355,15355,0,15355.0,0.0,15355.0,1,15355,15355,15355
100112,2,1,0.0025,15431,15431,0,15431.0,0.0,15431.0,1,15431,15431,15431
104601,3,2,0.005,15252,15299,47,15275.5,23.5,30551.0,2,15252,15252,15252
104101,4,1,0.0025,15482,15482,0,15482.0,0.0,15482.0,1,15482,15482,15482
100302,5,2,0.005,15230,15243,13,15236.5,6.5,30473.0,2,15230,15230,15230
100502,6,1,0.0025,15465,15465,0,15465.0,0.0,15465.0,1,15465,15465,15465
100306,7,1,0.0025,15237,15237,0,15237.0,0.0,15237.0,1,15237,15237,15237
104603,8,1,0.0025,15343,15343,0,15343.0,0.0,15343.0,1,15343,15343,15343
100301,9,1,0.0025,15276,15276,0,15276.0,0.0,15276.0,1,15276,15276,15276
100305,10,1,0.0025,15341,15341,0,15341.0,0.0,15341.0,1,15341,15341,15341
101002,11,1,0.0025,15334,15334,0,15334.0,0.0,15334.0,1,15334,15334,15334
100303,12,1,0.0025,15245,15245,0,15245.0,0.0,15245.0,1,15245,15245,15245
104802,13,1,0.0025,15361,15361,0,15361.0,0.0,15361.0,1,15361,15361,15361
101104,14,1,0.0025,15287,15287,0,15287.0,0.0,15287.0,1,15287,15287,15287
102601,15,1,0.0025,15597,15597,0,15597.0,0.0,15597.0,1,15597,15597,15597
100307,16,1,0.0025,15307,15307,0,15307.0,0.0,15307.0,1,15307,15307,15307
103201,17,2,0.005,15433,15441,8,15437.0,4.0,30874.0,2,15433,15433,15433
103605,18,1,0.0025,15502,15502,0,15502.0,0.0,15502.0,1,15502,15502,15502
100304,19,2,0.005,15247,15256,9,15251.5,4.5,30503.0,2,15247,15247,15247
104201,20,1,0.0025,15422,15422,0,15422.0,0.0,15422.0,1,15422,15422,15422
101105,21,2,0.005,15233,15269,36,15251.0,18.0,30502.0,2,15233,15233,15233
101106,22,1,0.0025,15247,15247,0,15247.0,0.0,15247.0,1,15247,15247,15247
101101,23,1,0.0025,15285,15285,0,15285.0,0.0,15285.0,1,15285,15285,15285
104002,24,1,0.0025,15338,15338,0,15338.0,0.0,15338.0,1,15338,15338,15338
102705,25,1,0.0025,15499,15499,0,15499.0,0.0,15499.0,1,15499,15499,15499
103801,26,1,0.0025,15527,15527,0,15527.0,0.0,15527.0,1,15527,15527,15527
103005,27,1,0.0025,15486,15486,0,15486.0,0.0,15486.0,1,15486,15486,15486
100601,28,1,0.0025,15491,15491,0,15491.0,0.0,15491.0,1,15491,15491,15491
102303,29,1,0.0025,15399,15399,0,15399.0,0.0,15399.0,1,15399,15399,15399
104501,30,1,0.0025,15519,15519,0,15519.0,0.0,15519.0,1,15519,15519,15519
104401,31,1,0.0025,15381,15381,0,15381.0,0.0,15381.0,1,15381,15381,15381
102105,32,3,0.0075,15156,15458,302,15289.0,125.891487666,45867.0,3,15156,15156,15253
101103,33,1,0.0025,15282,15282,0,15282.0,0.0,15282.0,1,15282,15282,15282
101901,34,1,0.0025,15300,15300,0,15300.0,0.0,15300.0,1,15300,15300,15300
104801,35,1,0.0025,15367,15367,0,15367.0,0.0,15367.0,1,15367,15367,15367
102107,36,1,0.0025,15202,15202,0,15202.0,0.0,15202.0,1,15202,15202,15202
101803,37,1,0.0025,15418,15418,0,15418.0,0.0,15418.0,1,15418,15418,15418
103903,38,1,0.0025,15487,15487,0,15487.0,0.0,15487.0,1,15487,15487,15487
102201,39,1,0.0025,15378,15378,0,15378.0,0.0,15378.0,1,15378,15378,15378
102302,40,1,0.0025,15354,15354,0,15354.0,0.0,15354.0,1,15354,15354,15354
105001,41,1,0.0025,15372,15372,0,15372.0,0.0,15372.0,1,15372,15372,15372
102401,42,1,0.0025,15368,15368,0,15368.0,0.0,15368.0,1,15368,15368,15368
104701,43,2,0.005,15425,15451,26,15438.0,13.0,30876.0,2,15425,15425,15425
102803,44,1,0.0025,15468,15468,0,15468.0,0.0,15468.0,1,15468,15468,15468
104902,45,1,0.0025,15272,15272,0,15272.0,0.0,15272.0,1,15272,15272,15272
104602,46,2,0.005,15274,15305,31,15289.5,15.5,30579.0,2,15274,15274,15274
