,addrcode,temperature
0,100508,36.81
1,100112,37.65
2,104101,37.79
3,100302,31.36
4,100502,36.81
5,100301,31.93
6,104802,37.93
7,101104,33.05
8,102601,37.49
9,100307,31.31
10,103201,35.44
11,103605,38.75
12,100304,30.95
13,104201,38.75
14,101105,32.77
15,101106,33.11
16,101101,32.75
17,104002,37.63
18,102705,37.51
19,103801,37.51
20,103005,38.09
21,100601,33.29
22,104501,36.05
23,104401,33.29
24,102105,34.74
25,101103,33.25
26,101901,38.17
27,104801,36.97
28,102107,35.45
29,101803,37.11
30,103903,37.33
31,102201,36.61
32,102302,34.97
33,105001,37.21
34,102401,33.29
35,104701,35.52
36,102803,39.31
37,104902,33.79
38,104601,
39,100306,
40,104603,
41,100305,
42,101002,
43,100303,
44,102303,
45,104602,
