TB_IDN,ZONE_CODE,COUNT,AREA,MIN,MAX,RANGE,MEAN,STD,SUM,VARIETY,MAJORITY,MINORITY,MEDIAN
801304,1,2,0.005,15174,15311,137,15242.5,68.5,30485.0,2,15174,15174,15174
800603,2,1,0.0025,15161,15161,0,15161.0,0.0,15161.0,1,15161,15161,15161
801904,3,2,0.005,15187,15280,93,15233.5,46.5,30467.0,2,15187,15187,15187
800905,4,4,0.01,15141,15187,46,15159.5,17.2409396496,60638.0,4,15141,15141,15150
800909,5,1,0.0025,15116,15116,0,15116.0,0.0,15116.0,1,15116,15116,15116
801701,6,3,0.0075,15101,15158,57,15138.3333333,26.4112770525,45415.0,3,15101,15101,15156
801903,7,1,0.0025,15243,15243,0,15243.0,0.0,15243.0,1,15243,15243,15243
800611,8,2,0.005,15214,15245,31,15229.5,15.5,30459.0,2,15214,15214,15214
801204,9,1,0.0025,15214,15214,0,15214.0,0.0,15214.0,1,15214,15214,15214
801101,10,2,0.005,15137,15176,39,15156.5,19.5,30313.0,2,15137,15137,15137
801302,11,4,0.01,14997,15156,159,15108.25,64.8743978777,60433.0,4,14997,14997,15131
802003,12,1,0.0025,15264,15264,0,15264.0,0.0,15264.0,1,15264,15264,15264
801215,13,1,0.0025,15277,15277,0,15277.0,0.0,15277.0,1,15277,15277,15277
801206,14,2,0.005,15110,15210,100,15160.0,50.0,30320.0,2,15110,15110,15110
801207,15,1,0.0025,15207,15207,0,15207.0,0.0,15207.0,1,15207,15207,15207
801217,16,1,0.0025,15083,15083,0,15083.0,0.0,15083.0,1,15083,15083,15083
802001,17,1,0.0025,15216,15216,0,15216.0,0.0,15216.0,1,15216,15216,15216
800305,18,2,0.005,14982,14991,9,14986.5,4.5,29973.0,2,14982,14982,14982
801105,19,4,0.01,15099,15226,127,15164.0,48.4097097698,60656.0,4,15099,15099,15140
801212,20,1,0.0025,15300,15300,0,15300.0,0.0,15300.0,1,15300,15300,15300
801003,21,2,0.005,15139,15213,74,15176.0,37.0,30352.0,2,15139,15139,15139
800302,22,3,0.0075,14964,15114,150,15046.6666667,62.189674027,45140.0,3,14964,14964,15062
801208,23,1,0.0025,15214,15214,0,15214.0,0.0,15214.0,1,15214,15214,15214
800911,24,4,0.01,15110,15210,100,15150.0,39.8998746865,60600.0,4,15110,15110,15118
801107,25,3,0.0075,15112,15157,45,15136.6666667,18.6249533936,45410.0,3,15112,15112,15141
801213,26,1,0.0025,15183,15183,0,15183.0,0.0,15183.0,1,15183,15183,15183
800912,27,1,0.0025,15223,15223,0,15223.0,0.0,15223.0,1,15223,15223,15223
801218,28,1,0.0025,15197,15197,0,15197.0,0.0,15197.0,1,15197,15197,15197
802301,29,1,0.0025,15048,15048,0,15048.0,0.0,15048.0,1,15048,15048,15048
801301,30,5,0.0125,15125,15227,102,15181.8,34.7067716734,75909.0,5,15125,15125,15195
800906,31,3,0.0075,15040,15269,229,15158.0,93.6197984759,45474.0,3,15040,15040,15165
801216,32,1,0.0025,15085,15085,0,15085.0,0.0,15085.0,1,15085,15085,15085
801001,33,2,0.005,15191,15203,12,15197.0,6.0,30394.0,2,15191,15191,15191
801303,34,2,0.005,15184,15267,83,15225.5,41.5,30451.0,2,15184,15184,15184
802304,35,1,0.0025,15344,15344,0,15344.0,0.0,15344.0,1,15344,15344,15344
801203,36,1,0.0025,15145,15145,0,15145.0,0.0,15145.0,1,15145,15145,15145
801104,37,4,0.01,15148,15163,15,15156.75,6.1390145789,60627.0,4,15148,15148,15154
801214,38,3,0.0075,14985,15155,170,15072.6666667,69.5045961712,45218.0,3,14985,14985,15078
800407,39,1,0.0025,15192,15192,0,15192.0,0.0,15192.0,1,15192,15192,15192
800112,40,1,0.0025,15193,15193,0,15193.0,0.0,15193.0,1,15193,15193,15193
800304,41,4,0.01,14948,15192,244,15028.25,96.5462971843,60113.0,4,14948,14948,14970
800106,42,2,0.005,15147,15218,71,15182.5,35.5,30365.0,2,15147,15147,15147
800405,43,1,0.0025,15127,15127,0,15127.0,0.0,15127.0,1,15127,15127,15127
800115,44,1,0.0025,15310,15310,0,15310.0,0.0,15310.0,1,15310,15310,15310
801801,45,1,0.0025,15265,15265,0,15265.0,0.0,15265.0,1,15265,15265,15265
800303,46,1,0.0025,15227,15227,0,15227.0,0.0,15227.0,1,15227,15227,15227
801106,47,2,0.005,15225,15283,58,15254.0,29.0,30508.0,2,15225,15225,15225
801103,48,2,0.005,15196,15214,18,15205.0,9.0,30410.0,2,15196,15196,15196
800122,49,2,0.005,15218,15250,32,15234.0,16.0,30468.0,2,15218,15218,15218
802202,50,2,0.005,15144,15196,52,15170.0,26.0,30340.0,2,15144,15144,15144
801210,51,1,0.0025,15326,15326,0,15326.0,0.0,15326.0,1,15326,15326,15326
801002,52,1,0.0025,15146,15146,0,15146.0,0.0,15146.0,1,15146,15146,15146
802004,53,2,0.005,15250,15297,47,15273.5,23.5,30547.0,2,15250,15250,15250
802201,54,7,0.0175,14979,15169,190,15084.4285714,69.3497494957,105591.0,7,14979,14979,15056
801102,55,3,0.0075,15188,15233,45,15208.0,18.7082869339,45624.0,3,15188,15188,15203
800301,56,2,0.005,14960,15019,59,14989.5,29.5,29979.0,2,14960,14960,14960
800101,57,1,0.0025,15308,15308,0,15308.0,0.0,15308.0,1,15308,15308,15308
800119,58,1,0.0025,15016,15016,0,15016.0,0.0,15016.0,1,15016,15016,15016
800416,59,2,0.005,15188,15221,33,15204.5,16.5,30409.0,2,15188,15188,15188
800113,60,1,0.0025,15247,15247,0,15247.0,0.0,15247.0,1,15247,15247,15247
801202,61,3,0.0075,14986,15262,276,15155.0,120.904921323,45465.0,3,14986,14986,15217
810602,62,4,0.01,15053,15083,30,15068.25,10.6624340561,60273.0,4,15053,15053,15067
810601,63,8,0.02,14954,15090,136,15037.375,44.6260504078,120299.0,8,14954,14954,15055
800807,64,2,0.005,15162,15211,49,15186.5,24.5,30373.0,2,15162,15162,15162
800204,65,3,0.0075,15035,15186,151,15101.6666667,62.8985073134,45305.0,3,15035,15035,15084
800501,66,2,0.005,14997,15017,20,15007.0,10.0,30014.0,2,14997,14997,14997
800120,67,3,0.0075,15095,15155,60,15131.3333333,26.0810701891,45394.0,3,15095,15095,15144
810301,68,2,0.005,14956,14963,7,14959.5,3.5,29919.0,2,14956,14956,14956
810603,69,3,0.0075,15049,15061,12,15057.0,5.65685424949,45171.0,2,15061,15049,15061
800201,70,2,0.005,15014,15136,122,15075.0,61.0,30150.0,2,15014,15014,15014
800205,71,1,0.0025,15113,15113,0,15113.0,0.0,15113.0,1,15113,15113,15113
800403,72,5,0.0125,14975,15129,154,15061.2,69.4878406629,75306.0,5,14975,14975,15108
801209,73,1,0.0025,15015,15015,0,15015.0,0.0,15015.0,1,15015,15015,15015
800116,74,3,0.0075,15090,15191,101,15148.6666667,42.820036847,45446.0,3,15090,15090,15165
801803,75,3,0.0075,15121,15276,155,15180.0,68.4738392867,45540.0,3,15121,15121,15143
800410,76,1,0.0025,15144,15144,0,15144.0,0.0,15144.0,1,15144,15144,15144
800406,77,2,0.005,15110,15164,54,15137.0,27.0,30274.0,2,15110,15110,15110
800505,78,2,0.005,15096,15124,28,15110.0,14.0,30220.0,2,15096,15096,15096
800504,79,2,0.005,15018,15103,85,15060.5,42.5,30121.0,2,15018,15018,15018
800121,80,3,0.0075,15068,15234,166,15144.6666667,68.3585319394,45434.0,3,15068,15068,15132
801802,81,2,0.005,15099,15152,53,15125.5,26.5,30251.0,2,15099,15099,15099
800203,82,1,0.0025,15155,15155,0,15155.0,0.0,15155.0,1,15155,15155,15155
800404,83,1,0.0025,15117,15117,0,15117.0,0.0,15117.0,1,15117,15117,15117
800202,84,1,0.0025,15158,15158,0,15158.0,0.0,15158.0,1,15158,15158,15158
800806,85,1,0.0025,15211,15211,0,15211.0,0.0,15211.0,1,15211,15211,15211
802101,86,3,0.0075,14970,15112,142,15064.6666667,66.9394419525,45194.0,2,15112,14970,15112
802103,87,2,0.005,15129,15244,115,15186.5,57.5,30373.0,2,15129,15129,15129
800803,88,3,0.0075,15107,15190,83,15161.6666667,38.663792997,45485.0,3,15107,15107,15188
800503,89,6,0.015,14954,15139,185,15017.1666667,62.4484231633,90103.0,6,14954,14954,14993
800502,90,3,0.0075,14933,15121,188,15026.0,76.7637067022,45078.0,3,14933,14933,15024
800801,91,1,0.0025,15087,15087,0,15087.0,0.0,15087.0,1,15087,15087,15087
802104,92,5,0.0125,14924,15186,262,15071.0,87.8680829426,75355.0,5,14924,14924,15075
801403,93,2,0.005,14986,15027,41,15006.5,20.5,30013.0,2,14986,14986,14986
801408,94,4,0.01,14980,15081,101,15038.75,39.5434887181,60155.0,4,14980,14980,15026
802102,95,16,0.04,14903,15061,158,15003.75,46.6442654568,240060.0,16,14903,14903,14994
801404,96,1,0.0025,15121,15121,0,15121.0,0.0,15121.0,1,15121,15121,15121
800802,97,1,0.0025,15158,15158,0,15158.0,0.0,15158.0,1,15158,15158,15158
801407,98,3,0.0075,15022,15104,82,15066.0,33.7441352929,45198.0,3,15022,15022,15072
800811,99,3,0.0075,15071,15183,112,15128.6666667,45.7845194607,45386.0,3,15071,15071,15132
801405,100,2,0.005,15146,15170,24,15158.0,12.0,30316.0,2,15146,15146,15146
800813,101,2,0.005,15091,15111,20,15101.0,10.0,30202.0,2,15091,15091,15091
800804,102,1,0.0025,15221,15221,0,15221.0,0.0,15221.0,1,15221,15221,15221
