,addrcode,temperature
0,100508,32.39
1,100112,34.63
2,104601,31.62
3,104101,36.79
4,100302,29.8
5,100502,36.17
6,100306,31.33
7,104603,35.03
8,100301,29.75
9,100305,32.65
10,101002,32.61
11,100303,30.61
12,104802,34.43
13,101104,30.75
14,102601,34.85
15,100307,30.03
16,103201,34.94
17,103605,35.73
18,100304,30.08
19,104201,34.61
20,101105,31.29
21,101106,29.95
22,101101,33.91
23,104002,34.71
24,102705,36.19
25,103801,37.29
26,103005,35.29
27,100601,35.69
28,102303,34.55
29,104501,37.03
30,104401,34.37
31,102105,31.69
32,101103,32.93
33,101901,34.63
34,104801,33.81
35,102107,30.97
36,101803,34.37
37,103903,36.51
38,102201,34.87
39,102302,34.27
40,105001,35.17
41,102401,34.49
42,104701,35.26
43,102803,36.27
44,104902,32.59
45,104602,31.36
