SCODE_BMA,ZONE_CODE,COUNT,AREA,MIN,MAX,RANGE,MEAN,STD,SUM,VARIETY,MAJORITY,MINORITY,MEDIAN
100508,1,1,0.0025,15346,15346,0,15346.0,0.0,15346.0,1,15346,15346,15346
100112,2,1,0.0025,15423,15423,0,15423.0,0.0,15423.0,1,15423,15423,15423
104601,3,2,0.005,15261,15321,60,15291.0,30.0,30582.0,2,15261,15261,15261
104101,4,1,0.0025,15447,15447,0,15447.0,0.0,15447.0,1,15447,15447,15447
100302,5,2,0.005,15328,15424,96,15376.0,48.0,30752.0,2,15328,15328,15328
100502,6,1,0.0025,15374,15374,0,15374.0,0.0,15374.0,1,15374,15374,15374
100306,7,1,0.0025,15267,15267,0,15267.0,0.0,15267.0,1,15267,15267,15267
104603,8,1,0.0025,15300,15300,0,15300.0,0.0,15300.0,1,15300,15300,15300
100301,9,1,0.0025,15269,15269,0,15269.0,0.0,15269.0,1,15269,15269,15269
100305,10,1,0.0025,15262,15262,0,15262.0,0.0,15262.0,1,15262,15262,15262
101002,11,1,0.0025,15321,15321,0,15321.0,0.0,15321.0,1,15321,15321,15321
100303,12,1,0.0025,15293,15293,0,15293.0,0.0,15293.0,1,15293,15293,15293
104802,13,1,0.0025,15434,15434,0,15434.0,0.0,15434.0,1,15434,15434,15434
101104,14,1,0.0025,15227,15227,0,15227.0,0.0,15227.0,1,15227,15227,15227
102601,15,1,0.0025,15410,15410,0,15410.0,0.0,15410.0,1,15410,15410,15410
100307,16,1,0.0025,15251,15251,0,15251.0,0.0,15251.0,1,15251,15251,15251
103201,17,2,0.005,15307,15365,58,15336.0,29.0,30672.0,2,15307,15307,15307
103605,18,1,0.0025,15460,15460,0,15460.0,0.0,15460.0,1,15460,15460,15460
100304,19,2,0.005,15267,15363,96,15315.0,48.0,30630.0,2,15267,15267,15267
104201,20,1,0.0025,15366,15366,0,15366.0,0.0,15366.0,1,15366,15366,15366
101105,21,2,0.005,15208,15232,24,15220.0,12.0,30440.0,2,15208,15208,15208
101106,22,1,0.0025,15191,15191,0,15191.0,0.0,15191.0,1,15191,15191,15191
101101,23,1,0.0025,15221,15221,0,15221.0,0.0,15221.0,1,15221,15221,15221
104002,24,1,0.0025,15406,15406,0,15406.0,0.0,15406.0,1,15406,15406,15406
102705,25,1,0.0025,15438,15438,0,15438.0,0.0,15438.0,1,15438,15438,15438
103801,26,1,0.0025,15460,15460,0,15460.0,0.0,15460.0,1,15460,15460,15460
103005,27,1,0.0025,15452,15452,0,15452.0,0.0,15452.0,1,15452,15452,15452
100601,28,1,0.0025,15322,15322,0,15322.0,0.0,15322.0,1,15322,15322,15322
102303,29,1,0.0025,15393,15393,0,15393.0,0.0,15393.0,1,15393,15393,15393
104501,30,1,0.0025,15412,15412,0,15412.0,0.0,15412.0,1,15412,15412,15412
104401,31,1,0.0025,15300,15300,0,15300.0,0.0,15300.0,1,15300,15300,15300
102105,32,3,0.0075,15114,15392,278,15229.0,118.459557093,45687.0,3,15114,15114,15181
101103,33,1,0.0025,15245,15245,0,15245.0,0.0,15245.0,1,15245,15245,15245
101901,34,1,0.0025,15424,15424,0,15424.0,0.0,15424.0,1,15424,15424,15424
104801,35,1,0.0025,15362,15362,0,15362.0,0.0,15362.0,1,15362,15362,15362
102107,36,1,0.0025,15165,15165,0,15165.0,0.0,15165.0,1,15165,15165,15165
101803,37,1,0.0025,15385,15385,0,15385.0,0.0,15385.0,1,15385,15385,15385
103903,38,1,0.0025,15381,15381,0,15381.0,0.0,15381.0,1,15381,15381,15381
102201,39,1,0.0025,15418,15418,0,15418.0,0.0,15418.0,1,15418,15418,15418
102302,40,1,0.0025,15422,15422,0,15422.0,0.0,15422.0,1,15422,15422,15422
105001,41,1,0.0025,15421,15421,0,15421.0,0.0,15421.0,1,15421,15421,15421
102401,42,1,0.0025,15325,15325,0,15325.0,0.0,15325.0,1,15325,15325,15325
104701,43,2,0.005,15350,15359,9,15354.5,4.5,30709.0,2,15350,15350,15350
102803,44,1,0.0025,15384,15384,0,15384.0,0.0,15384.0,1,15384,15384,15384
104902,45,1,0.0025,15246,15246,0,15246.0,0.0,15246.0,1,15246,15246,15246
104602,46,2,0.005,15270,15272,2,15271.0,1.0,30542.0,2,15270,15270,15270
