SCODE_BMA,ZONE_CODE,COUNT,AREA,MIN,MAX,RANGE,MEAN,STD,SUM,VARIETY,MAJORITY,MINORITY,MEDIAN
100508,1,1,0.0025,15254,15254,0,15254.0,0.0,15254.0,1,15254,15254,15254
100112,2,1,0.0025,15318,15318,0,15318.0,0.0,15318.0,1,15318,15318,15318
104601,3,2,0.005,15113,15207,94,15160.0,47.0,30320.0,2,15113,15113,15113
104101,4,1,0.0025,15309,15309,0,15309.0,0.0,15309.0,1,15309,15309,15309
100302,5,2,0.005,15043,15044,1,15043.5,0.5,30087.0,2,15043,15043,15043
100502,6,1,0.0025,15270,15270,0,15270.0,0.0,15270.0,1,15270,15270,15270
100306,7,1,0.0025,15112,15112,0,15112.0,0.0,15112.0,1,15112,15112,15112
104603,8,1,0.0025,15225,15225,0,15225.0,0.0,15225.0,1,15225,15225,15225
100301,9,1,0.0025,15092,15092,0,15092.0,0.0,15092.0,1,15092,15092,15092
100305,10,1,0.0025,15135,15135,0,15135.0,0.0,15135.0,1,15135,15135,15135
101002,11,1,0.0025,15141,15141,0,15141.0,0.0,15141.0,1,15141,15141,15141
100303,12,1,0.0025,15120,15120,0,15120.0,0.0,15120.0,1,15120,15120,15120
104802,13,1,0.0025,15314,15314,0,15314.0,0.0,15314.0,1,15314,15314,15314
101104,14,1,0.0025,15089,15089,0,15089.0,0.0,15089.0,1,15089,15089,15089
102601,15,1,0.0025,15297,15297,0,15297.0,0.0,15297.0,1,15297,15297,15297
100307,16,1,0.0025,15098,15098,0,15098.0,0.0,15098.0,1,15098,15098,15098
103201,17,2,0.005,15256,15267,11,15261.5,5.5,30523.0,2,15256,15256,15256
103605,18,1,0.0025,15351,15351,0,15351.0,0.0,15351.0,1,15351,15351,15351
100304,19,2,0.005,15061,15119,58,15090.0,29.0,30180.0,2,15061,15061,15061
104201,20,1,0.0025,15251,15251,0,15251.0,0.0,15251.0,1,15251,15251,15251
101105,21,2,0.005,15070,15084,14,15077.0,7.0,30154.0,2,15070,15070,15070
101106,22,1,0.0025,15051,15051,0,15051.0,0.0,15051.0,1,15051,15051,15051
101101,23,1,0.0025,15192,15192,0,15192.0,0.0,15192.0,1,15192,15192,15192
104002,24,1,0.0025,15324,15324,0,15324.0,0.0,15324.0,1,15324,15324,15324
102705,25,1,0.0025,15279,15279,0,15279.0,0.0,15279.0,1,15279,15279,15279
103801,26,1,0.0025,15313,15313,0,15313.0,0.0,15313.0,1,15313,15313,15313
103005,27,1,0.0025,15366,15366,0,15366.0,0.0,15366.0,1,15366,15366,15366
100601,28,1,0.0025,15259,15259,0,15259.0,0.0,15259.0,1,15259,15259,15259
102303,29,1,0.0025,15335,15335,0,15335.0,0.0,15335.0,1,15335,15335,15335
104501,30,1,0.0025,15292,15292,0,15292.0,0.0,15292.0,1,15292,15292,15292
104401,31,1,0.0025,15192,15192,0,15192.0,0.0,15192.0,1,15192,15192,15192
102105,32,3,0.0075,14985,15284,299,15136.0,122.084670072,45408.0,3,14985,14985,15139
101103,33,1,0.0025,15116,15116,0,15116.0,0.0,15116.0,1,15116,15116,15116
101901,34,1,0.0025,15330,15330,0,15330.0,0.0,15330.0,1,15330,15330,15330
104801,35,1,0.0025,15295,15295,0,15295.0,0.0,15295.0,1,15295,15295,15295
102107,36,1,0.0025,15100,15100,0,15100.0,0.0,15100.0,1,15100,15100,15100
101803,37,1,0.0025,15296,15296,0,15296.0,0.0,15296.0,1,15296,15296,15296
103903,38,1,0.0025,15232,15232,0,15232.0,0.0,15232.0,1,15232,15232,15232
102201,39,1,0.0025,15333,15333,0,15333.0,0.0,15333.0,1,15333,15333,15333
102302,40,1,0.0025,15290,15290,0,15290.0,0.0,15290.0,1,15290,15290,15290
105001,41,1,0.0025,15296,15296,0,15296.0,0.0,15296.0,1,15296,15296,15296
102401,42,1,0.0025,15205,15205,0,15205.0,0.0,15205.0,1,15205,15205,15205
104701,43,2,0.005,15202,15294,92,15248.0,46.0,30496.0,2,15202,15202,15202
102803,44,1,0.0025,15296,15296,0,15296.0,0.0,15296.0,1,15296,15296,15296
104902,45,1,0.0025,15254,15254,0,15254.0,0.0,15254.0,1,15254,15254,15254
104602,46,2,0.005,15107,15112,5,15109.5,2.5,30219.0,2,15107,15107,15107
