,addrcode,temperature
0,104605,33.09
1,104604,33.55
2,103704,35.81
3,100108,35.63
4,102005,35.63
5,100101,35.63
6,103701,35.81
7,100110,35.81
8,103702,35.81
9,100109,35.63
10,102004,35.63
11,101702,35.05
12,100805,35.81
13,104203,35.69
14,104202,34.75
15,104102,36.77
16,100111,35.81
17,100107,35.81
18,101904,35.29
19,101907,35.29
20,103703,35.81
21,103001,37.11
22,103002,37.11
23,104302,35.99
24,103802,36.73
25,102902,36.69
26,103604,35.17
27,101601,35.59
28,100801,34.87
29,102208,34.97
30,103902,34.97
31,101302,34.87
32,104502,34.81
33,104503,34.81
34,101903,35.29
35,101602,35.59
36,103004,37.11
37,102704,36.73
38,100308,32.49
39,102901,36.69
40,101801,35.59
41,100401,34.87
42,100204,35.81
43,103602,35.17
44,100203,35.81
45,100608,34.81
46,102007,35.63
47,100405,34.87
48,100404,34.87
49,101001,34.75
50,103003,37.11
51,102701,34.01
52,102502,36.69
53,101704,35.05
54,101802,34.87
55,101502,35.59
56,102206,35.59
57,103302,34.97
58,100702,34.87
59,100703,34.87
60,100704,34.87
61,103901,34.97
62,100102,35.59
63,102209,35.59
64,100403,34.87
65,102202,34.97
66,100402,34.87
67,100206,35.81
68,101902,35.63
69,102501,35.63
70,101401,35.81
71,103102,34.87
72,103203,34.63
73,101701,35.05
74,102503,35.63
75,101506,35.59
76,104001,34.41
77,104004,34.49
78,103501,34.41
79,100905,34.51
80,103103,34.35
81,102210,35.59
82,102207,34.97
83,100104,35.81
84,103301,34.97
85,102009,35.63
86,100202,35.81
87,102504,35.63
88,100201,35.81
89,101905,35.29
90,101102,34.43
91,102006,35.63
92,100701,34.87
93,104003,34.75
94,100802,34.87
95,100103,35.59
96,103401,34.55
97,101501,35.59
98,101303,34.87
99,102802,34.87
100,101507,35.59
101,101301,34.87
102,102801,34.87
103,100803,35.81
104,100105,35.63
105,100804,35.81
106,100106,35.81
107,103303,34.97
108,101505,35.59
109,103101,34.79
110,103202,34.63
111,103504,34.79
112,101204,34.35
113,102402,34.79
114,103503,34.79
115,101504,35.59
116,101203,34.35
117,101804,34.87
118,101503,35.59
119,103502,35.59
120,104301,35.99
121,104504,34.81
122,104901,33.49
