SCODE_BMA,ZONE_CODE,COUNT,AREA,MIN,MAX,RANGE,MEAN,STD,SUM,VARIETY,MAJORITY,MINORITY,MEDIAN
100508,1,1,0.0025,14963,14963,0,14963.0,0.0,14963.0,1,14963,14963,14963
100112,2,1,0.0025,15116,15116,0,15116.0,0.0,15116.0,1,15116,15116,15116
104601,3,2,0.005,14866,14918,52,14892.0,26.0,29784.0,2,14866,14866,14866
104101,4,1,0.0025,15130,15130,0,15130.0,0.0,15130.0,1,15130,15130,15130
100302,5,2,0.005,14834,14841,7,14837.5,3.5,29675.0,2,14834,14834,14834
100502,6,1,0.0025,15067,15067,0,15067.0,0.0,15067.0,1,15067,15067,15067
100306,7,1,0.0025,14858,14858,0,14858.0,0.0,14858.0,1,14858,14858,14858
104603,8,1,0.0025,14998,14998,0,14998.0,0.0,14998.0,1,14998,14998,14998
100301,9,1,0.0025,14821,14821,0,14821.0,0.0,14821.0,1,14821,14821,14821
100305,10,1,0.0025,14882,14882,0,14882.0,0.0,14882.0,1,14882,14882,14882
101002,11,1,0.0025,14934,14934,0,14934.0,0.0,14934.0,1,14934,14934,14934
100303,12,1,0.0025,14834,14834,0,14834.0,0.0,14834.0,1,14834,14834,14834
104802,13,1,0.0025,15086,15086,0,15086.0,0.0,15086.0,1,15086,15086,15086
101104,14,1,0.0025,14862,14862,0,14862.0,0.0,14862.0,1,14862,14862,14862
102601,15,1,0.0025,15099,15099,0,15099.0,0.0,15099.0,1,15099,15099,15099
100307,16,1,0.0025,14806,14806,0,14806.0,0.0,14806.0,1,14806,14806,14806
103201,17,2,0.005,15024,15026,2,15025.0,1.0,30050.0,2,15024,15024,15024
103605,18,1,0.0025,15138,15138,0,15138.0,0.0,15138.0,1,15138,15138,15138
100304,19,2,0.005,14807,14846,39,14826.5,19.5,29653.0,2,14807,14807,14807
104201,20,1,0.0025,15058,15058,0,15058.0,0.0,15058.0,1,15058,15058,15058
101105,21,2,0.005,14841,14844,3,14842.5,1.5,29685.0,2,14841,14841,14841
101106,22,1,0.0025,14817,14817,0,14817.0,0.0,14817.0,1,14817,14817,14817
101101,23,1,0.0025,14930,14930,0,14930.0,0.0,14930.0,1,14930,14930,14930
104002,24,1,0.0025,15060,15060,0,15060.0,0.0,15060.0,1,15060,15060,15060
102705,25,1,0.0025,15089,15089,0,15089.0,0.0,15089.0,1,15089,15089,15089
103801,26,1,0.0025,15120,15120,0,15120.0,0.0,15120.0,1,15120,15120,15120
103005,27,1,0.0025,15110,15110,0,15110.0,0.0,15110.0,1,15110,15110,15110
100601,28,1,0.0025,15027,15027,0,15027.0,0.0,15027.0,1,15027,15027,15027
102303,29,1,0.0025,15046,15046,0,15046.0,0.0,15046.0,1,15046,15046,15046
104501,30,1,0.0025,15090,15090,0,15090.0,0.0,15090.0,1,15090,15090,15090
104401,31,1,0.0025,14968,14968,0,14968.0,0.0,14968.0,1,14968,14968,14968
102105,32,3,0.0075,14790,15085,295,14967.3333333,127.609647841,44902.0,3,14790,14790,15027
101103,33,1,0.0025,14942,14942,0,14942.0,0.0,14942.0,1,14942,14942,14942
101901,34,1,0.0025,15098,15098,0,15098.0,0.0,15098.0,1,15098,15098,15098
104801,35,1,0.0025,14994,14994,0,14994.0,0.0,14994.0,1,14994,14994,14994
102107,36,1,0.0025,14972,14972,0,14972.0,0.0,14972.0,1,14972,14972,14972
101803,37,1,0.0025,15080,15080,0,15080.0,0.0,15080.0,1,15080,15080,15080
103903,38,1,0.0025,15063,15063,0,15063.0,0.0,15063.0,1,15063,15063,15063
102201,39,1,0.0025,15109,15109,0,15109.0,0.0,15109.0,1,15109,15109,15109
102302,40,1,0.0025,15069,15069,0,15069.0,0.0,15069.0,1,15069,15069,15069
105001,41,1,0.0025,15069,15069,0,15069.0,0.0,15069.0,1,15069,15069,15069
102401,42,1,0.0025,14995,14995,0,14995.0,0.0,14995.0,1,14995,14995,14995
104701,43,2,0.005,15000,15032,32,15016.0,16.0,30032.0,2,15000,15000,15000
102803,44,1,0.0025,15095,15095,0,15095.0,0.0,15095.0,1,15095,15095,15095
104902,45,1,0.0025,15046,15046,0,15046.0,0.0,15046.0,1,15046,15046,15046
104602,46,2,0.005,14825,14834,9,14829.5,4.5,29659.0,2,14825,14825,14825
