,addrcode,temperature
0,100508,39.61
1,100112,40.49
2,104601,32.17
3,104101,38.17
4,100302,32.33
5,100502,39.61
6,100306,32.33
7,104802,39.11
8,102601,40.39
9,104002,40.81
10,102705,40.25
11,103801,40.25
12,103005,40.65
13,100601,40.39
14,102303,40.81
15,104501,40.39
16,102105,33.52
17,101901,39.67
18,101803,37.97
19,103903,38.27
20,102201,37.59
21,102302,36.89
22,105001,37.51
23,102401,34.33
24,104701,38.79
25,102803,38.27
26,104902,36.95
27,104602,32.33
28,104603,
29,100301,
30,100305,
31,101002,
32,100303,
33,101104,
34,100307,
35,103201,
36,103605,
37,100304,
38,104201,
39,101105,
40,101106,
41,101101,
42,104401,
43,101103,
44,104801,
45,102107,
