,addrcode,temperature
0,102105,28.23
1,102107,27.51
2,100508,
3,100112,
4,104601,
5,104101,
6,100302,
7,100502,
8,100306,
9,104603,
10,100301,
11,100305,
12,101002,
13,100303,
14,104802,
15,101104,
16,102601,
17,100307,
18,103201,
19,103605,
20,100304,
21,104201,
22,101105,
23,101106,
24,101101,
25,104002,
26,102705,
27,103801,
28,103005,
29,100601,
30,102303,
31,104501,
32,104401,
33,101103,
34,101901,
35,104801,
36,101803,
37,103903,
38,102201,
39,102302,
40,105001,
41,102401,
42,104701,
43,102803,
44,104902,
45,104602,
