TB_IDN,ZONE_CODE,COUNT,AREA,MIN,MAX,RANGE,MEAN,STD,SUM,VARIETY,MAJORITY,MINORITY,MEDIAN
801304,1,2,0.005,15271,15382,111,15326.5,55.5,30653.0,2,15271,15271,15271
800603,2,1,0.0025,15316,15316,0,15316.0,0.0,15316.0,1,15316,15316,15316
801904,3,2,0.005,15262,15280,18,15271.0,9.0,30542.0,2,15262,15262,15262
800905,4,4,0.01,15111,15421,310,15229.0,124.737724847,60916.0,4,15111,15111,15126
800909,5,1,0.0025,15314,15314,0,15314.0,0.0,15314.0,1,15314,15314,15314
801701,6,3,0.0075,15111,15233,122,15158.0,53.5972636117,45474.0,3,15111,15111,15130
801903,7,1,0.0025,15286,15286,0,15286.0,0.0,15286.0,1,15286,15286,15286
800611,8,2,0.005,15286,15308,22,15297.0,11.0,30594.0,2,15286,15286,15286
801204,9,1,0.0025,15261,15261,0,15261.0,0.0,15261.0,1,15261,15261,15261
801101,10,2,0.005,15253,15267,14,15260.0,7.0,30520.0,2,15253,15253,15253
801302,11,4,0.01,15081,15402,321,15296.0,126.315082235,61184.0,4,15081,15081,15336
802003,12,1,0.0025,15288,15288,0,15288.0,0.0,15288.0,1,15288,15288,15288
801215,13,1,0.0025,15197,15197,0,15197.0,0.0,15197.0,1,15197,15197,15197
801206,14,2,0.005,15214,15278,64,15246.0,32.0,30492.0,2,15214,15214,15214
801207,15,1,0.0025,15199,15199,0,15199.0,0.0,15199.0,1,15199,15199,15199
801217,16,1,0.0025,15135,15135,0,15135.0,0.0,15135.0,1,15135,15135,15135
802001,17,1,0.0025,15328,15328,0,15328.0,0.0,15328.0,1,15328,15328,15328
800305,18,2,0.005,15177,15286,109,15231.5,54.5,30463.0,2,15177,15177,15177
801105,19,4,0.01,15191,15280,89,15247.0,33.6526373409,60988.0,4,15191,15191,15254
801212,20,1,0.0025,15155,15155,0,15155.0,0.0,15155.0,1,15155,15155,15155
801003,21,2,0.005,15268,15276,8,15272.0,4.0,30544.0,2,15268,15268,15268
800302,22,3,0.0075,15007,15208,201,15123.6666667,85.1834621405,45371.0,3,15007,15007,15156
801208,23,1,0.0025,15213,15213,0,15213.0,0.0,15213.0,1,15213,15213,15213
800911,24,4,0.01,15106,15195,89,15164.75,35.2588641337,60659.0,4,15106,15106,15169
801107,25,3,0.0075,15138,15214,76,15173.6666667,31.2018517973,45521.0,3,15138,15138,15169
801213,26,1,0.0025,15144,15144,0,15144.0,0.0,15144.0,1,15144,15144,15144
800912,27,1,0.0025,15237,15237,0,15237.0,0.0,15237.0,1,15237,15237,15237
801218,28,1,0.0025,15232,15232,0,15232.0,0.0,15232.0,1,15232,15232,15232
802301,29,1,0.0025,15225,15225,0,15225.0,0.0,15225.0,1,15225,15225,15225
801301,30,5,0.0125,15142,15317,175,15230.0,73.4057218478,76150.0,5,15142,15142,15218
800906,31,3,0.0075,15142,15373,231,15239.0,97.8672570373,45717.0,3,15142,15142,15202
801216,32,1,0.0025,15145,15145,0,15145.0,0.0,15145.0,1,15145,15145,15145
801001,33,2,0.005,15232,15270,38,15251.0,19.0,30502.0,2,15232,15232,15232
801303,34,2,0.005,15303,15386,83,15344.5,41.5,30689.0,2,15303,15303,15303
802304,35,1,0.0025,15329,15329,0,15329.0,0.0,15329.0,1,15329,15329,15329
801203,36,1,0.0025,15185,15185,0,15185.0,0.0,15185.0,1,15185,15185,15185
801104,37,4,0.01,15217,15336,119,15261.0,45.5686295603,61044.0,4,15217,15217,15234
801214,38,3,0.0075,14907,15115,208,15043.0,96.2219656142,45129.0,3,14907,14907,15107
800407,39,1,0.0025,15263,15263,0,15263.0,0.0,15263.0,1,15263,15263,15263
800112,40,1,0.0025,15253,15253,0,15253.0,0.0,15253.0,1,15253,15253,15253
800304,41,4,0.01,14881,15171,290,15061.75,112.119077324,60247.0,4,14881,14881,15058
800106,42,2,0.005,15257,15392,135,15324.5,67.5,30649.0,2,15257,15257,15257
800405,43,1,0.0025,15259,15259,0,15259.0,0.0,15259.0,1,15259,15259,15259
800115,44,1,0.0025,15367,15367,0,15367.0,0.0,15367.0,1,15367,15367,15367
801801,45,1,0.0025,15297,15297,0,15297.0,0.0,15297.0,1,15297,15297,15297
800303,46,1,0.0025,15192,15192,0,15192.0,0.0,15192.0,1,15192,15192,15192
801106,47,2,0.005,15351,15366,15,15358.5,7.5,30717.0,2,15351,15351,15351
801103,48,2,0.005,15274,15276,2,15275.0,1.0,30550.0,2,15274,15274,15274
800122,49,2,0.005,15205,15243,38,15224.0,19.0,30448.0,2,15205,15205,15205
802202,50,2,0.005,15236,15271,35,15253.5,17.5,30507.0,2,15236,15236,15236
801210,51,1,0.0025,15159,15159,0,15159.0,0.0,15159.0,1,15159,15159,15159
801002,52,1,0.0025,15228,15228,0,15228.0,0.0,15228.0,1,15228,15228,15228
802004,53,2,0.005,15205,15264,59,15234.5,29.5,30469.0,2,15205,15205,15205
802201,54,7,0.0175,15006,15266,260,15104.2857143,79.4637640433,105730.0,7,15006,15006,15097
801102,55,3,0.0075,15273,15346,73,15300.6666667,32.3144274628,45902.0,3,15273,15273,15283
800301,56,2,0.005,15024,15131,107,15077.5,53.5,30155.0,2,15024,15024,15024
800101,57,1,0.0025,15290,15290,0,15290.0,0.0,15290.0,1,15290,15290,15290
800119,58,1,0.0025,15193,15193,0,15193.0,0.0,15193.0,1,15193,15193,15193
800416,59,2,0.005,15232,15282,50,15257.0,25.0,30514.0,2,15232,15232,15232
800113,60,1,0.0025,15450,15450,0,15450.0,0.0,15450.0,1,15450,15450,15450
801202,61,3,0.0075,15200,15319,119,15242.3333333,54.309810859,45727.0,3,15200,15200,15208
810602,62,4,0.01,15182,15213,31,15200.25,11.3219918742,60801.0,4,15182,15182,15202
810601,63,8,0.02,15075,15219,144,15169.625,42.3170695465,121357.0,8,15075,15075,15173
800807,64,2,0.005,15139,15171,32,15155.0,16.0,30310.0,2,15139,15139,15139
800204,65,3,0.0075,14984,15151,167,15076.3333333,69.312496869,45229.0,3,14984,14984,15094
800501,66,2,0.005,14950,15074,124,15012.0,62.0,30024.0,2,14950,14950,14950
800120,67,3,0.0075,15156,15224,68,15200.3333333,31.3723161754,45601.0,3,15156,15156,15221
810301,68,2,0.005,14993,15012,19,15002.5,9.5,30005.0,2,14993,14993,14993
810603,69,3,0.0075,15192,15194,2,15193.3333333,0.942809034558,45580.0,2,15194,15192,15194
800201,70,2,0.005,15112,15185,73,15148.5,36.5,30297.0,2,15112,15112,15112
800205,71,1,0.0025,15261,15261,0,15261.0,0.0,15261.0,1,15261,15261,15261
800403,72,5,0.0125,14865,15259,394,15038.8,136.891782076,75194.0,5,14865,14865,15058
801209,73,1,0.0025,14996,14996,0,14996.0,0.0,14996.0,1,14996,14996,14996
