,addrcode,temperature
0,801304,34.21
1,800603,34.93
2,801904,33.41
3,800905,32.37
4,800909,31.51
5,801701,31.86
6,801903,32.33
7,800611,34.44
8,801204,34.79
9,801101,31.41
10,801302,30.82
11,802003,32.73
12,801215,33.91
13,801206,34.84
14,801207,33.89
15,801217,32.79
16,802001,34.53
17,800305,33.65
18,801105,31.41
19,801212,33.23
20,801003,32.39
21,800302,30.59
22,801208,33.87
23,800911,30.63
24,801107,32.04
25,801213,32.91
26,800912,32.05
27,801218,33.45
28,802301,35.13
29,801301,33.2
30,800906,30.88
31,801216,32.41
32,801001,31.61
33,801303,32.56
34,802304,34.73
35,801203,32.69
36,801104,31.78
37,801214,31.2
38,800407,31.63
39,800112,32.77
40,800304,30.54
41,800106,33.37
42,800405,31.23
43,800115,34.61
44,801801,30.77
45,800303,33.55
46,801106,30.66
47,801103,31.0
48,800122,33.73
49,802202,32.13
50,801210,33.25
51,801002,31.37
52,802004,33.91
53,802201,29.49
54,801102,30.24
55,800301,30.8
56,800101,33.79
57,800119,33.13
58,800416,32.15
59,800113,34.09
60,801202,32.72
61,810602,29.07
62,810601,29.43
63,800807,32.7
64,800204,30.2
65,800501,27.96
66,800120,33.6
67,810301,25.9
68,810603,28.78
69,800201,31.47
70,800205,33.85
71,800403,29.54
72,801209,29.49
73,800116,33.38
74,801803,29.9
75,800410,31.85
76,800406,30.87
77,800505,30.3
78,800504,30.57
79,800121,32.42
80,801802,29.42
81,800203,34.47
82,800404,31.97
83,800202,33.33
84,800806,33.45
85,802101,31.54
86,802103,33.71
87,800803,33.86
88,800503,28.45
89,800502,27.94
90,800801,35.23
91,802104,30.23
92,801403,32.05
93,801408,29.53
94,802102,29.11
95,801404,29.75
96,800802,31.89
97,801407,30.6
98,800811,32.45
99,801405,32.4
100,800813,34.28
101,800804,35.35
102,800409,29.06
103,801604,33.92
104,800704,33.13
105,801605,35.03
106,801602,33.73
107,801704,32.12
108,801702,30.9
109,801902,32.55
110,801703,32.42
111,801603,34.63
112,800910,29.02
113,801905,32.31
114,800701,34.05
115,800908,31.74
116,801503,27.38
117,801501,28.1
118,801502,30.09
119,801406,32.02
120,801409,30.55
121,801402,33.03
122,801610,35.07
123,800710,32.2
124,800702,32.81
125,800705,29.13
126,801609,34.72
127,800708,32.29
128,800707,33.33
129,800711,32.67
130,810304,28.4
131,810405,29.32
132,810803,30.17
133,810403,29.85
134,810302,29.79
135,810305,29.66
136,810303,29.61
137,810404,29.1
138,810106,27.78
139,810801,29.05
140,810115,28.45
141,810406,31.38
142,810805,32.49
143,810701,31.86
144,810702,31.96
145,810703,31.29
146,810117,27.68
147,810704,31.27
148,810402,31.51
149,810401,29.7
150,810806,29.95
151,810116,28.57
152,810118,30.21
153,810804,30.69
154,810807,30.56
155,810204,30.1
156,810203,30.63
157,810201,30.97
158,810111,29.48
159,810506,28.5
160,810508,29.31
161,810509,29.31
162,810501,28.94
163,810202,29.56
164,810502,27.25
165,810505,28.35
166,810504,29.23
167,810105,29.35
168,810407,30.95
169,810103,31.18
170,810206,31.62
171,810808,30.71
172,810507,29.24
173,810503,30.23
174,810205,29.83
175,810604,29.56
176,802303,33.74
177,800904,32.99
178,800607,34.21
179,801611,33.25
180,801608,34.61
181,800606,34.05
182,800913,32.21
183,800601,33.79
184,800903,33.39
185,801305,33.81
186,801306,35.77
187,800902,32.05
188,800605,33.09
189,800612,33.6
190,801906,31.65
191,800613,34.32
192,801606,34.01
193,800706,32.98
194,800907,32.86
195,801601,33.12
196,801201,
197,810102,
