,addrcode,temperature
0,801304,28.06
1,800905,28.5
2,800909,29.49
3,801701,28.81
4,800611,27.84
5,801204,29.91
6,801101,29.09
7,801302,28.54
8,801215,29.29
9,801206,29.91
10,801207,29.31
11,801217,29.97
12,800305,28.87
13,801105,28.7
14,801212,29.13
15,801003,28.7
16,800302,28.87
17,801208,29.47
18,800911,28.86
19,801107,27.02
20,801213,30.33
21,800912,28.75
22,801218,30.35
23,802301,28.43
24,801301,28.25
25,800906,29.96
26,801216,29.97
27,801001,27.75
28,801303,28.55
29,802304,28.03
30,801203,29.57
31,801104,27.91
32,801214,27.73
33,800407,28.89
34,800112,27.99
35,800304,26.53
36,800106,29.4
37,800405,30.29
38,801801,28.21
39,800303,27.99
40,801106,28.19
41,801103,28.99
42,802202,29.43
43,801210,28.67
44,801002,26.93
45,802201,29.32
46,801102,29.12
47,800301,28.51
48,800119,28.73
49,800416,29.15
50,801202,27.45
51,810602,27.29
52,810601,26.9
53,800807,28.15
54,800204,27.5
55,800501,28.51
56,800120,27.84
57,810301,24.17
58,810603,26.92
59,800403,27.15
60,801209,27.71
61,800116,27.77
62,801803,27.78
63,800410,29.29
64,800406,28.81
65,800505,28.64
66,800504,28.51
67,800121,28.71
68,801802,27.86
69,800203,26.85
70,800404,28.71
71,800202,29.13
72,800806,29.81
73,802101,27.34
74,802103,29.53
75,800803,29.69
76,800503,27.54
77,800502,27.66
78,800801,30.41
79,802104,28.04
80,801403,28.95
81,801408,27.02
82,802102,26.99
83,801404,29.73
84,800802,29.01
85,801407,28.51
86,800811,28.08
87,801405,28.96
88,800813,29.85
89,800804,29.75
90,800409,28.21
91,801604,28.6
92,800704,27.66
93,801605,29.15
94,801602,30.07
95,801704,28.95
96,801702,28.94
97,801902,28.09
98,801703,28.39
99,801603,29.75
100,800910,28.12
101,801905,27.03
102,800701,27.73
103,800908,29.45
104,801503,28.14
105,801501,28.87
106,801502,28.57
107,801406,28.61
108,801409,29.94
109,801402,30.14
110,801610,29.63
111,800710,27.53
112,800702,27.43
113,800705,27.05
114,801609,29.38
115,800708,26.25
116,800707,27.95
117,800711,27.91
118,810304,26.11
119,810405,25.55
120,810803,25.93
121,810403,27.7
122,810302,25.67
123,810305,24.68
124,810303,27.0
125,810404,28.1
126,810106,27.66
127,810801,25.49
128,810115,27.4
129,810406,27.52
130,810805,27.23
131,810701,27.51
132,810702,27.93
133,810703,27.5
134,810117,27.47
135,810704,27.5
136,810402,27.25
137,810401,27.1
138,810806,26.83
139,810116,27.83
140,810118,25.52
141,810804,25.61
142,810807,25.48
143,810204,27.43
144,810203,28.2
145,810201,27.53
146,810111,28.31
147,810506,28.2
148,810508,28.05
149,810509,28.13
150,810501,28.25
151,810202,27.9
152,810502,27.86
153,810505,26.86
154,810504,28.05
155,810105,27.23
156,810407,27.25
157,810103,27.84
158,810206,27.74
159,810808,26.96
160,810507,27.44
161,810503,27.58
162,810205,26.64
163,810604,27.54
164,802303,28.16
165,800904,29.65
166,801611,29.79
167,801608,30.29
168,800606,29.69
169,800913,26.72
170,800903,28.11
171,801305,28.64
172,801306,29.35
173,800902,30.29
174,800605,29.95
175,800612,29.16
176,800613,28.72
177,801606,30.25
178,800706,28.25
179,800907,30.23
180,801601,29.67
181,800603,
182,801904,
183,801903,
184,802003,
185,802001,
186,800115,
187,800122,
188,802004,
189,800101,
190,800113,
191,800201,
192,800205,
193,800607,
194,800601,
195,801906,
196,801201,
197,810102,
