,addrcode,temperature
0,801304,33.36
1,801904,31.94
2,800905,26.28
3,800909,25.93
4,801903,33.01
5,802001,29.61
6,800305,29.61
7,800302,28.45
8,800911,28.02
9,801107,25.11
10,801301,29.7
11,800906,28.97
12,801104,24.73
13,801214,29.64
14,800112,30.19
15,800304,24.43
16,800115,29.63
17,800303,30.63
18,800113,30.19
19,801202,29.45
20,810602,25.4
21,810601,25.4
22,800807,31.97
23,800204,30.77
24,800120,31.75
25,810301,26.85
26,810603,24.76
27,800201,28.5
28,800205,29.03
29,801209,22.29
30,800116,30.48
31,800504,29.37
32,800121,30.36
33,800203,31.25
34,800202,31.47
35,800806,29.45
36,802101,27.8
37,802103,30.79
38,800803,32.04
39,800503,24.15
40,802104,27.68
41,801403,27.19
42,801408,26.25
43,802102,23.01
44,801404,31.03
45,800802,30.43
46,801407,29.71
47,800811,29.99
48,801405,30.05
49,800813,32.32
50,800804,33.21
51,801604,29.95
52,800704,28.82
53,801605,30.49
54,801602,29.21
55,801704,26.44
56,801902,32.73
57,800910,28.91
58,801905,30.17
59,800701,28.05
60,800908,26.97
61,801406,27.65
62,801402,29.89
63,801610,28.95
64,800710,29.82
65,800705,29.45
66,801609,29.57
67,800707,29.96
68,800711,26.87
69,810304,25.46
70,810405,24.11
71,810803,20.44
72,810403,28.7
73,810302,27.19
74,810305,26.59
75,810303,25.29
76,810404,29.73
77,810406,22.23
78,810402,23.35
79,810401,24.96
80,810806,24.69
81,810807,13.95
82,810509,26.81
83,810501,26.81
84,810502,25.94
85,810505,25.91
86,810504,25.91
87,810105,25.41
88,810407,20.85
89,810503,26.37
90,802303,33.39
91,800904,28.21
92,800607,32.51
93,800913,25.66
94,800903,26.47
95,801305,34.27
96,800902,27.73
97,801906,28.19
98,800613,31.64
99,800706,31.3
100,800603,
101,801701,
102,800611,
103,801204,
104,801101,
105,801302,
106,802003,
107,801215,
108,801206,
109,801207,
110,801217,
111,801105,
112,801212,
113,801003,
114,801208,
115,801213,
116,800912,
117,801218,
118,802301,
119,801216,
120,801001,
121,801303,
122,802304,
123,801203,
124,800407,
125,800106,
126,800405,
127,801801,
128,801106,
129,801103,
130,800122,
131,802202,
132,801210,
133,801002,
134,802004,
135,802201,
136,801102,
137,800301,
138,800101,
139,800119,
140,800416,
141,800501,
142,800403,
143,801803,
144,800410,
145,800406,
146,800505,
147,801802,
148,800404,
149,800502,
150,800801,
151,800409,
152,801702,
153,801703,
154,801603,
155,801503,
156,801501,
157,801502,
158,801409,
159,800702,
160,800708,
161,810106,
162,810801,
163,810115,
164,810805,
165,810701,
166,810702,
167,810703,
168,810117,
169,810704,
170,810116,
171,810118,
172,810804,
173,810204,
174,810203,
175,810201,
176,810111,
177,810506,
178,810508,
179,810202,
180,810103,
181,810206,
182,810808,
183,810507,
184,810205,
185,810604,
186,801611,
187,801608,
188,800606,
189,800601,
190,801306,
191,800605,
192,800612,
193,801606,
194,800907,
195,801601,
196,801201,
197,810102,
