TB_IDN,ZONE_CODE,COUNT,AREA,MIN,MAX,RANGE,MEAN,STD,SUM,VARIETY,MAJORITY,MINORITY,MEDIAN
801101,10,1,0.0025,15169,15169,0,15169.0,0.0,15169.0,1,15169,15169,15169
801302,11,1,0.0025,14896,14896,0,14896.0,0.0,14896.0,1,14896,14896,14896
802001,17,1,0.0025,14818,14818,0,14818.0,0.0,14818.0,1,14818,14818,14818
800305,18,2,0.005,14818,14818,0,14818.0,0.0,29636.0,1,14818,14818,14818
800302,22,1,0.0025,14900,14900,0,14900.0,0.0,14900.0,1,14900,14900,14900
801107,25,2,0.005,14983,15000,17,14991.5,8.5,29983.0,2,14983,14983,14983
801303,34,1,0.0025,14896,14896,0,14896.0,0.0,14896.0,1,14896,14896,14896
801104,37,4,0.01,14980,15000,20,14985.75,8.31790237981,59943.0,3,14980,14983,14980
800112,40,1,0.0025,14774,14774,0,14774.0,0.0,14774.0,1,14774,14774,14774
800304,41,3,0.0075,14412,14610,198,14523.3333333,82.6935440177,43570.0,3,14412,14412,14548
800115,44,1,0.0025,14567,14567,0,14567.0,0.0,14567.0,1,14567,14567,14567
800303,46,1,0.0025,14845,14845,0,14845.0,0.0,14845.0,1,14845,14845,14845
800101,57,1,0.0025,14674,14674,0,14674.0,0.0,14674.0,1,14674,14674,14674
800113,60,1,0.0025,14674,14674,0,14674.0,0.0,14674.0,1,14674,14674,14674
810602,62,4,0.01,14659,15061,402,14931.0,161.499226004,59724.0,4,14659,14659,14961
810601,63,8,0.02,14794,15109,315,14951.5,91.3961158912,119612.0,8,14794,14794,14915
800807,64,2,0.005,14732,14800,68,14766.0,34.0,29532.0,2,14732,14732,14732
800204,65,3,0.0075,14618,14732,114,14684.3333333,48.3758433747,44053.0,3,14618,14618,14703
800501,66,2,0.005,14737,14952,215,14844.5,107.5,29689.0,2,14737,14737,14737
800120,67,1,0.0025,14730,14730,0,14730.0,0.0,14730.0,1,14730,14730,14730
810301,68,2,0.005,15119,15156,37,15137.5,18.5,30275.0,2,15119,15119,15119
810603,69,3,0.0075,14909,14954,45,14939.0,21.2132034356,44817.0,2,14954,14909,14954
800201,70,2,0.005,14437,14499,62,14468.0,31.0,28936.0,2,14437,14437,14437
800205,71,1,0.0025,14364,14364,0,14364.0,0.0,14364.0,1,14364,14364,14364
800116,74,3,0.0075,14364,14580,216,14505.0,99.7697348899,43515.0,3,14364,14364,14571
800406,77,1,0.0025,15069,15069,0,15069.0,0.0,15069.0,1,15069,15069,15069
800505,78,2,0.005,14947,15068,121,15007.5,60.5,30015.0,2,14947,14947,14947
800504,79,1,0.0025,14475,14475,0,14475.0,0.0,14475.0,1,14475,14475,14475
800121,80,1,0.0025,14567,14567,0,14567.0,0.0,14567.0,1,14567,14567,14567
800203,82,1,0.0025,14730,14730,0,14730.0,0.0,14730.0,1,14730,14730,14730
800202,84,1,0.0025,14730,14730,0,14730.0,0.0,14730.0,1,14730,14730,14730
800806,85,1,0.0025,14851,14851,0,14851.0,0.0,14851.0,1,14851,14851,14851
802101,86,3,0.0075,14938,14939,1,14938.6666667,0.471404548889,44816.0,2,14939,14938,14939
802103,87,2,0.005,14693,14752,59,14722.5,29.5,29445.0,2,14693,14693,14693
800803,88,3,0.0075,14693,14724,31,14713.6666667,14.6135401454,44141.0,2,14724,14693,14724
800503,89,6,0.015,14801,15045,244,14879.1666667,84.090064151,89275.0,6,14801,14801,14844
800502,90,1,0.0025,14960,14960,0,14960.0,0.0,14960.0,1,14960,14960,14960
802104,92,5,0.0125,14737,14938,201,14837.2,63.9512314189,74186.0,5,14737,14737,14835
802102,95,10,0.025,14669,14939,270,14851.9,85.9830797309,148519.0,9,14935,14669,14833
800813,101,1,0.0025,14800,14800,0,14800.0,0.0,14800.0,1,14800,14800,14800
800804,102,1,0.0025,14752,14752,0,14752.0,0.0,14752.0,1,14752,14752,14752
800409,103,2,0.005,14801,15026,225,14913.5,112.5,29827.0,2,14801,14801,14801
801702,109,2,0.005,15065,15065,0,15065.0,0.0,30130.0,1,15065,15065,15065
801503,117,2,0.005,14216,14216,0,14216.0,0.0,28432.0,1,14216,14216,14216
801406,120,4,0.01,14653,14694,41,14673.5,20.5,58694.0,2,14653,14653,14653
810305,136,1,0.0025,15129,15129,0,15129.0,0.0,15129.0,1,15129,15129,15129
810106,139,4,0.01,15190,15253,63,15226.25,23.1665167861,60905.0,4,15190,15190,15225
810115,141,2,0.005,15134,15182,48,15158.0,24.0,30316.0,2,15134,15134,15134
810406,142,3,0.0075,15012,15096,84,15045.6666667,36.2613966763,45137.0,3,15012,15012,15029
810805,143,2,0.005,14955,15019,64,14987.0,32.0,29974.0,2,14955,14955,14955
810701,144,2,0.005,15057,15065,8,15061.0,4.0,30122.0,2,15057,15057,15057
810702,145,2,0.005,15053,15053,0,15053.0,0.0,30106.0,1,15053,15053,15053
810703,146,3,0.0075,14742,15190,448,14996.3333333,187.85869394,44989.0,3,14742,14742,15057
810117,147,3,0.0075,15182,15225,43,15201.0,17.9071680248,45603.0,3,15182,15182,15196
810704,148,2,0.005,14742,15057,315,14899.5,157.5,29799.0,2,14742,14742,14742
810402,149,1,0.0025,14871,14871,0,14871.0,0.0,14871.0,1,14871,14871,14871
810116,152,1,0.0025,15134,15134,0,15134.0,0.0,15134.0,1,15134,15134,15134
810204,156,5,0.0125,14785,15131,346,14969.0,117.699617671,74845.0,5,14785,14785,14966
810203,157,4,0.01,15089,15193,104,15144.25,39.9210157686,60577.0,4,15089,15089,15126
810201,158,3,0.0075,15100,15116,16,15110.3333333,7.31816613246,45331.0,3,15100,15100,15115
810111,159,5,0.0125,15029,15225,196,15135.2,74.2169791893,75676.0,5,15029,15029,15130
810506,160,2,0.005,14832,15091,259,14961.5,129.5,29923.0,2,14832,14832,14832
810508,161,1,0.0025,15091,15091,0,15091.0,0.0,15091.0,1,15091,15091,15091
810509,162,1,0.0025,14808,14808,0,14808.0,0.0,14808.0,1,14808,14808,14808
810501,163,3,0.0075,14806,14808,2,14806.6666667,0.942809055631,44420.0,2,14806,14808,14806
810202,164,3,0.0075,15143,15165,22,15157.3333333,10.1434160358,45472.0,3,15143,15143,15164
