,addrcode,temperature
0,104605,31.99
1,104604,32.43
2,103704,33.91
3,100108,33.41
4,102002,33.41
5,100101,33.41
6,103701,33.91
7,100110,33.91
8,103702,33.91
9,100109,33.41
10,102001,33.41
11,101702,33.51
12,100805,33.91
13,104203,33.43
14,104202,32.51
15,104102,33.25
16,100111,33.91
17,100107,33.91
18,101904,33.29
19,101906,33.29
20,103703,33.91
21,103001,33.31
22,103002,33.31
23,104302,33.75
24,103802,35.13
25,102902,33.03
26,103602,35.63
27,101601,34.33
28,100801,33.69
29,102205,34.47
30,103902,33.91
31,101302,33.69
32,104502,34.21
33,104503,34.21
34,101903,33.29
35,101602,34.33
36,103004,33.31
37,102702,35.13
38,100308,33.11
39,102901,33.03
40,101801,34.33
41,100401,33.69
42,100204,33.91
43,103601,35.63
44,100203,33.91
45,100602,34.21
46,102004,33.41
47,100405,33.69
48,100404,33.69
49,101001,33.11
50,103003,33.31
51,102701,32.91
52,102502,33.03
53,101703,33.51
54,101802,33.69
55,101502,34.33
56,102203,34.33
57,103302,33.91
58,100702,33.69
59,100703,33.69
60,100704,33.69
61,103901,33.91
62,100102,34.33
63,102206,34.33
64,100403,33.69
65,102202,34.47
66,100402,33.69
67,100206,33.91
68,101902,33.41
69,102501,33.41
70,101401,33.91
71,103102,33.69
72,103203,34.93
73,101701,33.51
74,102503,33.41
75,101506,34.33
76,104001,32.61
77,104004,33.67
78,103501,32.61
79,100901,30.85
80,103103,30.19
81,102207,34.33
82,102204,34.47
83,100104,33.91
84,103301,33.91
85,102005,33.41
86,100202,33.91
87,102504,33.41
88,100201,33.91
89,101905,33.29
90,101102,32.83
91,102003,33.41
92,100701,33.69
93,104003,34.29
94,100802,33.69
95,100103,34.33
96,103401,33.39
97,101501,34.33
98,101303,33.69
99,102802,33.69
100,101507,34.33
101,101301,33.69
102,102801,33.69
103,100803,33.91
104,100105,33.41
105,100804,33.91
106,100106,33.91
107,103303,33.91
108,101505,34.33
109,103101,32.11
110,103202,34.93
111,103504,32.11
112,101202,30.19
113,102402,32.11
114,103503,32.11
115,101504,34.33
116,101201,30.19
117,101804,33.69
118,101503,34.33
119,103502,34.33
120,104301,33.75
121,104504,34.21
122,104901,30.59
