TB_IDN,ZONE_CODE,COUNT,AREA,MIN,MAX,RANGE,MEAN,STD,SUM,VARIETY,MAJORITY,MINORITY,MEDIAN
800603,2,1,0.0025,15052,15052,0,15052.0,0.0,15052.0,1,15052,15052,15052
800905,4,4,0.01,15020,15160,140,15058.5,58.6706911498,60234.0,3,15027,15020,15027
801701,6,3,0.0075,15010,15035,25,15020.0,10.8012344973,45060.0,3,15010,15010,15015
800611,8,2,0.005,14986,15002,16,14994.0,8.0,29988.0,2,14986,14986,14986
801101,10,2,0.005,15114,15114,0,15114.0,0.0,30228.0,1,15114,15114,15114
801215,13,1,0.0025,15090,15090,0,15090.0,0.0,15090.0,1,15090,15090,15090
801217,16,1,0.0025,14985,14985,0,14985.0,0.0,14985.0,1,14985,14985,14985
801105,19,3,0.0075,14973,15011,38,14992.0,15.5134350376,44976.0,3,14973,14973,14992
801212,20,1,0.0025,14949,14949,0,14949.0,0.0,14949.0,1,14949,14949,14949
801003,21,1,0.0025,15012,15012,0,15012.0,0.0,15012.0,1,15012,15012,15012
801208,23,1,0.0025,15060,15060,0,15060.0,0.0,15060.0,1,15060,15060,15060
801107,25,1,0.0025,14941,14941,0,14941.0,0.0,14941.0,1,14941,14941,14941
801213,26,1,0.0025,14952,14952,0,14952.0,0.0,14952.0,1,14952,14952,14952
800912,27,1,0.0025,15167,15167,0,15167.0,0.0,15167.0,1,15167,15167,15167
801218,28,1,0.0025,15183,15183,0,15183.0,0.0,15183.0,1,15183,15183,15183
801216,32,1,0.0025,14985,14985,0,14985.0,0.0,14985.0,1,14985,14985,14985
801104,37,3,0.0075,14941,15051,110,15014.3333333,51.8544972869,45043.0,2,15051,14941,15051
801214,38,2,0.005,14896,14929,33,14912.5,16.5,29825.0,2,14896,14896,14896
800106,42,1,0.0025,14993,14993,0,14993.0,0.0,14993.0,1,14993,14993,14993
800405,43,1,0.0025,15231,15231,0,15231.0,0.0,15231.0,1,15231,15231,15231
800115,44,1,0.0025,15021,15021,0,15021.0,0.0,15021.0,1,15021,15021,15021
801801,45,1,0.0025,15015,15015,0,15015.0,0.0,15015.0,1,15015,15015,15015
801106,47,2,0.005,14946,14995,49,14970.5,24.5,29941.0,2,14946,14946,14946
801103,48,1,0.0025,15014,15014,0,15014.0,0.0,15014.0,1,15014,15014,15014
802202,50,2,0.005,14981,14999,18,14990.0,9.0,29980.0,2,14981,14981,14981
802201,54,6,0.015,14933,15031,98,14975.0,35.0,89850.0,4,14947,14933,14947
801102,55,3,0.0075,15015,15136,121,15095.6666667,57.0399470159,45287.0,2,15136,15015,15136
800301,56,2,0.005,14867,14887,20,14877.0,10.0,29754.0,2,14867,14867,14867
800416,59,1,0.0025,15068,15068,0,15068.0,0.0,15068.0,1,15068,15068,15068
810602,62,4,0.01,15099,15114,15,15108.25,5.97390157267,60433.0,4,15099,15099,15107
810601,63,8,0.02,15076,15142,66,15100.5,22.0283907719,120804.0,8,15076,15076,15090
800204,65,1,0.0025,14838,14838,0,14838.0,0.0,14838.0,1,14838,14838,14838
800501,66,2,0.005,14954,14954,0,14954.0,0.0,29908.0,1,14954,14954,14954
800120,67,3,0.0075,14842,14894,52,14875.6666667,23.8374122389,44627.0,3,14842,14842,14891
810301,68,2,0.005,14879,14904,25,14891.5,12.5,29783.0,2,14879,14879,14879
810603,69,3,0.0075,15129,15136,7,15131.3333333,3.29983164353,45394.0,2,15129,15136,15129
800205,71,1,0.0025,14940,14940,0,14940.0,0.0,14940.0,1,14940,14940,14940
800403,72,5,0.0125,14996,15103,107,15043.8,41.8014353819,75219.0,3,14996,15103,15062
801209,73,1,0.0025,14902,14902,0,14902.0,0.0,14902.0,1,14902,14902,14902
800116,74,1,0.0025,14931,14931,0,14931.0,0.0,14931.0,1,14931,14931,14931
801803,75,3,0.0075,14973,15171,198,15096.3333333,87.8534132644,45289.0,3,14973,14973,15145
800410,76,1,0.0025,15163,15163,0,15163.0,0.0,15163.0,1,15163,15163,15163
800406,77,2,0.005,14999,15221,222,15110.0,111.0,30220.0,2,14999,14999,14999
800505,78,2,0.005,15095,15111,16,15103.0,8.0,30206.0,2,15095,15095,15095
800504,79,2,0.005,14954,15093,139,15023.5,69.5,30047.0,2,14954,14954,14954
800121,80,3,0.0075,14791,14993,202,14891.6666667,82.4675020169,44675.0,3,14791,14791,14891
801802,81,2,0.005,15156,15182,26,15169.0,13.0,30338.0,2,15156,15156,15156
800203,82,1,0.0025,14894,14894,0,14894.0,0.0,14894.0,1,14894,14894,14894
800404,83,1,0.0025,15201,15201,0,15201.0,0.0,15201.0,1,15201,15201,15201
800806,85,1,0.0025,15036,15036,0,15036.0,0.0,15036.0,1,15036,15036,15036
