addrcode,SMAPE without CD,SMAPE with CD,% improve SMAPE,RMSE without CD,RMSE with CD,% improvve RMSE,MAE without CD,MAE with CD,% improve MAE
801402,128.70,125.81,0.02,0.22,0.29,-0.32,0.18,0.22,-0.18
801403,178.26,168.47,0.05,0.32,0.32,-0.02,0.23,0.29,-0.28
801404,135.24,145.40,-0.08,0.23,0.31,-0.31,0.18,0.23,-0.27
801405,173.78,191.11,-0.10,0.25,0.29,-0.16,0.21,0.21,0.00
801406,85.74,87.88,-0.02,0.17,0.20,-0.23,0.13,0.16,-0.21
801407,191.35,192.01,0.00,0.11,0.12,-0.06,0.10,0.11,-0.04
801408,190.09,182.48,0.04,0.40,0.42,-0.06,0.24,0.32,-0.30
801409,143.39,141.11,0.02,0.16,0.19,-0.19,0.13,0.14,-0.03
801501,89.61,93.82,-0.05,0.51,0.53,-0.04,0.40,0.42,-0.04
801502,106.55,145.03,-0.36,0.37,0.72,-0.93,0.32,0.54,-0.69
801601,107.43,110.28,-0.03,0.31,0.33,-0.04,0.23,0.25,-0.08
801602,110.71,121.21,-0.09,0.35,0.34,0.01,0.27,0.28,-0.04
801603,130.57,136.78,-0.05,0.58,0.57,0.02,0.41,0.44,-0.08
801604,157.68,157.03,0.00,1.21,1.11,0.08,0.80,0.78,0.03
801605,169.27,152.96,0.10,0.24,0.31,-0.26,0.20,0.26,-0.25
801606,191.02,199.87,-0.05,0.27,0.30,-0.12,0.19,0.14,0.26
801607,200.00,200.00,0.00,0.10,0.01,0.88,0.10,0.01,0.88
801608,191.07,194.06,-0.02,0.40,0.43,-0.07,0.26,0.29,-0.11
801609,190.85,196.58,-0.03,0.45,0.39,0.12,0.24,0.22,0.09
801610,194.26,200.00,-0.03,0.45,0.48,-0.08,0.27,0.21,0.21
801611,173.92,166.11,0.04,0.30,0.32,-0.07,0.22,0.25,-0.12
801701,96.36,118.39,-0.23,0.39,0.49,-0.26,0.29,0.38,-0.30
801702,122.38,132.51,-0.08,0.22,0.36,-0.62,0.19,0.24,-0.28
801703,146.82,144.24,0.02,0.20,0.24,-0.17,0.17,0.18,-0.03
801704,150.42,149.41,0.01,0.27,0.30,-0.09,0.20,0.23,-0.13
801801,187.31,189.42,-0.01,0.23,0.24,-0.01,0.17,0.16,0.05
801802,200.00,200.00,0.00,0.10,0.09,0.07,0.10,0.09,0.07
801803,178.48,176.63,0.01,0.20,0.20,0.00,0.16,0.17,-0.03
801901,197.85,193.74,0.02,0.47,0.63,-0.33,0.27,0.50,-0.82
801902,189.56,180.49,0.05,0.44,0.41,0.09,0.32,0.33,-0.01
801903,191.67,187.29,0.02,0.41,0.48,-0.19,0.31,0.39,-0.25
801904,170.02,137.80,0.19,0.26,0.22,0.16,0.19,0.15,0.21
801905,159.51,145.05,0.09,0.21,0.22,-0.02,0.19,0.19,0.00
801906,162.94,150.69,0.08,0.45,0.50,-0.11,0.29,0.41,-0.45
802001,93.57,94.55,-0.01,0.84,0.84,0.01,0.68,0.67,0.01
802002,75.14,71.37,0.05,0.54,0.53,0.02,0.38,0.38,0.00
802003,96.15,100.20,-0.04,0.97,0.85,0.13,0.68,0.60,0.12
802004,76.61,85.92,-0.12,0.48,0.51,-0.05,0.40,0.42,-0.05
802101,159.54,155.04,0.03,0.94,0.80,0.15,0.62,0.57,0.07
802102,112.66,108.73,0.03,0.28,0.47,-0.70,0.23,0.32,-0.36
802103,162.00,142.41,0.12,0.50,0.48,0.04,0.34,0.33,0.05
802104,131.17,131.69,0.00,1.17,1.15,0.02,0.74,0.67,0.09
802201,86.45,92.69,-0.07,0.40,0.42,-0.03,0.30,0.33,-0.09
802202,128.48,121.94,0.05,0.40,0.39,0.03,0.31,0.31,0.02
802203,168.69,139.71,0.17,0.37,0.38,-0.04,0.31,0.33,-0.08
802301,140.51,125.04,0.11,0.24,0.24,0.01,0.22,0.22,0.00
802302,106.86,111.42,-0.04,0.43,0.53,-0.21,0.34,0.39,-0.16
802303,130.78,123.91,0.05,0.26,0.37,-0.44,0.21,0.29,-0.43
802304,143.69,136.76,0.05,0.19,0.21,-0.08,0.17,0.18,-0.05
,144.85,141.60,2%,0.45,0.46,-5%,0.33,0.34,-4%
