addrcode,SMAPE without CD,SMAPE with CD,% improve SMAPE,RMSE without CD,RMSE with CD,% improvve RMSE,MAE without CD,MAE with CD,% improve MAE
101801,137.89,135.21,0.02,0.42,0.53,-0.26,0.30,0.35,-0.16
101802,70.56,78.36,-0.11,0.38,0.39,-0.02,0.26,0.27,-0.03
101803,112.31,114.80,-0.02,0.23,0.24,-0.05,0.18,0.19,-0.04
101804,108.29,125.55,-0.16,0.24,0.30,-0.25,0.21,0.24,-0.15
101901,135.77,142.28,-0.05,0.18,0.20,-0.09,0.14,0.16,-0.15
101902,62.90,74.99,-0.19,0.41,0.39,0.05,0.25,0.29,-0.16
101904,75.64,74.47,0.02,0.66,0.69,-0.04,0.47,0.48,-0.02
101905,135.37,133.88,0.01,0.52,0.53,-0.03,0.36,0.37,-0.05
101907,110.85,112.81,-0.02,0.53,0.62,-0.17,0.41,0.46,-0.11
102004,95.88,113.21,-0.18,0.59,0.72,-0.20,0.42,0.48,-0.13
102005,97.11,85.25,0.12,0.25,0.25,-0.03,0.19,0.19,0.04
102006,132.19,118.39,0.10,1.52,1.26,0.17,0.91,0.80,0.13
102007,107.75,87.30,0.19,0.15,0.14,0.08,0.11,0.10,0.15
102009,93.48,84.33,0.10,1.05,1.09,-0.04,0.73,0.73,0.01
102105,86.79,64.67,0.25,0.55,0.34,0.38,0.32,0.24,0.24
102107,98.42,75.34,0.23,0.23,0.19,0.16,0.18,0.15,0.14
102201,115.23,85.23,0.26,0.34,0.24,0.28,0.27,0.20,0.25
102202,123.55,125.54,-0.02,0.31,0.32,-0.04,0.22,0.21,0.02
102206,156.78,134.25,0.14,0.50,0.59,-0.19,0.37,0.46,-0.24
102207,117.53,117.61,0.00,1.12,1.08,0.04,0.72,0.71,0.01
102208,172.82,163.32,0.05,0.50,0.47,0.07,0.37,0.34,0.08
102209,103.43,98.13,0.05,0.24,0.23,0.05,0.19,0.19,0.01
102210,166.78,168.01,-0.01,0.31,0.33,-0.07,0.23,0.24,-0.04
102302,97.01,100.05,-0.03,0.36,0.38,-0.05,0.25,0.28,-0.12
102303,83.79,75.07,0.10,0.33,0.38,-0.16,0.23,0.24,-0.06
102401,54.11,65.81,-0.22,0.24,0.33,-0.34,0.18,0.26,-0.41
102402,91.08,95.02,-0.04,0.23,0.26,-0.14,0.18,0.20,-0.09
102501,98.16,99.24,-0.01,0.41,0.63,-0.53,0.30,0.41,-0.38
102502,105.84,125.96,-0.19,0.41,0.45,-0.11,0.32,0.37,-0.14
102503,116.53,114.87,0.01,0.69,0.63,0.09,0.44,0.46,-0.05
102504,71.91,75.06,-0.04,1.00,0.72,0.28,0.58,0.46,0.20
102601,88.12,72.50,0.18,0.59,0.89,-0.50,0.46,0.60,-0.30
102701,77.61,60.48,0.22,0.67,0.37,0.44,0.38,0.26,0.33
102801,106.11,107.11,-0.01,0.17,0.28,-0.61,0.14,0.16,-0.17
102802,120.52,125.48,-0.04,0.24,0.27,-0.16,0.18,0.19,-0.10
102803,103.21,105.08,-0.02,0.18,0.23,-0.23,0.14,0.17,-0.15
102902,110.19,146.81,-0.33,0.31,0.34,-0.11,0.22,0.24,-0.10
103001,70.34,73.69,-0.05,0.39,0.38,0.03,0.28,0.29,-0.02
103002,94.63,85.95,0.09,0.50,0.58,-0.17,0.40,0.44,-0.11
103003,91.89,70.84,0.23,0.90,0.65,0.28,0.56,0.43,0.24
103004,67.98,86.20,-0.27,1.07,1.02,0.04,0.74,0.69,0.07
103005,111.09,102.66,0.08,0.83,0.64,0.23,0.46,0.40,0.13
103101,107.65,119.48,-0.11,0.19,0.22,-0.13,0.15,0.17,-0.15
103102,132.65,130.81,0.01,0.24,0.24,-0.02,0.17,0.20,-0.16
103103,72.72,74.63,-0.03,0.19,0.21,-0.11,0.15,0.16,-0.10
103201,68.61,54.64,0.20,0.22,0.20,0.11,0.16,0.14,0.13
103203,106.09,115.99,-0.09,0.12,0.15,-0.24,0.10,0.12,-0.25
103301,87.71,80.96,0.08,0.52,0.52,0.00,0.38,0.36,0.05
103302,86.49,86.85,0.00,0.25,0.28,-0.11,0.21,0.22,-0.03
103303,84.61,85.76,-0.01,0.47,0.62,-0.32,0.30,0.37,-0.23
103401,82.13,67.30,0.18,0.43,0.51,-0.18,0.31,0.32,-0.03
103501,112.97,107.52,0.05,0.18,0.24,-0.31,0.15,0.17,-0.14
103502,101.64,94.97,0.07,0.14,0.16,-0.16,0.11,0.13,-0.16
103503,86.50,84.69,0.02,0.32,0.33,-0.03,0.25,0.26,-0.04
103504,70.15,74.10,-0.06,0.85,0.84,0.01,0.53,0.57,-0.07
103602,72.34,75.86,-0.05,0.14,0.15,-0.07,0.10,0.12,-0.15
103604,116.99,93.05,0.20,0.13,0.14,-0.06,0.11,0.10,0.07
103605,125.08,170.62,-0.36,0.10,0.14,-0.39,0.08,0.11,-0.48
103701,120.85,104.56,0.13,0.49,0.49,0.00,0.33,0.32,0.03
103702,156.77,146.54,0.07,0.47,0.48,-0.02,0.40,0.42,-0.04
