addrcode,SMAPE without CD,SMAPE with CD,% improve SMAPE,RMSE without CD,RMSE with CD,% improvve RMSE,MAE without CD,MAE with CD,% improve MAE,
102209,103.43,117.24,-0.13,0.24,0.36,-0.52,0.19,0.27,-0.47,
102210,166.78,161.51,0.03,0.31,0.36,-0.15,0.23,0.24,-0.05,
102302,97.01,73.15,0.25,0.36,0.30,0.17,0.25,0.22,0.13,
102303,83.79,83.94,0.00,0.33,0.27,0.20,0.23,0.22,0.06,
102401,54.11,78.66,-0.45,0.24,0.35,-0.43,0.18,0.27,-0.50,
102402,91.08,99.51,-0.09,0.23,0.28,-0.24,0.18,0.22,-0.23,
102501,98.16,100.47,-0.02,0.41,0.34,0.18,0.30,0.28,0.08,
102502,105.84,90.44,0.15,0.41,0.33,0.20,0.32,0.26,0.19,
102503,116.53,108.09,0.07,0.69,0.56,0.20,0.44,0.39,0.12,
102504,71.91,65.88,0.08,1.00,0.40,0.61,0.58,0.31,0.46,
102601,88.12,51.90,0.41,0.59,0.39,0.34,0.46,0.29,0.37,
102701,77.61,73.11,0.06,0.67,0.48,0.29,0.38,0.36,0.07,
102801,106.11,115.23,-0.09,0.17,0.25,-0.44,0.14,0.18,-0.26,
102802,120.52,128.90,-0.07,0.24,0.26,-0.11,0.18,0.20,-0.16,
102803,103.21,118.06,-0.14,0.18,0.26,-0.39,0.14,0.20,-0.41,
102902,110.19,103.07,0.06,0.31,0.23,0.26,0.22,0.17,0.22,
103001,70.34,75.96,-0.08,0.39,0.43,-0.10,0.28,0.32,-0.14,
103002,94.63,78.74,0.17,0.50,0.39,0.21,0.40,0.31,0.21,
103003,91.89,71.35,0.22,0.90,0.53,0.41,0.56,0.39,0.31,
103004,67.98,80.70,-0.19,1.07,1.12,-0.05,0.74,0.77,-0.04,
103005,111.09,90.96,0.18,0.83,0.36,0.57,0.46,0.27,0.42,
103101,107.65,94.56,0.12,0.19,0.25,-0.30,0.15,0.17,-0.16,
103102,132.65,139.28,-0.05,0.24,0.29,-0.21,0.17,0.20,-0.19,
103103,72.72,83.51,-0.15,0.19,0.21,-0.12,0.15,0.17,-0.15,
103201,68.61,57.84,0.16,0.22,0.18,0.18,0.16,0.14,0.16,
103203,106.09,106.07,0.00,0.12,0.16,-0.32,0.10,0.13,-0.28,
103301,87.71,76.85,0.12,0.52,0.39,0.26,0.38,0.28,0.26,
103302,86.49,99.86,-0.15,0.25,0.28,-0.14,0.21,0.23,-0.10,
103303,84.61,94.94,-0.12,0.47,0.48,-0.02,0.30,0.35,-0.15,
103401,82.13,73.46,0.11,0.43,0.36,0.15,0.31,0.27,0.14,
103501,112.97,101.68,0.10,0.18,0.33,-0.85,0.15,0.20,-0.34,
103502,101.64,88.71,0.13,0.14,0.17,-0.18,0.11,0.13,-0.13,
103503,86.50,72.44,0.16,0.32,0.34,-0.08,0.25,0.24,0.06,
103504,70.15,73.82,-0.05,0.85,0.60,0.29,0.53,0.47,0.11,
103602,72.34,70.99,0.02,0.14,0.17,-0.24,0.10,0.13,-0.27,
103604,116.99,81.46,0.30,0.13,0.16,-0.24,0.11,0.12,-0.10,
103605,125.08,135.17,-0.08,0.10,0.18,-0.82,0.08,0.13,-0.78,
103701,120.85,100.69,0.17,0.49,0.42,0.14,0.33,0.28,0.14,
103702,156.77,153.05,0.02,0.47,0.44,0.05,0.40,0.35,0.12,
103703,114.09,113.36,0.01,0.51,0.46,0.09,0.36,0.36,0.01,
103704,80.61,95.13,-0.18,0.31,0.34,-0.09,0.24,0.26,-0.06,
