"","addrcode","date","NumberCases","normalized_cases","hi","ci","bi","bin","bowl","bucket","cup","jar","pottedplant","tire","vase","total"
"52",801105,"2016-06-01",1,0.62235499128703,17.5,2.43,17.5,6,0,920,95,264,58,9,19,1371
"53",801105,"2016-06-01",1,0.62235499128703,15,2.26,15,6,0,920,95,264,58,9,19,1371
"54",801107,"2016-01-01",1,0.944911650760654,15,1.95,15,4,0,664,21,163,26,6,19,903
"55",801107,"2016-01-01",1,0.944911650760654,10,1.12,10,4,0,664,21,163,26,6,19,903
"56",801107,"2016-01-01",1,0.944911650760654,15,2.14,15,4,0,664,21,163,26,6,19,903
"57",801107,"2016-01-01",1,0.944911650760654,10,1.4,10,4,0,664,21,163,26,6,19,903
"58",801604,"2016-03-01",2,3.2478077297824,7.5,1.46,12.5,0,0,1,0,2,0,0,0,3
"59",801701,"2016-01-01",6,4.29399556287125,7.5,0.79,7.5,1,0,125,57,188,21,3,38,433
"60",801701,"2016-01-01",6,4.29399556287125,5,0.47,5,1,0,125,57,188,21,3,38,433
"61",801701,"2016-02-01",1,0.715665927145209,7.5,0.65,7.5,1,0,125,57,188,21,3,38,433
"62",801701,"2016-02-01",1,0.715665927145209,5,0.45,5,1,0,125,57,188,21,3,38,433
"63",801701,"2016-03-01",2,1.43133185429042,10,4.3,27.5,1,0,125,57,188,21,3,38,433
"64",801701,"2016-03-01",2,1.43133185429042,5,0.44,5,1,0,125,57,188,21,3,38,433
"65",801701,"2016-07-01",5,3.57832963572604,5,0.48,5,1,0,125,57,188,21,3,38,433
"66",801701,"2016-07-01",5,3.57832963572604,7.5,0.74,7.5,1,0,125,57,188,21,3,38,433
"67",801701,"2016-07-01",5,3.57832963572604,5,0.48,5,1,0,125,57,188,21,3,38,433
"68",801701,"2016-08-01",12,8.5879911257425,2.5,0.23,2.5,1,0,125,57,188,21,3,38,433
"69",801701,"2016-08-01",12,8.5879911257425,5,0.61,5,1,0,125,57,188,21,3,38,433
"70",801701,"2016-08-01",12,8.5879911257425,5,0.56,5,1,0,125,57,188,21,3,38,433
"71",801701,"2016-09-01",10,7.15665927145209,7.5,0.68,7.5,1,0,125,57,188,21,3,38,433
