addrcode,SMAPE without ST,SMAPE with ST,% improve SMAPE,RMSE without ST,RMSE with ST,% improvve RMSE,MAE without ST,MAE with ST,% improve MAE
100101,193.259985671519,190.77704382185087,0.012847676879622358,0.38277078564273176,0.3909610326690417,-0.02139726262691976,0.2552741036653628,0.2756171262671765,-0.07969089817461954
100102,143.57001937242862,151.63695464777618,-0.05618816038759096,0.10765524740931828,0.15447532702073305,-0.43490754736180354,0.10715305981090702,0.12971803608180338,-0.21058639212652228
100103,181.07633726736057,164.33139830068288,0.09247447358046383,0.6023000492392853,0.7589806302924305,-0.26013708823539916,0.4106611192772254,0.5049106345954041,-0.22950679013406577
100104,163.35593080597218,160.55201624740266,0.017164449094290293,0.6691298853228025,0.6273843836183607,0.06238774058687109,0.529051434872012,0.4343272448212005,0.17904533247079685
100105,185.7467098566968,179.89649007718603,0.03149568454819045,0.6739004981865676,0.599106963946669,0.11098602010410186,0.4298021948708583,0.3848706875840018,0.10453996704311151
100106,196.73105924812546,193.9199582402729,0.01428905541705582,0.3086844664274331,0.4820394884861839,-0.5615929562801758,0.19517316165458026,0.3219021228305401,-0.6493155109115167
100107,174.1329064874154,177.60492513873928,-0.019938900242125124,0.21177984252726978,0.29273340593316566,-0.3822533931456291,0.18131119095918172,0.22406191926152125,-0.2357864844203904
100108,195.0407481150117,194.09857975163573,0.004830623203005721,0.4450107834519855,0.5334165880344911,-0.1986599153771835,0.2870285607769534,0.36181939278269987,-0.2605693029407815
100109,197.16315848815916,196.12882001105163,0.005246104216623428,0.3890725115499655,0.3822320685672234,0.01758140906817481,0.22056937318106312,0.2497432472976145,-0.13226620584627966
100110,173.31158835477078,158.40633941444122,0.0860026099917701,0.43830406381696674,0.526957967130465,-0.2022657571126689,0.3190012779839668,0.33674189541202,-0.05561299797972852
100111,139.65786035906063,117.22296675728028,0.1606418252728504,0.5257444904081524,0.44080373639509607,0.16156280391471928,0.3981337481493221,0.32322339999797295,0.18815372597666263
100112,165.314640690885,162.33244205289225,0.01803953131755004,0.5331602108721437,0.6653729152485215,-0.24797931593601888,0.43670668606858043,0.5178377855802231,-0.18577938488192008
100201,72.90220266744866,85.06785353241612,-0.16687631401841727,0.2979789911802768,0.3617475691875079,-0.214003603927403,0.22493759125015908,0.27429070919092585,-0.21940804854569576
100202,132.9339730948542,121.1756721567574,0.08845218919099584,0.5008940011385633,0.2392587345689129,0.5223365941195884,0.33029106012307574,0.17644176744736267,0.46579914278752954
100203,140.24242585825112,134.34049845754677,0.042083751508047045,0.21385842558092263,0.216428639606038,-0.012018296768685493,0.18211593760096537,0.1522623674064909,0.163926181243328
100204,115.3996282408476,108.94834444284423,0.055903852519689795,1.3697918803330573,1.3248254115480778,0.03282722684415841,0.882079251472457,0.8846449120470208,-0.0029086508613380166
100301,86.89849503044317,108.52499714672874,-0.24887084763331224,0.3977970326007657,0.4099124727553373,-0.03045633617566681,0.2947151890936527,0.3112368791542031,-0.05605985260332231
100302,130.9214882523492,121.60392029565601,0.07116912648238251,0.5353658961792531,0.4193925554241616,0.21662444616431248,0.4087185766614122,0.32804571273135685,0.1973799786371976
100303,135.87272294302363,135.1810864495991,0.005090326288040666,0.3382131115876007,0.39034094961174737,-0.15412719447644777,0.26213038777863,0.2779789260711132,-0.060460515191650785
100304,160.5856458771042,156.8745600153345,0.023109698513214486,0.3151511888751504,0.35817229009806484,-0.13650940482397342,0.2263697810184855,0.24529326165614745,-0.08359543642495568
100305,95.80827558429105,118.43739739787769,-0.2361917243117249,0.3330932120531573,0.425921387223258,-0.2786852803091243,0.2292502353446894,0.3155690503070132,-0.3765266143894642
100306,132.01874212312632,134.44281632125708,-0.018361591385789546,0.2359756061548237,0.28685925852319627,-0.2156309849035318,0.18062396464212327,0.22506991101916587,-0.24606893368277544
100307,89.15712157592785,89.9355381366505,-0.008730839970643658,0.22707452247073498,0.20024835513930117,0.11813816468508097,0.19237112965027744,0.16593053404944635,0.13744575731763375
100401,91.70833900224378,95.5333185210646,-0.04170808849484496,0.5829473405587279,0.5529843053504342,0.05139921417185901,0.3731123648013731,0.3570408341044416,0.04307423771787144
100402,122.65560536158877,105.7958070916653,0.13745640258527755,0.6375750838018793,0.48037472884034477,0.24655975265555255,0.3930672596261061,0.3195351191017268,0.18707266688740398
100403,176.23745901181314,157.68374397360176,0.10527679610364633,0.7495620396606976,0.8936444985557113,-0.19222219278905206,0.5433329956616488,0.6820310046042842,-0.2552725677440859
100404,179.99412054624239,180.15045549886568,-0.0008685558847636515,0.8089801784314234,0.8032262181100706,0.007112609770624497,0.5849449120868152,0.57173091562546,0.02259015539465718
100405,132.71123897490565,110.39469303182807,0.16815867379022373,1.3785891354531359,1.0355073693593715,0.2488644058412625,0.8335508431578309,0.7345560724127442,0.11876272642236682
100502,88.30786113946257,78.95947264413005,0.10586133980268,0.27862136854138164,0.13370081264060496,0.5201343911971082,0.1841848357366156,0.10674336922053335,0.42045517051590275
100508,104.2314337470821,89.31998303197015,0.14306097670396267,0.28365059149749045,0.177527520859937,0.3741330842191893,0.18392800983265076,0.14046663824813838,0.23629555728926913
100601,70.60270423042209,78.47092287465374,-0.1114435874658934,0.4022492641805227,0.529407524647589,-0.3161180685466706,0.2710411543210552,0.3612888026375137,-0.33296658783248034
100608,59.37554606680761,69.91292606239743,-0.17747003090689012,0.3116248738419316,0.4343850174088894,-0.3939356382354336,0.23324526019912206,0.3222241175852756,-0.3814819529888498
