,addrcode,bin,bowl,bucket,misc_short,jar,pottedplant,tire,misc_tall,total
0,8101,0.129,0.023,1.502,0.028,0.104,1.118,0.341,0.009,3.253
1,8102,0.361,0.005,2.06,0.031,0.188,1.318,0.375,0.003,4.341
2,8103,0.209,0.04,4.033,0.094,0.111,1.627,0.432,0.009,6.555
3,8104,0.306,0.026,2.819,0.043,0.132,1.349,0.556,0.007,5.239
4,8105,0.845,0.026,3.744,0.065,0.241,2.068,0.75,0.01,7.749
5,8106,0.49,0.021,2.86,0.041,0.261,1.744,0.368,0.014,5.8
6,8107,0.779,0.051,4.364,0.047,0.261,2.928,0.771,0.016,9.215
7,8108,0.901,0.072,9.07,0.144,0.218,3.55,1.072,0.012,15.038
