,addrcode,actual,predicted,residual
0,1001,0.359009411,0.412261425,0.053252014000000014
1,1002,0.615015448,0.613052056,0.0019633919999999527
2,1003,0.376307571,0.423010868,0.04670329699999998
3,1004,0.434694032,0.535628683,0.10093465099999999
4,1005,0.339410754,0.275693988,0.06371676599999998
5,1006,0.662098593,0.556345243,0.10575334999999997
6,1007,0.4849498,0.46868659,0.016263209999999972
7,1008,0.44777308200000004,0.406383228,0.04138985400000006
8,1010,0.414235879,0.503900539,0.08966466000000001
9,1011,0.31016375,0.37800855,0.06784479999999998
10,1012,0.482884205,0.39695131200000006,0.08593289299999995
11,1013,0.35124792899999996,0.382304209,0.031056280000000047
12,1014,0.574437774,0.46479106,0.10964671399999998
13,1015,0.49852954,0.45634090899999996,0.04218863100000003
14,1016,0.446636364,0.416635033,0.03000133100000002
15,1017,0.617641879,0.641593909,0.023952030000000013
16,1018,0.438339794,0.448785062,0.010445268000000008
17,1019,0.406080395,0.36850971,0.03757068499999999
18,1020,0.486276485,0.40776527,0.07851121499999997
19,1021,0.38741350399999996,0.376405041,0.011008462999999968
20,1022,0.390767906,0.36764297,0.023124935999999985
21,1023,0.286054606,0.333665096,0.047610490000000005
22,1024,0.512136809,0.369876427,0.14226038200000002
23,1025,0.637722184,0.588365147,0.04935703700000005
24,1026,0.608270972,0.639992472,0.03172149999999996
25,1027,0.603133739,0.546647123,0.056486616000000045
26,1028,0.341629015,0.35566751399999996,0.014038498999999982
27,1029,0.174368749,0.190514148,0.016145399000000005
28,1030,0.648181401,0.650568244,0.0023868430000000274
29,1031,0.469987896,0.353498491,0.11648940499999999
30,1032,0.486914671,0.37527673,0.11163794100000002
31,1033,0.494487761,0.455296239,0.039191522000000034
32,1034,0.6373124720000001,0.496910085,0.14040238700000007
33,1035,0.452429628,0.365248771,0.08718085699999994
34,1036,0.300304721,0.313301351,0.012996630000000009
35,1037,0.556088392,0.547604223,0.008484169000000041
36,1038,0.628774985,0.570528755,0.058246229999999954
37,1039,0.815873126,0.755157947,0.0607151789999999
38,1040,0.460788992,0.40697324100000004,0.05381575099999997
39,1041,0.404227657,0.383395197,0.020832459999999997
40,1042,0.238162808,0.293323178,0.055160370000000014
41,1043,0.327067592,0.325410302,0.0016572900000000335
42,1044,0.578623284,0.525985453,0.05263783099999997
43,1045,0.640511046,0.624689036,0.015822009999999942
44,1046,0.293761762,0.337639814,0.043878052
45,1047,0.424434527,0.365800067,0.05863446
46,1048,0.31018626,0.37645924799999997,0.06627298799999998
47,1049,0.322618048,0.25615587100000003,0.06646217699999996
48,1050,0.517933173,0.43825274,0.079680433
