,addrcode,actual,predicted,residual
0,8001,0.38830327,0.37148509399999996,0.016818176000000018
1,8002,0.717246653,0.7771898190000001,0.05994316600000005
2,8003,0.45284678799999994,0.467588624,0.014741836000000064
3,8004,0.375217675,0.39510952,0.01989184500000002
4,8005,0.569602504,0.560579953,0.009022551000000045
5,8006,0.311031186,0.286606285,0.024424901
6,8007,0.18607579800000001,0.16739211199999998,0.018683686000000033
7,8008,0.317699022,0.329060487,0.011361465000000015
8,8009,0.280296123,0.29356193199999997,0.013265808999999962
9,8010,0.570779274,0.6442067770000001,0.07342750300000012
10,8011,0.198907972,0.18731477800000002,0.011593193999999973
11,8012,0.181160087,0.170040771,0.01111931599999999
12,8013,0.25970525899999997,0.273766318,0.014061059000000042
13,8014,0.365005559,0.341449034,0.023556524999999995
14,8015,0.425977341,0.47270677899999997,0.046729437999999957
15,8016,0.296251873,0.292252681,0.003999191999999985
16,8017,0.355616245,0.35614287200000005,0.0005266270000000572
17,8018,0.149353543,0.134035337,0.015318206000000001
18,8019,0.316147967,0.36735864700000004,0.051210680000000064
19,8020,0.428766993,0.461975149,0.03320815599999999
20,8021,0.7384218440000001,0.832846835,0.0944249909999999
21,8022,0.401886576,0.40096457,0.0009220059999999752
22,8023,0.329287857,0.32106348,0.008224377000000005
