,addrcode,actual,predicted,residual
0,100101,0.338055745,0.365213925,0.027158179999999976
1,100102,0.206250637,0.256794727,0.050544090000000014
2,100103,0.39622375600000004,0.481402774,0.08517901799999994
3,100104,0.437616435,0.380988896,0.056627539000000005
4,100105,0.317275335,0.568839122,0.251563787
5,100106,0.301070473,0.405010662,0.10394018900000002
6,100107,0.38888485899999997,0.43429576299999995,0.045410903999999974
7,100108,0.490960691,0.44148302700000003,0.04947766399999998
8,100109,0.656122411,0.711173051,0.05505063999999993
9,100110,0.360260728,0.45676296200000005,0.09650223400000008
10,100111,0.38279871299999996,0.311712938,0.07108577499999996
11,100112,0.322835145,0.392701088,0.06986594299999999
12,100201,0.652138112,0.517782094,0.13435601800000008
13,100202,0.36196813899999997,0.281336632,0.08063150699999999
14,100203,0.5722011810000001,0.5815004029999999,0.009299221999999885
15,100204,0.567737185,0.6243396729999999,0.056602487999999895
16,100301,0.40437639,0.37855047799999997,0.025825912000000006
17,100302,0.533467624,0.5139441379999999,0.01952348600000009
18,100303,0.272993962,0.32093869199999997,0.04794472999999999
19,100304,0.299703911,0.327131005,0.027427093999999985
20,100305,0.357018376,0.300131093,0.05688728300000001
21,100306,0.298619958,0.282312149,0.016307809000000006
22,100307,0.324538725,0.342227124,0.01768839900000002
23,100401,0.380613918,0.44877848,0.06816456199999998
24,100402,0.221300661,0.22996149999999999,0.008660838999999976
25,100403,0.284191927,0.348625319,0.06443339199999998
26,100404,0.6647642579999999,0.768260043,0.103495785
27,100405,0.43678138299999997,0.462007056,0.02522567300000006
28,100502,0.4017126,0.359275688,0.04243691199999999
29,100508,0.261496252,0.264583494,0.00308724199999999
30,100601,0.557432503,0.505147869,0.05228463400000005
31,100608,0.7581018740000001,0.6977688740000001,0.06033299999999997
32,100701,0.35765094799999997,0.377716235,0.020065287000000043
33,100702,0.522871909,0.551575357,0.02870344800000002
34,100703,0.8420996079999999,0.671018955,0.17108065299999997
35,100704,0.330843221,0.303677538,0.027165682999999996
36,100801,0.462020968,0.441991477,0.020029490999999955
37,100802,0.38697017200000006,0.398463391,0.011493218999999943
38,100803,0.426580966,0.43215786700000003,0.005576901000000023
39,100804,0.33911051600000003,0.35006283899999996,0.01095232299999993
40,100805,0.392153301,0.390393359,0.0017599420000000143
41,101001,0.39829602399999997,0.31061243,0.08768359399999998
42,101002,0.428906246,0.444221576,0.015315330000000016
43,101102,0.327768143,0.323033695,0.004734448000000002
44,101103,0.31058171100000004,0.299736975,0.010844736000000021
45,101104,0.38641259,0.386902067,0.0004894770000000159
46,101105,0.20401591800000002,0.199600315,0.004415603000000018
47,101106,0.280417759,0.310624655,0.03020689600000004
48,101203,0.42982428100000003,0.365048906,0.06477537500000002
49,101204,0.530257752,0.505113391,0.02514436100000006
50,101301,0.264033565,0.257235295,0.006798270000000051
51,101302,0.385160271,0.46565626200000004,0.08049599100000004
52,101303,0.33200297100000004,0.37557809,0.04357511899999994
53,101401,0.546952977,0.43834488,0.10860809700000001
54,101501,0.38795910200000006,0.38201532200000005,0.00594378000000001
55,101502,0.252838485,0.305197157,0.052358671999999995
56,101503,0.417717192,0.420322711,0.0026055190000000006
57,101504,1.282022956,1.029726898,0.252296058
58,101505,0.364739708,0.36868961,0.003949902000000005
59,101506,0.33634741700000004,0.421462703,0.08511528599999996
60,101507,0.258027565,0.317214999,0.05918743399999998
61,101601,0.5137859579999999,0.474066592,0.03971936599999992
62,101602,0.413444133,0.396357126,0.017087006999999987
63,101701,0.850934657,0.66171719,0.18921746700000008
64,101702,0.40586976,0.47121992799999995,0.06535016799999993
65,101704,0.51185726,0.431166251,0.08069100899999998
66,101801,0.384263611,0.39184060299999995,0.007576991999999949
67,101802,0.507187387,0.47237322299999995,0.034814164000000036
68,101803,0.392784266,0.34612400200000004,0.04666026399999995
69,101804,0.349970926,0.38046165,0.03049072399999997
70,101901,0.303867945,0.35442215299999996,0.05055420799999999
71,101902,0.5040156579999999,0.372178341,0.1318373169999999
72,101904,0.46362294299999995,0.417092399,0.04653054399999995
73,101905,0.34684235799999996,0.342079288,0.00476306999999998
74,101907,0.276491056,0.331976165,0.05548510899999998
75,102004,0.413531065,0.36923238,0.04429868499999995
76,102005,0.420909585,0.328341183,0.092568402
77,102006,0.633198024,0.527128169,0.10606985499999999
78,102007,0.41433926,0.336887671,0.07745158899999999
79,102009,0.584200018,0.433693208,0.15050681
80,102105,0.426906742,0.38546811,0.04143863200000003
81,102107,0.373154338,0.28781034699999997,0.08534399100000001
82,102201,0.35667663,0.362859761,0.006183131000000008
83,102202,0.311594388,0.318205165,0.006610777000000012
84,102206,0.384400714,0.384728675,0.00032796100000004325
85,102207,0.512273671,0.444438935,0.067834736
86,102208,0.408929286,0.34962835299999995,0.059300933000000056
87,102209,0.462790105,0.42857296,0.034217145000000004
88,102210,0.380731435,0.365472533,0.015258902000000019
89,102302,0.292454942,0.301453583,0.00899864100000003
90,102303,0.280570586,0.294736141,0.014165554999999996
91,102401,0.608182283,0.45228994100000003,0.15589234199999996
92,102402,0.44637471,0.329294396,0.11708031400000002
93,102501,0.742789116,0.594491945,0.14829717099999995
94,102502,0.556551586,0.471066959,0.08548462699999998
95,102503,0.572686994,0.49927285899999996,0.07341413500000005
96,102504,0.622981406,0.508149497,0.11483190899999995
97,102601,0.591243239,0.577363973,0.013879266000000001
98,102701,0.590348356,0.486910843,0.10343751300000004
99,102801,0.27029490300000003,0.323936863,0.05364195999999999
100,102802,0.36276408,0.424089392,0.06132531200000002
101,102803,0.398453711,0.44240962899999997,0.04395591799999998
