,addrcode,actual,predicted,residual
0,800101,0.47572439,0.479548176,0.0038237859999999957
1,800102,0.41874569100000003,0.42951884799999995,0.010773156999999922
2,800103,0.348344228,0.340572793,0.007771434999999993
3,800106,0.296087957,0.299001668,0.0029137109999999855
4,800107,0.41830343799999997,0.38206975200000004,0.03623368599999993
5,800108,0.414104481,0.465097084,0.05099260299999997
6,800112,0.314528606,0.342799209,0.028270603000000005
7,800113,0.316839511,0.312029377,0.0048101340000000214
8,800114,0.352125828,0.378087921,0.02596209300000002
9,800115,0.500843735,0.470096509,0.030747226000000016
10,800116,0.499242504,0.462991355,0.03625114899999998
11,800118,0.370013574,0.41212738600000004,0.04211381200000003
12,800119,0.110658405,0.142029494,0.031371089000000005
13,800120,0.348720975,0.323199206,0.025521768999999972
14,800121,0.338836307,0.370875746,0.032039439
15,800122,0.38463087799999995,0.38453989,9.098799999995855e-05
16,800201,0.730774723,0.558488289,0.172286434
17,800202,0.749338907,0.8277791440000001,0.07844023700000002
18,800203,0.566012395,0.5819081429999999,0.015895747999999932
19,800204,0.63213554,0.680876685,0.04874114499999993
20,800205,0.980592725,0.811236512,0.16935621300000003
21,800301,0.48879782299999996,0.46312014100000004,0.025677681999999924
22,800302,0.549767225,0.700034277,0.150267052
23,800303,0.429759291,0.464946631,0.03518734000000001
24,800304,0.37063831799999997,0.372864725,0.0022264070000000413
25,800305,0.45637436,0.446376235,0.009998124999999969
26,800401,0.46558451799999995,0.522420044,0.056835526000000025
27,800403,0.355117784,0.30346731,0.051650474
28,800404,0.445914365,0.420211482,0.025702882999999954
29,800405,0.24487977,0.262140429,0.01726065900000001
30,800406,0.377468521,0.577782604,0.20031408300000003
31,800407,0.304269125,0.351083214,0.046814089
32,800409,0.454576121,0.469498835,0.014922714000000004
33,800410,0.400071124,0.396621089,0.003450035000000018
34,800415,0.16096981300000002,0.208973085,0.048003271999999986
35,800416,0.323136403,0.38755486299999997,0.06441845999999996
36,800501,0.643472525,0.731493313,0.08802078800000002
37,800502,0.662955961,0.6933073790000001,0.030351418000000074
38,800503,0.6293084729999999,0.6352824539999999,0.005973981000000017
39,800504,0.463741435,0.486425349,0.022683914000000027
40,800505,0.34887104700000005,0.362870213,0.013999165999999952
41,800601,0.33939591399999997,0.370034994,0.03063908000000004
42,800603,0.29577148,0.31851307,0.022741590000000034
43,800604,0.362606139,0.460924809,0.09831867
44,800605,0.310760822,0.32970957100000003,0.018948749000000042
45,800606,0.219202578,0.178778772,0.04042380600000001
46,800607,0.38949477,0.34058444299999996,0.04891032700000003
47,800610,0.381799823,0.46982580700000004,0.08802598400000006
48,800611,0.23463760399999997,0.236641507,0.002003903000000029
49,800612,0.331996943,0.353045799,0.021048856000000005
50,800613,0.279347296,0.30146485300000003,0.02211755700000001
51,800701,0.18351221199999998,0.21228385800000002,0.02877164600000004
52,800702,0.219481147,0.20768541,0.011795737
53,800703,0.23612884899999997,0.280545162,0.04441631300000004
54,800704,0.17866779300000002,0.182686817,0.004019023999999982
55,800705,0.10967763900000001,0.131129854,0.021452214999999983
56,800706,0.23972229,0.213214651,0.026507639
57,800707,0.19833846100000002,0.188031752,0.010306709000000025
58,800708,0.09711072800000001,0.10493537900000001,0.007824651000000002
59,800709,0.28323903300000003,0.322391197,0.03915216399999999
60,800710,0.207318263,0.220228221,0.012909958
61,800711,0.156093899,0.13961909,0.016474809000000007
62,800801,0.19966506899999997,0.21873474699999998,0.019069678000000007
63,800802,0.24173848,0.254368579,0.012630098999999978
64,800803,0.33761566299999995,0.35679766700000004,0.019182004000000086
65,800804,0.406143518,0.39624607100000003,0.009897446999999948
66,800806,0.442783285,0.33530323,0.10748005500000002
67,800807,0.290973247,0.285531117,0.0054421299999999895
