,addrcode,Week,Year,DF_6,DF_5,DF_4,DF_3,DF_2,DF_1,DF_0,DF_wm1,DF_wm2,DF_wm3,DFma_6,DFma_5,DFma_4,DFma_3,DFma_2,DFma_1,DFma_0,DFma_wm1,DFma_wm2,DFma_wm3,RF_wm6,LST_wm4,bin,bowl,bucket,misc_short,jar,pottedplant,tire,misc_tall,total
0,8001,15,2014,0.11194698199999999,0.0,0.11194698199999999,0.037315661,0.11194698199999999,0.11194698199999999,0.074631321,0.074631321,0.11194698199999999,0.11194698199999999,0.05597349099999999,0.05597349099999999,0.074631321,0.074631321,0.11194698199999999,0.09328915199999999,0.074631321,0.09328915199999999,0.11194698199999999,0.130604812,0.0,4.546593008,4.611000000000001,0.22399999999999998,16.424,0.317,0.6990000000000001,14.409,2.468,0.039,39.191
1,8001,16,2014,0.037315661,0.11194698199999999,0.0,0.11194698199999999,0.037315661,0.11194698199999999,0.11194698199999999,0.074631321,0.074631321,0.11194698199999999,0.074631321,0.05597349099999999,0.05597349099999999,0.074631321,0.074631321,0.11194698199999999,0.09328915199999999,0.074631321,0.09328915199999999,0.11194698199999999,0.0,4.586850557,4.611000000000001,0.22399999999999998,16.424,0.317,0.6990000000000001,14.409,2.468,0.039,39.191
2,8001,17,2014,0.074631321,0.037315661,0.11194698199999999,0.0,0.11194698199999999,0.037315661,0.11194698199999999,0.11194698199999999,0.074631321,0.074631321,0.05597349099999999,0.074631321,0.05597349099999999,0.05597349099999999,0.074631321,0.074631321,0.11194698199999999,0.09328915199999999,0.074631321,0.09328915199999999,0.0,4.606948684,4.611000000000001,0.22399999999999998,16.424,0.317,0.6990000000000001,14.409,2.468,0.039,39.191
3,8001,18,2014,0.186578303,0.074631321,0.037315661,0.11194698199999999,0.0,0.11194698199999999,0.037315661,0.11194698199999999,0.11194698199999999,0.074631321,0.130604812,0.05597349099999999,0.074631321,0.05597349099999999,0.05597349099999999,0.074631321,0.074631321,0.11194698199999999,0.09328915199999999,0.074631321,0.011318700000000001,4.614521492,4.611000000000001,0.22399999999999998,16.424,0.317,0.6990000000000001,14.409,2.468,0.039,39.191
4,8001,19,2014,0.22389396399999997,0.186578303,0.074631321,0.037315661,0.11194698199999999,0.0,0.11194698199999999,0.037315661,0.11194698199999999,0.11194698199999999,0.205236134,0.130604812,0.05597349099999999,0.074631321,0.05597349099999999,0.05597349099999999,0.074631321,0.074631321,0.11194698199999999,0.09328915199999999,0.00041211199999999996,4.582771477,4.611000000000001,0.22399999999999998,16.424,0.317,0.6990000000000001,14.409,2.468,0.039,39.191
5,8001,20,2014,0.298525285,0.22389396399999997,0.186578303,0.074631321,0.037315661,0.11194698199999999,0.0,0.11194698199999999,0.037315661,0.11194698199999999,0.261209624,0.205236134,0.130604812,0.05597349099999999,0.074631321,0.05597349099999999,0.05597349099999999,0.074631321,0.074631321,0.11194698199999999,0.018061042,4.542399003,4.611000000000001,0.22399999999999998,16.424,0.317,0.6990000000000001,14.409,2.468,0.039,39.191
6,8001,21,2014,0.298525285,0.298525285,0.22389396399999997,0.186578303,0.074631321,0.037315661,0.11194698199999999,0.0,0.11194698199999999,0.037315661,0.298525285,0.261209624,0.205236134,0.130604812,0.05597349099999999,0.074631321,0.05597349099999999,0.05597349099999999,0.074631321,0.074631321,0.18822491,4.585751871,4.611000000000001,0.22399999999999998,16.424,0.317,0.6990000000000001,14.409,2.468,0.039,39.191
7,8001,22,2014,0.33584094600000003,0.298525285,0.298525285,0.22389396399999997,0.186578303,0.074631321,0.037315661,0.11194698199999999,0.0,0.11194698199999999,0.317183115,0.298525285,0.261209624,0.205236134,0.130604812,0.05597349099999999,0.074631321,0.05597349099999999,0.05597349099999999,0.074631321,0.43173989799999996,4.57626211,4.611000000000001,0.22399999999999998,16.424,0.317,0.6990000000000001,14.409,2.468,0.039,39.191
8,8001,23,2014,0.55973491,0.33584094600000003,0.298525285,0.298525285,0.22389396399999997,0.186578303,0.074631321,0.037315661,0.11194698199999999,0.0,0.44778792799999995,0.317183115,0.298525285,0.261209624,0.205236134,0.130604812,0.05597349099999999,0.074631321,0.05597349099999999,0.05597349099999999,0.11084851,4.460961439,4.611000000000001,0.22399999999999998,16.424,0.317,0.6990000000000001,14.409,2.468,0.039,39.191
9,8001,24,2014,0.33584094600000003,0.55973491,0.33584094600000003,0.298525285,0.298525285,0.22389396399999997,0.186578303,0.074631321,0.037315661,0.11194698199999999,0.44778792799999995,0.44778792799999995,0.317183115,0.298525285,0.261209624,0.205236134,0.130604812,0.05597349099999999,0.074631321,0.05597349099999999,0.076949912,4.424588364,4.611000000000001,0.22399999999999998,16.424,0.317,0.6990000000000001,14.409,2.468,0.039,39.191
10,8001,25,2014,0.44778792799999995,0.33584094600000003,0.55973491,0.33584094600000003,0.298525285,0.298525285,0.22389396399999997,0.186578303,0.074631321,0.037315661,0.391814437,0.44778792799999995,0.44778792799999995,0.317183115,0.298525285,0.261209624,0.205236134,0.130604812,0.05597349099999999,0.074631321,0.37027293299999997,4.397881269,4.611000000000001,0.22399999999999998,16.424,0.317,0.6990000000000001,14.409,2.468,0.039,39.191
