date,addrcode,bin,bowl,bucket,misc_short,jar,pottedplant,tire,misc_tall,total
1/1/2012,101001,636,63,2972,49,181,4165,458,12,8536
1/6/2017,103003,248,35,976,23,57,1825,226,7,3397
1/6/2017,103005,153,51,528,38,31,1030,209,4,2044
1/1/2012,100601,577,81,2106,65,101,3741,342,16,7029
1/1/2012,102701,300,48,1295,14,59,2362,243,7,4328
1/7/2017,102502,35,5,79,4,8,189,26,0,346
1/5/2017,101704,308,15,826,13,31,1716,156,14,3079
1/2/2012,102303,269,49,1378,28,142,2196,293,7,4362
1/5/2017,101802,19,12,119,8,5,200,36,1,400
1/5/2017,101502,6,4,48,1,3,74,10,0,146
1/1/2012,102206,18,1,74,2,5,155,20,1,276
1/6/2017,103302,102,9,167,21,9,476,39,6,829
1/6/2017,100702,19,15,90,8,2,198,69,3,404
1/6/2017,100703,12,7,53,5,2,201,24,6,310
1/6/2017,100704,64,25,180,24,5,471,53,5,827
1/6/2017,103901,59,18,135,14,9,436,38,9,718
1/6/2017,100102,12,8,62,2,3,163,11,4,265
1/5/2017,102209,40,15,155,7,6,310,50,0,583
1/6/2017,100403,27,15,73,5,1,169,27,3,320
1/5/2017,104501,245,13,902,11,38,1283,250,5,2747
1/1/2012,102202,27,17,255,3,11,452,47,2,814
1/5/2017,100402,40,10,135,20,3,292,39,5,544
1/5/2017,101902,69,3,319,9,8,603,113,2,1126
1/12/2011,104401,349,47,2160,29,181,4844,409,12,8031
1/5/2017,102501,113,10,341,14,30,803,105,2,1418
1/6/2017,101401,270,50,621,38,23,1672,213,17,2904
1/6/2017,103102,16,11,96,5,2,248,44,0,422
1/12/2011,103203,271,18,842,17,47,1081,198,1,2475
1/5/2017,101701,197,34,628,26,24,1210,189,6,2314
1/5/2017,102503,36,11,218,11,14,461,43,2,796
1/7/2017,102105,255,16,824,16,26,853,184,5,2179
1/5/2017,101506,29,11,120,11,7,316,50,0,544
1/1/2012,104001,153,26,1129,30,62,1803,195,7,3405
1/11/2016,104004,15,0,31,2,1,66,26,0,141
1/1/2012,103501,103,21,631,16,24,1080,124,5,2004
1/6/2017,103103,233,27,516,22,18,1055,148,7,2026
1/1/2012,102210,18,5,60,1,5,166,18,1,274
1/1/2012,102207,44,12,381,7,29,640,72,3,1188
1/6/2017,100104,12,4,29,3,1,78,5,0,132
1/6/2017,103301,66,21,226,30,5,555,76,8,987
1/5/2017,102009,72,7,227,9,12,539,73,2,941
1/5/2017,100202,30,7,89,7,1,166,25,0,325
1/5/2017,102504,48,14,185,12,18,468,48,3,796
1/8/2017,101103,83,3,452,14,24,360,408,1,1345
1/5/2017,100201,44,7,80,4,6,195,24,1,361
1/5/2017,101901,24,5,183,6,7,383,37,1,646
1/11/2016,101905,78,10,196,7,8,382,52,0,733
1/4/2017,101102,14,2,87,0,4,59,33,0,199
1/5/2017,102006,18,1,50,1,4,168,9,0,251
1/7/2017,104801,161,4,444,8,32,578,134,1,1362
1/7/2017,100701,34,7,131,11,9,320,63,2,577
1/2/2012,104003,230,25,889,16,90,1241,170,7,2668
1/6/2017,100802,5,3,51,6,1,164,27,0,257
1/6/2017,100103,12,6,28,3,2,93,5,0,149
1/12/2011,103401,691,78,2572,64,107,4684,475,19,8690
1/5/2017,101501,7,3,67,1,1,118,15,7,219
1/6/2017,101303,23,10,32,8,1,94,12,3,183
1/2/2012,102107,355,55,1744,43,118,2368,390,12,5085
1/6/2017,102802,39,18,169,10,5,420,56,2,719
1/5/2017,101507,25,19,136,13,12,235,30,1,471
1/5/2017,101803,48,14,193,6,13,372,37,0,683
1/6/2017,101301,10,5,51,4,2,85,15,2,174
1/6/2017,102801,95,28,356,17,16,920,125,6,1563
1/6/2017,100803,13,10,117,2,5,272,34,0,453
1/6/2017,100105,11,11,61,11,2,156,14,2,268
1/6/2017,100804,10,12,68,10,2,156,17,1,276
1/6/2017,100106,5,3,17,9,0,54,1,0,89
1/7/2017,103903,129,24,358,21,15,644,81,4,1276
1/6/2017,103303,137,13,233,13,17,702,85,2,1202
1/1/2012,102201,122,26,711,20,43,1068,123,7,2120
1/5/2017,101505,25,12,108,8,12,341,21,0,527
1/6/2017,103101,20,8,114,5,4,233,13,2,399
1/1/2012,103504,113,23,583,24,25,1029,128,3,1928
1/2/2012,102302,289,28,1353,24,136,2298,250,5,4383
1/7/2017,101204,35,11,165,5,7,266,57,1,547
1/7/2017,102402,128,21,611,20,41,934,95,4,1854
1/1/2012,105001,520,96,3866,74,164,4234,601,13,9568
1/7/2017,103503,146,20,1135,20,44,1725,165,6,3261
1/7/2017,102401,101,9,294,5,11,485,100,3,1008
1/4/2017,104701,151,15,510,11,20,686,154,7,1554
1/5/2017,101504,32,15,204,10,9,327,33,1,631
1/6/2017,101203,209,34,558,23,27,1141,156,5,2153
1/5/2017,101804,31,13,87,5,4,185,29,1,355
1/5/2017,101503,18,19,158,5,2,241,36,1,480
1/6/2017,102803,54,16,182,11,11,530,55,4,863
1/1/2012,103502,71,17,268,13,9,509,45,1,933
1/2/2012,104902,188,16,1057,13,27,1583,151,6,3041
1/1/2012,104301,306,28,1013,22,74,1769,158,4,3374
1/2/2012,104602,97,12,287,3,35,571,177,1,1183
1/7/2017,104504,518,61,1506,34,57,2034,252,5,4467
1/7/2017,104901,186,17,691,11,25,959,104,3,1996
1/5/2016,800204,147,1,314,2,0,177,37,0,678
1/5/2016,800807,38,2,184,1,1,147,32,1,406
1/5/2016,800120,128,16,787,20,47,907,150,2,2057
1/3/2016,800501,35,0,107,2,0,72,8,0,224
1/5/2016,800810,15,0,34,0,0,103,16,1,169
1/4/2016,800415,65,0,109,4,6,77,17,0,278
1/3/2016,800505,6,2,73,4,8,102,12,0,207
1/4/2016,800406,79,2,121,4,4,65,20,0,295
1/5/2016,800121,153,6,346,5,50,470,100,1,1131
1/3/2016,800504,22,0,218,2,8,163,27,1,441
1/5/2016,800203,10,4,46,0,2,167,22,1,252
1/4/2016,801802,3,1,18,0,4,26,9,0,61
1/5/2016,800202,65,1,156,2,1,152,7,0,384
1/4/2016,800404,29,2,243,8,8,146,36,0,472
1/5/2016,800205,12,4,89,0,2,190,22,1,320
1/5/2016,800201,58,2,222,3,6,142,32,0,465
1/5/2016,801209,51,5,179,7,27,64,22,3,358
1/3/2016,800403,8,1,131,2,8,139,17,0,306
1/3/2016,801803,26,2,161,1,6,101,92,0,389
1/5/2016,800116,45,1,511,5,10,278,55,1,906
1/4/2016,800410,34,2,224,3,14,173,33,1,484
1/5/2016,800107,483,8,372,8,50,670,111,1,1703
1/5/2016,800108,106,0,439,10,5,228,34,0,822
1/4/2016,800304,32,2,147,1,6,118,11,1,318
1/4/2016,800405,73,2,118,3,10,114,14,0,334
1/5/2016,800106,79,1,205,6,13,208,38,0,550
1/3/2016,801801,43,3,187,1,8,107,90,0,439
1/5/2016,800115,55,3,836,18,12,290,44,0,1258
1/3/2016,801106,56,0,129,7,4,107,20,1,324
1/4/2016,800303,61,1,234,1,4,125,19,0,445
1/5/2016,801214,178,3,377,8,36,307,55,2,966
1/5/2016,800102,142,16,498,20,21,654,93,2,1446
1/4/2016,802203,23,2,211,2,7,112,12,0,369
1/4/2016,800407,13,1,48,0,2,24,11,0,99
1/5/2016,800118,180,5,1095,17,12,720,144,2,2175
1/5/2016,800103,170,15,514,11,16,569,87,3,1385
1/5/2016,800112,137,2,490,4,1,188,42,1,865
1/4/2016,800401,60,2,171,2,4,119,18,0,376
1/3/2016,801102,128,4,213,8,8,125,24,0,510
1/3/2016,802201,0,0,13,0,0,1,1,0,15
1/5/2016,800101,370,28,948,16,23,1297,164,5,2851
1/3/2016,800301,3,0,11,0,0,9,1,0,24
1/4/2016,800416,98,2,213,6,2,215,36,0,572
1/4/2016,800119,49,6,165,2,38,194,42,1,497
1/5/2016,801202,6,6,333,1,29,182,72,0,629
1/5/2016,800113,45,0,433,3,7,136,34,0,658
1/5/2016,800114,55,2,87,0,16,127,26,0,313
1/3/2016,801103,31,3,412,3,4,100,63,0,616
1/5/2016,800122,146,5,620,16,34,386,90,1,1298
