"","Station_Code","Date","Location","Province","Humidity","Rainfall","Temperature","Wind_Speed","Year"
"60",552201,"10/3/2016","นครศรีธรรมราช","นครศรีธรรมราช",79,0,27.9,10,"2016"
"61",552201,"10/3/2017","นครศรีธรรมราช","นครศรีธรรมราช",81,0,26.9,15,"2017"
"62",552201,"10/3/2018","นครศรีธรรมราช","นครศรีธรรมราช",83,16.5,27.4,19,"2018"
"63",552201,"10/4/2015","นครศรีธรรมราช","นครศรีธรรมราช",78,0,28.5,17,"2015"
"64",552201,"10/4/2016","นครศรีธรรมราช","นครศรีธรรมราช",79,0,29.7,13,"2016"
"65",552201,"10/4/2017","นครศรีธรรมราช","นครศรีธรรมราช",84,0,28.8,12,"2017"
"66",552201,"10/4/2018","นครศรีธรรมราช","นครศรีธรรมราช",87,8.2,27.5,17,"2018"
"67",552201,"10/5/2015","นครศรีธรรมราช","นครศรีธรรมราช",84,6,28.1,20,"2015"
"68",552201,"10/5/2016","นครศรีธรรมราช","นครศรีธรรมราช",76,0,30.8,15,"2016"
"69",552201,"10/5/2017","นครศรีธรรมราช","นครศรีธรรมราช",87,12.4,27.1,21,"2017"
"70",552201,"10/6/2015","นครศรีธรรมราช","นครศรีธรรมราช",84,0,28.2,16,"2015"
"71",552201,"10/6/2016","นครศรีธรรมราช","นครศรีธรรมราช",79,0,29.9,12,"2016"
"72",552201,"10/6/2017","นครศรีธรรมราช","นครศรีธรรมราช",72,0,29.6,NA,"2017"
"73",552201,"10/7/2015","นครศรีธรรมราช","นครศรีธรรมราช",74,1.5,29.2,12,"2015"
"74",552201,"10/7/2016","นครศรีธรรมราช","นครศรีธรรมราช",85,0,27.9,17,"2016"
"75",552201,"10/7/2017","นครศรีธรรมราช","นครศรีธรรมราช",81,0,28.6,NA,"2017"
"76",552201,"10/8/2015","นครศรีธรรมราช","นครศรีธรรมราช",75,0,29.7,16,"2015"
"77",552201,"10/8/2016","นครศรีธรรมราช","นครศรีธรรมราช",82,4,27.7,28,"2016"
