,addrcode,Week,Year,DF_1,DF_0,DF_wm1,DF_wm2,DF_wm3,DF_wm4,DF_wm5,DF_wm6,DFma_1,DFma_0,DFma_wm1,DFma_wm2,DFma_wm3,DFma_wm4,DFma_wm5,DFma_wm6,RF_wm6,LST_wm4,bin,bowl,bucket,misc_short,jar,pottedplant,tire,misc_tall,total,image/area
0,8001,15,2014,0.111946982,0.074631321,0.074631321,0.111946982,0.111946982,0.149262643,0.149262643,0.111946982,0.083960236,0.093289152,0.093289152,0.093289152,0.111946982,0.130604812,0.130604812,0.111946982,0.0,4.546593008,0.0017206251119469824,8.358707982566123e-05,0.006128724102931519,0.00011829064421756522,0.0002608364678488268,0.005376813541106932,0.0009209505045077317,1.4553107648217805e-05,0.014624380560033436,20.0
1,8001,16,2014,0.111946982,0.111946982,0.074631321,0.074631321,0.111946982,0.111946982,0.149262643,0.149262643,0.093289152,0.083960236,0.093289152,0.093289152,0.093289152,0.111946982,0.130604812,0.130604812,0.0,4.586850557,0.0017206251119469824,8.358707982566123e-05,0.006128724102931519,0.00011829064421756522,0.0002608364678488268,0.005376813541106932,0.0009209505045077317,1.4553107648217805e-05,0.014624380560033436,20.0
2,8001,17,2014,0.037315661,0.111946982,0.111946982,0.074631321,0.074631321,0.111946982,0.111946982,0.149262643,0.065302406,0.093289152,0.083960236,0.093289152,0.093289152,0.093289152,0.111946982,0.130604812,0.0,4.606948684,0.0017206251119469824,8.358707982566123e-05,0.006128724102931519,0.00011829064421756522,0.0002608364678488268,0.005376813541106932,0.0009209505045077317,1.4553107648217805e-05,0.014624380560033436,20.0
3,8001,18,2014,0.111946982,0.037315661,0.111946982,0.111946982,0.074631321,0.074631321,0.111946982,0.111946982,0.065302406,0.065302406,0.093289152,0.083960236,0.093289152,0.093289152,0.093289152,0.111946982,0.0113187,4.614521492,0.0017206251119469824,8.358707982566123e-05,0.006128724102931519,0.00011829064421756522,0.0002608364678488268,0.005376813541106932,0.0009209505045077317,1.4553107648217805e-05,0.014624380560033436,20.0
4,8001,19,2014,0.0,0.111946982,0.037315661,0.111946982,0.111946982,0.074631321,0.074631321,0.111946982,0.065302406,0.065302406,0.065302406,0.093289152,0.083960236,0.093289152,0.093289152,0.093289152,0.000412112,4.582771477,0.0017206251119469824,8.358707982566123e-05,0.006128724102931519,0.00011829064421756522,0.0002608364678488268,0.005376813541106932,0.0009209505045077317,1.4553107648217805e-05,0.014624380560033436,20.0
5,8001,20,2014,0.111946982,0.0,0.111946982,0.037315661,0.111946982,0.111946982,0.074631321,0.074631321,0.055973490999999986,0.065302406,0.065302406,0.065302406,0.093289152,0.083960236,0.093289152,0.093289152,0.018061042,4.542399003,0.0017206251119469824,8.358707982566123e-05,0.006128724102931519,0.00011829064421756522,0.0002608364678488268,0.005376813541106932,0.0009209505045077317,1.4553107648217805e-05,0.014624380560033436,20.0
6,8001,21,2014,0.037315661,0.111946982,0.0,0.111946982,0.037315661,0.111946982,0.111946982,0.074631321,0.102618067,0.055973490999999986,0.065302406,0.065302406,0.065302406,0.093289152,0.083960236,0.093289152,0.18822491,4.585751871,0.0017206251119469824,8.358707982566123e-05,0.006128724102931519,0.00011829064421756522,0.0002608364678488268,0.005376813541106932,0.0009209505045077317,1.4553107648217805e-05,0.014624380560033436,20.0
7,8001,22,2014,0.074631321,0.037315661,0.111946982,0.0,0.111946982,0.037315661,0.111946982,0.111946982,0.130604812,0.102618067,0.055973490999999986,0.065302406,0.065302406,0.065302406,0.093289152,0.083960236,0.431739898,4.57626211,0.0017206251119469824,8.358707982566123e-05,0.006128724102931519,0.00011829064421756522,0.0002608364678488268,0.005376813541106932,0.0009209505045077317,1.4553107648217805e-05,0.014624380560033436,20.0
8,8001,23,2014,0.186578303,0.074631321,0.037315661,0.111946982,0.0,0.111946982,0.037315661,0.111946982,0.195907218,0.130604812,0.102618067,0.055973490999999986,0.065302406,0.065302406,0.065302406,0.093289152,0.11084851,4.460961439,0.0017206251119469824,8.358707982566123e-05,0.006128724102931519,0.00011829064421756522,0.0002608364678488268,0.005376813541106932,0.0009209505045077317,1.4553107648217805e-05,0.014624380560033436,20.0
9,8001,24,2014,0.223893964,0.186578303,0.074631321,0.037315661,0.111946982,0.0,0.111946982,0.037315661,0.251880709,0.195907218,0.130604812,0.102618067,0.055973490999999986,0.065302406,0.065302406,0.065302406,0.076949912,4.424588364,0.0017206251119469824,8.358707982566123e-05,0.006128724102931519,0.00011829064421756522,0.0002608364678488268,0.005376813541106932,0.0009209505045077317,1.4553107648217805e-05,0.014624380560033436,20.0
