,addrcode,actual,predicted
0,8001,0.5577709275263159,0.5064670137681571
1,8002,0.5236785316842105,0.5237949484659025
2,8003,0.3666825014210525,0.5757481944418434
3,8004,0.31158355063157894,0.41069166921999667
4,8005,0.6925138499999999,0.5544322052624151
5,8006,0.5362477028421052,0.3764440760732606
6,8007,0.24816576252631573,0.22419939144187415
7,8008,0.17799209178947373,0.29032015379918097
8,8009,0.23170388605263148,0.32256566587535085
9,8010,0.3421369975263157,0.6378902271198514
10,8011,0.11560524589473684,0.14405539740863182
11,8012,0.3788872001052631,0.24206236157146677
12,8013,0.22934126657894738,0.3406028530914333
13,8014,0.2200163602777778,0.33514397632482906
14,8015,0.25586441249999997,0.4659392031194648
15,8016,0.44022178511111104,0.4319558829649919
16,8017,0.26692291272222224,0.6853436924048302
17,8018,0.05791259827777779,0.2743003041890793
18,8019,0.23738576894444444,0.4802643998507868
19,8020,0.6182187142777777,0.49186368413994014
20,8021,0.16908923042105262,0.40917829005234624
21,8022,0.4695677505789474,0.49080043387318667
22,8023,0.6001995029999999,0.5404587821101446
