,addrcode,Week,Year,DF_6,DF_5,DF_4,DF_3,DF_2,DF_1,DF_0,DF_wm1,DF_wm2,DF_wm3,DFma_6,DFma_5,DFma_4,DFma_3,DFma_2,DFma_1,DFma_0,DFma_wm1,DFma_wm2,DFma_wm3,RF_wm6,LST_wm4,bin_pop9s,bowl_pop9s,bucket_pop9s,misc_short_pop9s,jar_pop9s,pottedplant_pop9s,tire_pop9s,misc_tall_pop9s,total_pop9s
0,8101,15,2014,1.1625879209999999,1.976399465,0.58129396,0.58129396,1.278846713,0.11625879199999999,0.348776376,0.58129396,0.23251758399999997,0.9300703370000001,1.860140673,1.240093782,1.046329129,0.8138115440000001,0.658799822,0.58129396,0.348776376,0.3875293070000001,0.58129396,0.426282238,0.0,4.8659375,0.14777957600174466,0.02582555697117868,1.720269044913513,0.03156456963144061,0.11908451270043502,1.2812345764034756,0.39025286089781114,0.010043272155458374,3.726053969675057
1,8101,16,2014,2.441434633,1.1625879209999999,1.976399465,0.58129396,0.58129396,1.278846713,0.11625879199999999,0.348776376,0.58129396,0.23251758399999997,1.782634812,1.860140673,1.240093782,1.046329129,0.8138115440000001,0.658799822,0.58129396,0.348776376,0.3875293070000001,0.58129396,0.0,4.825201613,0.14777957600174466,0.02582555697117868,1.720269044913513,0.03156456963144061,0.11908451270043502,1.2812345764034756,0.39025286089781114,0.010043272155458374,3.726053969675057
2,8101,17,2014,1.7438818809999999,2.441434633,1.1625879209999999,1.976399465,0.58129396,0.58129396,1.278846713,0.11625879199999999,0.348776376,0.58129396,2.092658257,1.782634812,1.860140673,1.240093782,1.046329129,0.8138115440000001,0.658799822,0.58129396,0.348776376,0.3875293070000001,0.0,4.647731855,0.14777957600174466,0.02582555697117868,1.720269044913513,0.03156456963144061,0.11908451270043502,1.2812345764034756,0.39025286089781114,0.010043272155458374,3.726053969675057
3,8101,18,2014,2.092658257,1.7438818809999999,2.441434633,1.1625879209999999,1.976399465,0.58129396,0.58129396,1.278846713,0.11625879199999999,0.348776376,2.1701641190000003,2.092658257,1.782634812,1.860140673,1.240093782,1.046329129,0.8138115440000001,0.658799822,0.58129396,0.348776376,0.00040328900000000003,4.523655914,0.14777957600174466,0.02582555697117868,1.720269044913513,0.03156456963144061,0.11908451270043502,1.2812345764034756,0.39025286089781114,0.010043272155458374,3.726053969675057
4,8101,19,2014,2.673952218,2.092658257,1.7438818809999999,2.441434633,1.1625879209999999,1.976399465,0.58129396,0.58129396,1.278846713,0.11625879199999999,2.363928772,2.1701641190000003,2.092658257,1.782634812,1.860140673,1.240093782,1.046329129,0.8138115440000001,0.658799822,0.58129396,0.0027078000000000002,4.420255376,0.14777957600174466,0.02582555697117868,1.720269044913513,0.03156456963144061,0.11908451270043502,1.2812345764034756,0.39025286089781114,0.010043272155458374,3.726053969675057
5,8101,20,2014,2.325175841,2.673952218,2.092658257,1.7438818809999999,2.441434633,1.1625879209999999,1.976399465,0.58129396,0.58129396,1.278846713,2.325175841,2.363928772,2.1701641190000003,2.092658257,1.782634812,1.860140673,1.240093782,1.046329129,0.8138115440000001,0.658799822,0.10748620199999999,4.277116935,0.14777957600174466,0.02582555697117868,1.720269044913513,0.03156456963144061,0.11908451270043502,1.2812345764034756,0.39025286089781114,0.010043272155458374,3.726053969675057
6,8101,21,2014,1.976399465,2.325175841,2.673952218,2.092658257,1.7438818809999999,2.441434633,1.1625879209999999,1.976399465,0.58129396,0.58129396,2.1701641190000003,2.325175841,2.363928772,2.1701641190000003,2.092658257,1.782634812,1.860140673,1.240093782,1.046329129,0.8138115440000001,0.245583982,4.257513441,0.14777957600174466,0.02582555697117868,1.720269044913513,0.03156456963144061,0.11908451270043502,1.2812345764034756,0.39025286089781114,0.010043272155458374,3.726053969675057
7,8101,22,2014,2.208917049,1.976399465,2.325175841,2.673952218,2.092658257,1.7438818809999999,2.441434633,1.1625879209999999,1.976399465,0.58129396,1.782634812,2.1701641190000003,2.325175841,2.363928772,2.1701641190000003,2.092658257,1.782634812,1.860140673,1.240093782,1.046329129,0.5574994529999999,4.323071237,0.14777957600174466,0.02582555697117868,1.720269044913513,0.03156456963144061,0.11908451270043502,1.2812345764034756,0.39025286089781114,0.010043272155458374,3.726053969675057
8,8101,23,2014,1.1625879209999999,2.208917049,1.976399465,2.325175841,2.673952218,2.092658257,1.7438818809999999,2.441434633,1.1625879209999999,1.976399465,1.472611366,1.782634812,2.1701641190000003,2.325175841,2.363928772,2.1701641190000003,2.092658257,1.782634812,1.860140673,1.240093782,0.455179195,4.282956989,0.14777957600174466,0.02582555697117868,1.720269044913513,0.03156456963144061,0.11908451270043502,1.2812345764034756,0.39025286089781114,0.010043272155458374,3.726053969675057
9,8101,24,2014,1.046329129,1.1625879209999999,2.208917049,1.976399465,2.325175841,2.673952218,2.092658257,1.7438818809999999,2.441434633,1.1625879209999999,1.007576198,1.472611366,1.782634812,2.1701641190000003,2.325175841,2.363928772,2.1701641190000003,2.092658257,1.782634812,1.860140673,0.30321594399999996,4.328195565,0.14777957600174466,0.02582555697117868,1.720269044913513,0.03156456963144061,0.11908451270043502,1.2812345764034756,0.39025286089781114,0.010043272155458374,3.726053969675057
