,Week,Year,addrcode,temperature
6229,36,2016,104004,35.13
6230,36,2016,104101,36.33428571428571
6231,36,2016,104102,36.33428571428571
6232,36,2016,104201,35.69589285714285
6233,36,2016,104202,33.02178571428571
6234,36,2016,104203,35.69125000000001
6235,36,2016,104301,35.915
6236,36,2016,104302,35.915
6237,36,2016,104401,33.48
6238,36,2016,104501,36.21892857142858
6239,36,2016,104502,36.21892857142858
6240,36,2016,104503,36.21892857142858
6241,36,2016,104504,36.21892857142858
6242,36,2016,104601,30.1625
6243,36,2016,104602,29.786785714285717
6244,36,2016,104603,33.300892857142856
6245,36,2016,104604,29.916607142857146
6246,36,2016,104605,29.956249999999994
6247,36,2016,104701,34.388928571428565
6248,36,2016,104801,34.5
6249,36,2016,104802,35.26
6250,36,2016,104901,32.48375000000001
6251,36,2016,104902,33.24089285714285
6252,36,2016,105001,35.01
6253,37,2016,100101,38.84303571428571
6254,37,2016,100102,38.39607142857143
6255,37,2016,100103,38.39607142857143
6256,37,2016,100104,38.087321428571435
6257,37,2016,100105,38.84303571428571
6258,37,2016,100106,38.087321428571435
6259,37,2016,100107,38.087321428571435
6260,37,2016,100108,38.84303571428571
6261,37,2016,100109,38.84303571428571
6262,37,2016,100110,38.087321428571435
6263,37,2016,100111,38.087321428571435
6264,37,2016,100112,38.087321428571435
6265,37,2016,100201,38.087321428571435
6266,37,2016,100202,38.087321428571435
6267,37,2016,100203,38.087321428571435
6268,37,2016,100204,38.087321428571435
6269,37,2016,100206,38.087321428571435
6270,37,2016,100301,32.691428571428574
6271,37,2016,100302,31.69071428571429
6272,37,2016,100303,30.130178571428576
6273,37,2016,100304,30.17142857142857
6274,37,2016,100305,32.642500000000005
6275,37,2016,100306,31.7825
6276,37,2016,100307,32.51392857142857
6277,37,2016,100308,30.89839285714286
6278,37,2016,100401,37.05285714285714
6279,37,2016,100402,37.05285714285714
6280,37,2016,100403,37.05285714285714
6281,37,2016,100404,37.05285714285714
6282,37,2016,100405,37.05285714285714
6283,37,2016,100502,37.16375
6284,37,2016,100508,36.31964285714285
6285,37,2016,100601,34.664285714285704
6286,37,2016,100608,37.91321428571429
6287,37,2016,100701,37.05285714285714
6288,37,2016,100702,37.05285714285714
6289,37,2016,100703,37.05285714285714
6290,37,2016,100704,37.05285714285714
6291,37,2016,100801,37.05285714285714
6292,37,2016,100802,37.05285714285714
6293,37,2016,100803,38.087321428571435
6294,37,2016,100804,38.087321428571435
6295,37,2016,100805,38.087321428571435
6296,37,2016,100905,34.27535714285714
6297,37,2016,101001,36.46982142857143
6298,37,2016,101002,32.613035714285715
6299,37,2016,101101,33.14071428571429
6300,37,2016,101102,33.48
6301,37,2016,101103,32.511785714285715
6302,37,2016,101104,31.64035714285714
6303,37,2016,101105,30.85964285714286
6304,37,2016,101106,31.3525
6305,37,2016,101203,33.769285714285715
6306,37,2016,101204,33.769285714285715
6307,37,2016,101301,37.05285714285714
6308,37,2016,101302,37.05285714285714
6309,37,2016,101303,37.05285714285714
6310,37,2016,101401,38.087321428571435
6311,37,2016,101501,38.39607142857143
6312,37,2016,101502,38.39607142857143
6313,37,2016,101503,38.39607142857143
6314,37,2016,101504,38.39607142857143
6315,37,2016,101505,38.39607142857143
6316,37,2016,101506,38.39607142857143
6317,37,2016,101507,38.39607142857143
6318,37,2016,101601,38.39607142857143
6319,37,2016,101602,38.39607142857143
6320,37,2016,101701,38.01714285714286
6321,37,2016,101702,38.01714285714286
6322,37,2016,101704,38.01714285714286
