,Week,Year,addrcode,temperature
1522,10,2017,800204,28.26625
1523,10,2017,800205,30.90875
1524,10,2017,800301,27.88375
1525,10,2017,800302,27.04750000000001
1526,10,2017,800303,30.398750000000003
1527,10,2017,800304,27.2825
1528,10,2017,800305,29.354999999999997
1529,10,2017,800401,30.865
1530,10,2017,800403,27.295000000000005
1531,10,2017,800404,29.6225
1532,10,2017,800405,30.14625
1533,10,2017,800406,29.34375
1534,10,2017,800407,30.09125
1535,10,2017,800409,27.845
1536,10,2017,800410,30.20875
1537,10,2017,800415,29.07375
1538,10,2017,800416,30.595
1539,10,2017,800501,26.84
1540,10,2017,800502,26.56125
1541,10,2017,800503,27.402500000000003
1542,10,2017,800504,28.13875
1543,10,2017,800505,29.0875
1544,10,2017,800601,31.84125
1545,10,2017,800603,32.03875
1546,10,2017,800604,31.41625
1547,10,2017,800605,30.336250000000003
1548,10,2017,800606,31.41625
1549,10,2017,800607,31.17375
1550,10,2017,800610,30.336250000000003
1551,10,2017,800611,29.48500000000001
1552,10,2017,800612,30.612500000000004
1553,10,2017,800613,29.828750000000007
1554,10,2017,800701,31.5725
1555,10,2017,800702,31.24125
1556,10,2017,800703,32.028749999999995
1557,10,2017,800704,29.56
1558,10,2017,800705,29.44375
1559,10,2017,800706,30.320000000000004
1560,10,2017,800707,29.69625
1561,10,2017,800708,31.1475
1562,10,2017,800709,31.6175
1563,10,2017,800710,30.05875
1564,10,2017,800711,31.535
1565,10,2017,800801,29.26375
1566,10,2017,800802,28.3225
1567,10,2017,800803,28.9475
1568,10,2017,800804,30.9275
1569,10,2017,800806,30.215
1570,10,2017,800807,30.65
1571,10,2017,800809,29.56
1572,10,2017,800810,30.76125
1573,10,2017,800811,29.3725
1574,10,2017,800813,29.3475
1575,10,2017,800901,31.297500000000007
1576,10,2017,800902,29.926250000000003
1577,10,2017,800903,32.14875
1578,10,2017,800904,30.595
1579,10,2017,800905,29.74375
1580,10,2017,800906,28.9775
1581,10,2017,800907,30.888749999999995
1582,10,2017,800908,29.44125
1583,10,2017,800909,30.265000000000004
1584,10,2017,800910,27.65125
1585,10,2017,800911,28.23875
1586,10,2017,800912,30.33375
1587,10,2017,800913,28.625
1588,10,2017,801001,30.710000000000004
1589,10,2017,801002,29.7825
1590,10,2017,801003,29.795
1591,10,2017,801101,30.625
1592,10,2017,801102,30.9875
1593,10,2017,801103,31.01625000000001
1594,10,2017,801104,29.26625000000001
1595,10,2017,801105,30.413749999999997
1596,10,2017,801106,31.235
1597,10,2017,801107,28.66625
1598,10,2017,801202,29.517500000000005
1599,10,2017,801203,31.425000000000004
1600,10,2017,801204,31.55125
1601,10,2017,801205,30.28125
1602,10,2017,801206,31.295
1603,10,2017,801207,30.64875
1604,10,2017,801208,31.19875
1605,10,2017,801209,25.245
1606,10,2017,801210,30.79375
1607,10,2017,801211,31.085
1608,10,2017,801212,30.911249999999995
1609,10,2017,801213,31.085
1610,10,2017,801214,28.5575
1611,10,2017,801215,30.11
1612,10,2017,801216,28.74875
1613,10,2017,801217,28.925
1614,10,2017,801218,29.605
1615,10,2017,801301,29.571250000000006
1616,10,2017,801303,31.4925
1617,10,2017,801304,30.405
1618,10,2017,801305,31.880000000000006
1619,10,2017,801306,32.826249999999995
1620,10,2017,801401,28.957500000000003
1621,10,2017,801402,29.37625
1622,10,2017,801403,29.8525
1623,10,2017,801404,28.911249999999995
1624,10,2017,801405,30.08875
1625,10,2017,801406,28.955000000000005
1626,10,2017,801407,28.07625
1627,10,2017,801408,28.026250000000005
1628,10,2017,801409,27.94625
1629,10,2017,801501,27.525
1630,10,2017,801502,29.29
1631,10,2017,801601,30.067500000000006
1632,10,2017,801602,29.84125
1633,10,2017,801603,31.020000000000003
1634,10,2017,801604,29.8125
1635,10,2017,801605,30.0075
1636,10,2017,801606,30.93125
1637,10,2017,801607,31.15
1638,10,2017,801608,31.15
1639,10,2017,801609,29.49625
1640,10,2017,801610,29.0275
1641,10,2017,801611,30.1875
1642,10,2017,801701,28.99375
1643,10,2017,801702,29.3925
1644,10,2017,801703,31.53
1645,10,2017,801704,31.225
1646,10,2017,801801,30.508750000000006
